DateTime,AddedIPs,RemovedIPs
1459839074,273,314
1459852874,243,347
1459864878,263,253
1459878678,326,256
1459892477,296,301
1459906272,288,290
1459917670,175,206
1459931469,285,388
1459942266,182,182
1459953069,239,204
1459964466,303,231
1459977074,265,245
1459991474,325,299
1460005874,323,277
1460020278,294,342
1460033474,316,334
1460047873,295,333
1460061671,310,265
1460072474,307,216
1460080277,167,155
1460094672,265,353
1460109071,255,345
1460121070,201,245
1460131872,304,268
1460142670,307,253
1460156471,283,242
1460169675,309,299
1460184069,243,307
1460197878,251,294
1460208072,191,206
1460219475,276,218
1460230275,185,160
1460243474,321,313
1460256073,277,262
1460268667,244,329
1460293272,359,396
1460304072,137,167
1460314274,217,159
1460325686,331,229
1460337674,259,208
1460352077,251,306
1460365877,265,369
1460376073,252,211
1460389269,259,263
1460403673,461,364
1460414477,290,195
1460422277,121,127
1460436673,349,429
1460451080,269,316
1460464871,297,343
1460479274,348,280
1460489473,157,134
1460500877,281,193
1460513471,250,218
1460521274,124,90
1460535670,239,298
1460548269,277,275
1460562674,203,178
1460577078,435,281
1460591479,261,227
1460598079,78,84
1460606470,222,211
1460620277,213,342
1460634678,212,278
1460646680,226,235
1460661081,289,223
1460675475,271,237
1460682673,137,107
1460697672,224,227
1460712071,230,394
1460726472,240,293
1460739673,354,211
1460751077,353,207
1460760080,280,266
1460773874,250,276
1460788273,305,376
1460796080,134,236
1460804478,114,185
1460817668,265,318
1460830870,390,240
1460845272,282,232
1460852470,257,216
1460860873,189,232
1460869876,144,151
1460883678,235,355
1460897475,263,342
1460911274,205,211
1460923875,334,252
1460937073,361,257
1460944275,135,95
1460952074,230,235
1460966473,257,376
1460980278,268,271
1460994675,345,316
1461009077,354,281
1461022872,284,315
1461030072,183,168
1461037872,170,184
1461045069,119,135
1461052874,117,199
1461066070,266,335
1461080476,258,270
1461092469,270,255
1461105667,252,254
1461118869,254,194
1461126675,190,201
1461140473,252,321
1461160277,364,414
1461174075,295,257
1461184867,222,171
1461197469,336,229
1461210667,262,297
1461225069,200,260
1461232270,199,236
1461240667,107,155
1461255072,274,237
1461269473,323,258
1461283871,421,229
1461291673,155,118
1461299472,143,227
1461313271,316,417
1461320471,166,175
1461335467,250,332
1461348671,315,330
1461363076,247,202
1461376270,325,292
1461383470,144,136
1461391268,156,219
1461405075,186,246
1461419475,453,377
1461433269,268,195
1461447671,263,224
1461455474,227,168
1461462672,206,228
1461471677,138,175
1461479479,107,162
1461493277,267,304
1461507681,309,307
1461522073,364,225
1461536478,232,246
1461550871,364,344
1461565273,198,208
1461579674,226,303
1461594072,339,363
1461607870,253,239
1461621071,223,210
1461635471,379,282
1461642073,228,167
1461650470,101,117
1461664876,232,274
1461679271,286,411
1461693069,349,289
1461707473,258,280
1461721875,337,308
1461750674,426,543
1461765075,325,345
1461777677,274,230
1461789074,331,173
1461802273,403,265
1461810675,127,147
1461818469,175,231
1461825678,83,142
1461834676,118,230
1461848474,278,367
1461862264,298,304
1461876670,231,191
1461890475,302,287
1461904265,278,265
1461917468,232,231
1461925273,105,109
1461939670,466,393
1461946874,324,204
1461954668,69,57
1461968475,297,313
1461982870,310,270
1461997272,317,307
1462005072,137,159
1462018868,239,325
1462033271,350,312
1462041069,93,74
1462054874,260,231
1462069272,309,319
1462083670,289,322
1462090869,134,140
1462105270,258,338
1462118469,347,313
1462132874,318,185
1462146670,309,261
1462161077,397,333
1462168879,156,128
1462183284,214,276
1462197681,295,344
1462205481,254,301
1462213881,139,124
1462227679,249,228
1462242077,354,357
1462256475,303,301
1462270880,238,258
1462285269,284,316
1462293072,181,221
1462306875,249,155
1462314078,116,115
1462328477,251,268
1462335674,226,201
1462343477,142,186
1462357878,296,377
1462372267,216,312
1462386072,373,304
1462400477,463,329
1462408275,98,106
1462422666,245,276
1462437070,224,248
1462451474,504,359
1462459278,151,138
1462466477,99,109
1462474878,233,200
1462489280,230,233
1462503071,343,338
1462517469,328,288
1462525273,133,147
1462532476,128,131
1462540278,164,155
1462547479,189,235
1462555883,245,177
1462563679,263,246
1462572678,116,105
1462579875,198,156
1462588881,173,189
1462596081,100,129
1462605083,228,251
1462612879,256,317
1462620683,149,153
1462635077,195,259
1462648878,231,283
1462656076,215,190
1462670475,500,390
1462678272,71,77
1462685476,107,122
1462693280,207,229
1462702278,91,158
1462710674,195,259
1462723871,429,347
1462737680,238,156
1462752080,390,341
1462759874,77,93
1462767074,225,242
1462776673,264,398
1462784478,129,183
1462798877,194,278
1462812670,223,272
1462819872,252,178
1462834269,453,380
1462842066,96,69
1462849267,93,95
1462857064,169,197
1462864865,139,165
1462872668,195,165
1462879871,159,172
1462887669,233,286
1462896072,121,155
1462909871,252,283
1462924272,292,237
1462931469,207,182
1462939866,189,222
1462948270,178,182
1462962673,236,254
1462977073,274,273
1462990868,300,318
1463004669,298,288
1463019063,244,243
1463026870,159,178
1463041269,236,293
1463055666,320,308
1463063472,48,60
1463077265,333,283
1463091074,305,277
1463098873,229,169
1463106671,215,246
1463113869,81,89
1463128265,248,297
1463142065,219,224
1463149265,208,230
1463163063,329,362
1463177466,162,147
1463191864,304,293
1463199063,195,170
1463206866,138,147
1463214071,222,211
1463228472,128,196
1463242869,257,290
1463250072,127,78
1463264472,425,357
1463278865,261,186
1463293266,257,246
1463301068,117,129
1463314867,299,306
1463322670,230,228
1463337069,174,194
1463350874,365,296
1463365269,354,257
1463373667,206,291
1463382075,139,124
1463396476,270,286
1463404280,145,134
1463418667,227,324
1463427668,230,287
1463440265,184,231
1463452865,249,230
1463460663,113,121
1463475063,229,324
1463489469,280,245
1463503262,184,231
1463517063,212,239
1463528465,313,176
1463535665,271,134
1463544063,165,177
1463557860,222,321
1463572263,207,264
1463586666,315,321
1463600462,314,269
1463611262,243,173
1463619067,182,132
1463633467,274,298
1463647870,290,308
1463662268,186,247
1463676664,253,270
1463690474,369,283
1463698269,213,188
1463712670,273,261
1463727065,239,276
1463741467,275,293
1463755867,328,315
1463769070,212,174
1463781069,267,222
1463795465,354,279
1463803865,207,286
1463812265,126,138
1463820065,71,120
1463828465,151,186
1463842260,210,244
1463856665,425,390
1463871072,232,218
1463885471,259,257
1463899870,269,313
1463914275,352,325
1463922068,118,115
1463935269,214,276
1463943068,108,116
1463956863,300,273
1463964663,203,197
1463979064,197,223
1463986264,111,126
1463995268,143,127
1464009666,316,348
1464023461,283,304
1464031267,90,87
1464045058,269,238
1464052862,98,109
1464067264,256,398
1464081066,208,244
1464095467,242,266
1464108665,313,271
1464123068,249,260
1464136865,213,227
1464151258,329,370
1464165059,218,220
1464176462,214,243
1464187259,227,245
1464201658,377,325
1464209456,115,115
1464216661,126,117
1464237659,423,437
1464252059,248,290
1464266462,299,275
1464280263,343,322
1464293463,202,173
1464305457,198,214
1464316257,231,214
1464329457,185,221
1464343858,174,208
1464355861,179,151
1464369062,266,249
1464379866,243,159
1464393063,158,158
1464406857,190,250
1464419462,255,227
1464430864,256,189
1464442863,129,133
1464450062,130,156
1464463861,248,180
1464477661,319,278
1464492064,212,252
1464506465,214,250
1464519064,270,282
1464531064,262,234
1464538264,146,140
1464546060,62,81
1464560467,275,240
1464574865,268,255
1464589264,314,317
1464596467,94,106
1464610860,190,235
1464625259,344,303
1464639664,356,287
1464654065,229,209
1464668462,237,200
1464682271,344,321
1464690068,236,230
1464697267,131,74
1464705065,74,92
1464719465,291,341
1464732665,301,303
1464740467,153,139
1464747666,196,217
1464762065,163,202
1464776475,312,249
1464784271,199,220
1464798673,356,376
1464812475,211,213
1464819675,144,167
1464827476,126,117
1464841271,280,327
1464855072,291,270
1464862871,103,128
1464876665,217,202
1464884470,136,159
1464898871,381,255
1464906070,172,193
1464913872,146,142
1464928268,206,301
1464941470,207,233
1464954668,296,265
1464969065,265,220
1464977467,92,113
1464991897,315,254
1464999676,212,258
1465014066,317,330
1465027869,207,152
1465035669,184,175
1465050072,217,188
1465057870,290,236
1465066263,339,305
1465074072,90,110
1465088471,186,319
1465101664,190,206
1465116066,298,299
1465123867,162,149
1465137660,123,118
1465145465,190,181
1465159863,267,344
1465174264,390,297
1465188660,147,182
1465202465,255,277
1465210266,129,186
1465224664,318,381
1465231865,110,155
1465246264,179,200
1465260661,213,260
1465275056,268,292
1465287064,242,176
1465301466,235,244
1465308668,101,105
1465316466,78,121
1465330267,291,274
1465342866,208,205
1465350067,133,110
1465363866,186,232
1465374671,286,191
1465388469,315,278
1465396268,90,92
1465410072,220,302
1465422068,168,173
1465432271,244,201
1465446667,263,301
1465460463,133,208
1465474865,283,275
1465488060,234,271
1465498867,314,181
1465512663,87,112
1465527061,290,314
1465536669,214,144
1465543267,145,108
1465551673,179,232
1465560068,100,117
1465566668,54,86
1465576858,158,209
1465591260,248,275
1465603865,292,253
1465608663,90,88
1465619466,94,104
1465632669,179,219
1465645271,222,231
1465651868,89,120
1465661464,161,161
1465674062,170,159
1465684866,215,151
1465693866,121,120
1465707661,228,273
1465718465,173,155
1465729265,115,91
