DateTime,Entries,UniqueIPs
1459814471,1259,1259
1459825276,1301,1301
1459839074,1260,1260
1459852874,1156,1156
1459864878,1166,1166
1459878678,1236,1236
1459892477,1231,1231
1459906272,1229,1229
1459917670,1198,1198
1459931469,1095,1095
1459942266,1095,1095
1459953069,1130,1130
1459964466,1202,1202
1459977074,1222,1222
1459991474,1248,1248
1460005874,1294,1294
1460020278,1246,1246
1460033474,1228,1228
1460047873,1190,1190
1460061671,1235,1235
1460072474,1326,1326
1460080277,1338,1338
1460094672,1250,1250
1460109071,1160,1160
1460121070,1116,1116
1460131872,1152,1152
1460142670,1206,1206
1460156471,1247,1247
1460169675,1257,1257
1460184069,1193,1193
1460197878,1150,1150
1460208072,1135,1135
1460219475,1193,1193
1460230275,1218,1218
1460243474,1226,1226
1460256073,1241,1241
1460268667,1156,1156
1460293272,1119,1119
1460304072,1089,1089
1460314274,1147,1147
1460325686,1249,1249
1460337674,1300,1300
1460352077,1245,1245
1460365877,1141,1141
1460376073,1182,1182
1460389269,1178,1178
1460403673,1275,1275
1460414477,1370,1370
1460422277,1364,1364
1460436673,1284,1284
1460451080,1237,1237
1460464871,1191,1191
1460479274,1259,1259
1460489473,1282,1282
1460500877,1370,1370
1460513471,1402,1402
1460521274,1436,1436
1460535670,1377,1377
1460548269,1379,1379
1460562674,1404,1404
1460577078,1558,1558
1460591479,1592,1592
1460598079,1586,1586
1460606470,1597,1597
1460620277,1468,1468
1460634678,1402,1402
1460646680,1393,1393
1460661081,1459,1459
1460675475,1493,1493
1460682673,1523,1523
1460697672,1520,1520
1460712071,1356,1356
1460726472,1303,1303
1460739673,1446,1446
1460751077,1592,1592
1460760080,1606,1606
1460773874,1580,1580
1460788273,1509,1509
1460796080,1407,1407
1460804478,1336,1336
1460817668,1283,1283
1460830870,1433,1433
1460845272,1483,1483
1460852470,1524,1524
1460860873,1481,1481
1460869876,1474,1474
1460883678,1354,1354
1460897475,1275,1275
1460911274,1269,1269
1460923875,1351,1351
1460937073,1455,1455
1460944275,1495,1495
1460952074,1490,1490
1460966473,1371,1371
1460980278,1368,1368
1460994675,1397,1397
1461009077,1470,1470
1461022872,1439,1439
1461030072,1454,1454
1461037872,1440,1440
1461045069,1424,1424
1461052874,1342,1342
1461066070,1273,1273
1461080476,1261,1261
1461092469,1276,1276
1461105667,1274,1274
1461118869,1334,1334
1461126675,1323,1323
1461140473,1254,1254
1461160277,1204,1204
1461174075,1242,1242
1461184867,1293,1293
1461197469,1400,1400
1461210667,1365,1365
1461225069,1305,1305
1461232270,1268,1268
1461240667,1220,1220
1461255072,1257,1257
1461269473,1322,1322
1461283871,1514,1514
1461291673,1551,1551
1461299472,1467,1467
1461313271,1366,1366
1461320471,1357,1357
1461335467,1275,1275
1461348671,1260,1260
1461363076,1305,1305
1461376270,1338,1338
1461383470,1346,1346
1461391268,1283,1283
1461405075,1223,1223
1461419475,1299,1299
1461433269,1372,1372
1461447671,1411,1411
1461455474,1470,1470
1461462672,1448,1448
1461471677,1411,1411
1461479479,1356,1356
1461493277,1319,1319
1461507681,1321,1321
1461522073,1460,1460
1461536478,1446,1446
1461550871,1466,1466
1461565273,1456,1456
1461579674,1379,1379
1461594072,1355,1355
1461607870,1369,1369
1461621071,1382,1382
1461635471,1479,1479
1461642073,1540,1540
1461650470,1524,1524
1461664876,1482,1482
1461679271,1357,1357
1461693069,1417,1417
1461707473,1395,1395
1461721875,1424,1424
1461750674,1307,1307
1461765075,1287,1287
1461777677,1331,1331
1461789074,1489,1489
1461802273,1627,1627
1461810675,1607,1607
1461818469,1551,1551
1461825678,1492,1492
1461834676,1380,1380
1461848474,1291,1291
1461862264,1285,1285
1461876670,1325,1325
1461890475,1340,1340
1461904265,1353,1353
1461917468,1354,1354
1461925273,1350,1350
1461939670,1423,1423
1461946874,1543,1543
1461954668,1555,1555
1461968475,1539,1539
1461982870,1579,1579
1461997272,1589,1589
1462005072,1567,1567
1462018868,1481,1481
1462033271,1519,1519
1462041069,1538,1538
1462054874,1567,1567
1462069272,1557,1557
1462083670,1524,1524
1462090869,1518,1518
1462105270,1438,1438
1462118469,1472,1472
1462132874,1605,1605
1462146670,1653,1653
1462161077,1717,1717
1462168879,1745,1745
1462183284,1683,1683
1462197681,1634,1634
1462205481,1587,1587
1462213881,1602,1602
1462227679,1623,1623
1462242077,1620,1620
1462256475,1622,1622
1462270880,1602,1602
1462285269,1570,1570
1462293072,1530,1530
1462306875,1624,1624
1462314078,1625,1625
1462328477,1608,1608
1462335674,1633,1633
1462343477,1589,1589
1462357878,1508,1508
1462372267,1412,1412
1462386072,1481,1481
1462400477,1615,1615
1462408275,1607,1607
1462422666,1576,1576
1462437070,1552,1552
1462451474,1697,1697
1462459278,1710,1710
1462466477,1700,1700
1462474878,1733,1733
1462489280,1730,1730
1462503071,1735,1735
1462517469,1775,1775
1462525273,1761,1761
1462532476,1758,1758
1462540278,1767,1767
1462547479,1721,1721
1462555883,1789,1789
1462563679,1806,1806
1462572678,1817,1817
1462579875,1859,1859
1462588881,1843,1843
1462596081,1814,1814
1462605083,1791,1791
1462612879,1730,1730
1462620683,1726,1726
1462635077,1662,1662
1462648878,1610,1610
1462656076,1635,1635
1462670475,1745,1745
1462678272,1739,1739
1462685476,1724,1724
1462693280,1702,1702
1462702278,1635,1635
1462710674,1571,1571
1462723871,1653,1653
1462737680,1735,1735
1462752080,1784,1784
1462759874,1768,1768
1462767074,1751,1751
1462776673,1617,1617
1462784478,1563,1563
1462798877,1479,1479
1462812670,1430,1430
1462819872,1504,1504
1462834269,1577,1577
1462842066,1604,1604
1462849267,1602,1602
1462857064,1574,1574
1462864865,1548,1548
1462872668,1578,1578
1462879871,1565,1565
1462887669,1512,1512
1462896072,1478,1478
1462909871,1447,1447
1462924272,1502,1502
1462931469,1527,1527
1462939866,1494,1494
1462948270,1490,1490
1462962673,1472,1472
1462977073,1473,1473
1462990868,1455,1455
1463004669,1465,1465
1463019063,1466,1466
1463026870,1447,1447
1463041269,1390,1390
1463055666,1402,1402
1463063472,1390,1390
1463077265,1440,1440
1463091074,1468,1468
1463098873,1528,1528
1463106671,1497,1497
1463113869,1489,1489
1463128265,1440,1440
1463142065,1435,1435
1463149265,1413,1413
1463163063,1380,1380
1463177466,1395,1395
1463191864,1406,1406
1463199063,1431,1431
1463206866,1422,1422
1463214071,1433,1433
1463228472,1365,1365
1463242869,1332,1332
1463250072,1381,1381
1463264472,1449,1449
1463278865,1524,1524
1463293266,1535,1535
1463301068,1523,1523
1463314867,1516,1516
1463322670,1518,1518
1463337069,1498,1498
1463350874,1567,1567
1463365269,1664,1664
1463373667,1579,1579
1463382075,1594,1594
1463396476,1578,1578
1463404280,1589,1589
1463418667,1492,1492
1463427668,1435,1435
1463440265,1388,1388
1463452865,1407,1407
1463460663,1399,1399
1463475063,1304,1304
1463489469,1339,1339
1463503262,1292,1292
1463517063,1265,1265
1463528465,1402,1402
1463535665,1539,1539
1463544063,1527,1527
1463557860,1428,1428
1463572263,1371,1371
1463586666,1365,1365
1463600462,1410,1410
1463611262,1480,1480
1463619067,1530,1530
1463633467,1506,1506
1463647870,1488,1488
1463662268,1427,1427
1463676664,1410,1410
1463690474,1496,1496
1463698269,1521,1521
1463712670,1533,1533
1463727065,1496,1496
1463741467,1478,1478
1463755867,1491,1491
1463769070,1529,1529
1463781069,1574,1574
1463795465,1649,1649
1463803865,1570,1570
1463812265,1558,1558
1463820065,1509,1509
1463828465,1474,1474
1463842260,1440,1440
1463856665,1475,1475
1463871072,1489,1489
1463885471,1491,1491
1463899870,1447,1447
1463914275,1474,1474
1463922068,1477,1477
1463935269,1415,1415
1463943068,1407,1407
1463956863,1434,1434
1463964663,1440,1440
1463979064,1414,1414
1463986264,1399,1399
1463995268,1415,1415
1464009666,1383,1383
1464023461,1362,1362
1464031267,1365,1365
1464045058,1396,1396
1464052862,1385,1385
1464067264,1243,1243
1464081066,1207,1207
1464095467,1183,1183
1464108665,1225,1225
1464123068,1214,1214
1464136865,1200,1200
1464151258,1159,1159
1464165059,1157,1157
1464176462,1128,1128
1464187259,1110,1110
1464201658,1162,1162
1464209456,1162,1162
1464216661,1171,1171
1464237659,1157,1157
1464252059,1115,1115
1464266462,1139,1139
1464280263,1160,1160
1464293463,1189,1189
1464305457,1173,1173
1464316257,1190,1190
1464329457,1154,1154
1464343858,1120,1120
1464355861,1148,1148
1464369062,1165,1165
1464379866,1249,1249
1464393063,1249,1249
1464406857,1189,1189
1464419462,1217,1217
1464430864,1284,1284
1464442863,1280,1280
1464450062,1254,1254
1464463861,1322,1322
1464477661,1363,1363
1464492064,1323,1323
1464506465,1287,1287
1464519064,1275,1275
1464531064,1303,1303
1464538264,1309,1309
1464546060,1290,1290
1464560467,1325,1325
1464574865,1338,1338
1464589264,1335,1335
1464596467,1323,1323
1464610860,1278,1278
1464625259,1319,1319
1464639664,1388,1388
1464654065,1408,1408
1464668462,1445,1445
1464682271,1468,1468
1464690068,1474,1474
1464697267,1531,1531
1464705065,1513,1513
1464719465,1463,1463
1464732665,1461,1461
1464740467,1475,1475
1464747666,1454,1454
1464762065,1415,1415
1464776475,1478,1478
1464784271,1457,1457
1464798673,1437,1437
1464812475,1435,1435
1464819675,1412,1412
1464827476,1421,1421
1464841271,1374,1374
1464855072,1395,1395
1464862871,1370,1370
1464876665,1385,1385
1464884470,1362,1362
1464898871,1488,1488
1464906070,1467,1467
1464913872,1471,1471
1464928268,1376,1376
1464941470,1350,1350
1464954668,1381,1381
1464969065,1426,1426
1464977467,1405,1405
1464991897,1466,1466
1464999676,1420,1420
1465014066,1407,1407
1465027869,1462,1462
1465035669,1471,1471
1465050072,1500,1500
1465057870,1554,1554
1465066263,1588,1588
1465074072,1568,1568
1465088471,1435,1435
1465101664,1419,1419
1465116066,1418,1418
1465123867,1431,1431
1465137660,1436,1436
1465145465,1445,1445
1465159863,1368,1368
1465174264,1461,1461
1465188660,1426,1426
1465202465,1404,1404
1465210266,1347,1347
1465224664,1284,1284
1465231865,1239,1239
1465246264,1218,1218
1465260661,1171,1171
1465275056,1147,1147
1465287064,1213,1213
1465301466,1204,1204
1465308668,1200,1200
1465316466,1157,1157
1465330267,1174,1174
1465342866,1177,1177
1465350067,1200,1200
1465363866,1154,1154
1465374671,1249,1249
1465388469,1286,1286
1465396268,1284,1284
1465410072,1202,1202
1465422068,1197,1197
1465432271,1240,1240
1465446667,1202,1202
1465460463,1127,1127
1465474865,1135,1135
1465488060,1098,1098
1465498867,1231,1231
1465512663,1206,1206
1465527061,1182,1182
1465536669,1252,1252
1465543267,1289,1289
1465551673,1236,1236
1465560068,1219,1219
1465566668,1187,1187
1465576858,1136,1136
1465591260,1109,1109
1465603865,1148,1148
1465608663,1150,1150
1465619466,1140,1140
1465632669,1100,1100
1465645271,1091,1091
1465651868,1060,1060
1465661464,1060,1060
1465674062,1071,1071
1465684866,1135,1135
1465693866,1136,1136
1465707661,1091,1091
