DateTime,AddedIPs,RemovedIPs
1463118963,98,98
1463122564,85,85
1463126163,73,72
1463133364,110,110
1463136963,83,83
1463140564,69,70
1463144164,81,80
1463151364,127,127
1463154963,78,78
1463162164,100,102
1463165763,71,71
1463172964,88,86
1463176563,68,68
1463183763,106,106
1463187363,59,59
1463194564,107,109
1463198164,58,57
1463205364,106,105
1463208964,92,93
1463216164,95,94
1463219765,74,74
1463226963,120,120
1463230564,74,75
1463237764,117,117
1463241364,70,69
1463248564,100,100
1463252164,66,66
1463259364,111,111
1463262963,65,65
1463270164,116,116
1463273763,74,74
1463280963,107,108
1463284564,61,61
1463291763,121,121
1463295364,80,79
1463298963,78,79
1463302563,82,81
1463306164,82,82
1463309765,79,79
1463316963,120,120
1463320564,88,89
1463327764,112,111
1463331363,66,66
1463338564,102,103
1463342163,104,105
1463349364,106,105
1463352964,81,80
1463356563,77,78
1463360163,70,69
1463367364,101,103
1463370963,64,63
1463378164,73,74
1463381763,69,69
1463385364,67,67
1463388963,59,57
1463396164,95,96
1463399763,63,62
1463406963,102,104
1463410563,84,82
1463417765,102,103
1463421364,64,63
1463428564,87,87
1463432164,56,56
1463439363,115,116
1463442963,83,83
1463446564,64,64
1463450164,73,72
1463457365,90,90
1463460964,72,72
1463468163,92,93
1463471763,65,64
1463478963,102,103
1463482564,68,67
1463489764,95,98
1463493363,64,65
1463500563,115,113
1463504164,60,59
1463511363,88,88
1463514964,120,120
1463522164,114,113
1463529364,107,107
1463532963,58,59
1463540164,106,105
1463543764,60,61
1463550964,162,163
1463554564,105,105
1463561763,91,89
1463565364,81,81
1463572563,98,98
1463576163,104,106
1463583363,108,108
1463586964,74,72
1463594164,108,109
1463597763,68,68
1463604964,135,136
1463608563,78,77
1463615763,112,112
1463619365,69,68
1463626563,107,108
1463630165,71,71
1463637364,121,122
1463640964,73,73
1463648163,96,96
1463651763,83,82
1463658964,119,119
1463662564,72,72
1463669763,131,130
1463673365,95,96
1463680563,136,135
1463684164,60,60
1463691364,65,65
1463694963,74,74
1463702163,88,88
1463705763,45,45
1463712963,82,82
1463716563,58,58
1463723764,82,82
1463727363,76,76
1463734564,64,64
1463738164,74,75
1463745364,111,111
1463748963,78,77
1463756163,105,106
1463759763,82,82
1463766963,116,115
1463770565,80,80
1463777763,96,97
1463781363,91,91
1463788564,125,125
1463792163,67,66
1463799363,114,116
1463802963,62,61
1463810164,111,111
1463813764,72,72
1463820964,139,139
1463824564,113,113
1463831764,113,113
1463835364,84,83
1463842563,121,122
1463846164,62,63
1463853363,98,96
1463856963,74,75
1463864163,84,83
1463867764,71,71
1463874964,152,152
1463878564,62,62
1463885764,98,98
1463889363,52,52
1463896563,110,111
1463900164,68,68
1463907363,137,136
1463910964,68,68
1463918163,117,117
1463921765,79,79
1463925364,72,72
1463928965,69,69
1463936164,81,81
1463939764,57,57
1463946964,56,56
1463950565,44,44
1463957765,71,71
1463961363,69,69
1463968564,62,62
1463972164,53,55
1463979363,54,54
1463982964,50,50
1463990164,61,63
1463993764,54,54
1464004564,105,103
1464008164,92,92
1464015365,134,137
1464018963,103,103
1464026164,125,121
1464029764,89,89
1464036963,107,106
1464040564,90,90
1464047763,119,119
1464051363,61,62
1464058564,109,109
1464062164,62,62
1464069366,106,108
1464072964,80,82
1464080164,111,110
1464083764,102,100
1464090963,99,100
1464094564,90,89
1464101764,126,124
1464105364,67,68
1464112565,141,141
1464116163,111,110
1464123363,132,134
1464126963,86,87
1464134163,116,115
1464137764,63,62
1464144963,97,98
1464148564,53,52
1464155764,91,91
1464159365,77,76
1464166564,101,101
1464170164,92,92
1464177364,104,105
1464180964,113,112
1464184564,73,73
1464188163,70,70
1464195364,123,123
1464198964,100,101
1464206163,111,111
1464209763,102,103
1464216964,107,107
1464220564,55,55
1464227764,87,86
1464231364,79,79
1464234963,56,56
1464238563,82,82
1464245765,108,109
1464249363,68,68
1464256564,85,84
1464260164,64,63
1464267363,115,115
1464270966,81,81
1464278164,110,111
1464281764,63,64
1464288964,124,122
1464292564,67,67
1464299763,78,78
1464303364,77,78
1464310563,92,92
1464314164,64,64
1464321364,86,86
1464324964,68,67
1464332164,95,97
1464335765,75,75
1464342964,102,102
1464346563,73,73
1464353764,108,108
1464357364,71,72
1464364563,123,121
1464368164,82,81
1464375364,84,84
1464378966,96,96
1464386164,91,91
1464389764,81,82
1464396963,71,70
1464400564,69,70
1464407763,86,86
1464411364,69,69
1464418563,105,105
1464422165,65,64
1464429364,121,121
1464432963,68,68
1464440164,122,122
1464443764,78,78
1464447364,75,75
1464450964,73,73
1464458163,90,91
1464461764,66,66
1464468963,109,109
1464472564,79,80
1464479764,108,106
1464483364,65,65
1464490563,107,107
1464494164,69,69
1464501363,114,114
1464504965,64,64
1464512164,122,124
1464515763,103,103
1464522964,105,105
1464526563,68,67
1464533763,101,100
1464537363,67,67
1464544563,98,98
1464548163,63,63
1464555363,113,114
1464558963,67,67
1464566163,127,126
1464569763,57,57
1464576964,101,101
1464580564,63,63
1464587763,78,78
1464591363,73,73
1464598563,94,94
1464602164,74,74
1464605763,78,78
1464612963,105,105
1464616564,77,77
1464623763,115,115
1464627364,75,75
1464634563,93,93
1464638164,81,81
1464645364,84,84
1464648967,80,80
1464656164,88,88
1464659763,63,63
1464666963,103,103
1464670564,71,71
1464677763,109,109
1464681363,74,74
1464688564,121,121
1464692165,74,74
1464699363,150,151
1464702963,87,87
1464710164,130,130
1464713764,100,99
1464720964,91,91
1464724565,78,78
1464731764,100,101
1464735363,96,97
1464742564,96,95
1464746164,70,69
1464753364,89,91
1464756963,71,71
1464764164,109,109
1464767763,74,74
1464774964,112,112
1464778564,79,79
1464785764,110,108
1464789364,76,77
1464796564,104,103
1464800164,90,90
1464807363,106,107
1464810964,71,70
1464818163,93,95
1464821764,90,90
1464828963,108,107
1464832564,63,63
1464839763,97,96
1464843364,62,62
1464850563,101,102
1464854163,83,83
1464861364,119,118
1464864965,76,76
1464868563,67,67
1464872164,79,79
1464879363,118,119
1464882964,80,79
1464890164,93,93
1464893764,67,67
1464900965,83,83
1464904563,78,78
1464911763,129,130
1464915364,64,64
1464918963,84,84
1464922564,79,80
1464929764,79,79
1464933363,67,67
1464940563,108,108
1464944164,73,73
1464951364,147,145
1464954964,75,75
1464958563,82,82
1464962163,73,73
1464969363,124,125
1464972963,96,96
1464976567,79,79
1464980164,61,60
1464987364,102,103
1464990964,79,78
1464998163,140,140
1465001764,71,71
1465008964,124,124
1465012563,70,70
1465019763,224,224
1465023363,72,72
1465026964,119,119
1465030563,85,86
1465037763,146,147
1465041364,79,79
1465048563,123,121
1465052163,105,105
1465055763,77,77
1465059363,93,93
1465066564,78,78
1465070164,61,61
1465077364,63,63
1465080964,72,73
1465088163,110,109
1465091763,58,59
1465098964,69,68
1465102569,61,61
1465106172,66,67
1465109769,56,56
1465116973,72,71
1465120564,75,76
1465127764,125,126
1465131370,78,78
1465138572,121,120
1465142170,70,69
1465149373,92,92
1465152970,94,94
1465160170,118,118
1465163769,82,82
1465170972,134,135
1465174569,71,71
1465181772,105,104
1465185371,76,77
1465192571,121,121
1465196172,79,78
1465203371,123,124
1465206970,81,81
1465214170,128,127
1465217764,96,98
1465224964,138,137
1465228564,86,86
1465235765,106,105
1465239363,64,64
1465246564,96,96
1465250164,73,73
1465257364,132,132
1465260963,81,81
1465264563,64,64
1465268163,65,65
1465275364,83,83
1465278963,66,66
1465286164,108,108
1465289763,60,60
1465296964,122,123
1465318563,101,100
1465322165,81,82
1465329364,114,113
1465332965,92,92
1465340163,107,107
1465343764,82,82
1465347363,87,87
1465350963,65,65
1465354564,68,68
1465358164,62,62
1465361764,74,74
1465368963,125,125
1465372563,113,113
1465379763,163,163
1465383363,100,100
1465390563,111,111
1465394164,91,91
1465401364,117,117
1465404964,106,107
1465412164,108,107
1465415764,67,68
1465422963,100,99
1465426564,90,91
1465430164,82,83
1465433764,103,102
1465440963,100,101
1465444564,74,73
1465451764,112,112
1465455364,75,76
1465462563,117,115
1465466164,86,86
1465473365,105,106
1465476964,80,80
1465484164,125,124
1465487763,73,75
1465494964,166,167
1465498564,103,103
1465505764,94,91
1465509363,65,67
1465516565,104,103
1465520163,83,84
1465527363,100,98
1465530963,64,65
1465534563,58,58
1465538163,79,79
1465545363,92,92
1465548964,61,61
1465556165,123,123
1465559763,71,71
1465566964,99,100
1465570564,81,80
1465577763,94,94
1465581364,62,61
1465588564,100,102
1465592163,63,63
1465599364,90,89
1465602964,54,54
1465610164,84,84
1465613763,62,62
1465620964,83,82
1465624564,78,78
1465631764,87,87
1465635364,56,56
1465642564,114,114
1465646164,66,66
1465653364,123,123
1465656964,81,81
1465664164,95,97
1465667764,72,73
1465674963,98,97
1465678563,75,74
1465685764,94,93
1465689364,60,61
1465696564,98,97
1465700164,77,77
1465707363,99,99
1465710964,78,80
1465718164,88,87
1465721763,62,61
1465728964,134,134
1465732563,70,71
1465739763,104,104
1465743363,70,69
1465750563,96,97
