DateTime,AddedIPs,RemovedIPs
1462168886,5,17
1462176080,3,0
1462183288,6,10
1462190481,2,2
1462197686,11,4
1462205486,11,14
1462213886,8,16
1462221087,7,0
1462227684,4,8
1462235488,7,8
1462242082,3,6
1462249287,7,8
1462256482,9,0
1462263677,5,9
1462270884,8,19
1462279278,8,7
1462285273,8,0
1462293077,6,11
1462300280,8,7
1462306880,7,6
1462314083,9,5
1462321883,7,2
1462328484,8,8
1462335680,6,0
1462343484,4,6
1462350678,10,4
1462357883,6,7
1462365079,7,7
1462372271,1,7
1462380080,14,5
1462386077,9,12
1462393279,7,5
1462400483,7,7
1462408281,7,12
1462415483,8,0
1462422672,9,6
1462429278,9,7
1462437074,8,9
1462443680,9,8
1462451479,9,7
1462459283,6,9
1462466482,12,11
1462474884,12,15
1462482083,10,6
1462489285,4,6
1462495882,8,9
1462503078,4,10
1462510876,11,9
1462517476,5,7
1462525278,7,5
1462532480,6,0
1462540284,6,20
1462547483,7,12
1462555889,8,13
1462563685,7,15
1462572685,10,12
1462579881,15,0
1462588887,14,7
1462596087,7,6
1462605088,12,7
1462612884,5,9
1462620687,7,7
1462628484,7,8
1462635082,10,8
1462642883,10,15
1462648883,6,0
1462656081,5,7
1462663879,7,11
1462670481,8,0
1462678278,5,13
1462685483,9,0
1462693284,11,10
1462702282,4,0
1462710678,3,14
1462717278,7,6
1462723876,13,0
1462729880,2,10
1462737686,5,6
1462744886,5,5
1462752086,15,7
1462759880,9,9
1462767080,12,13
1462776679,5,6
1462784482,3,5
1462791683,7,7
1462798882,11,6
1462805473,6,9
1462812677,4,0
1462819878,11,9
1462827677,10,14
1462834275,10,7
1462842073,8,5
1462849273,7,8
1462857071,9,6
1462864868,6,8
1462872672,7,7
1462879875,11,10
1462887673,7,10
1462896077,6,7
1462903277,7,7
1462909877,6,8
1462916477,7,11
1462924277,7,8
1462931476,8,9
1462939872,5,11
1462948276,2,0
1462955475,7,5
1462962678,11,7
1462969876,8,6
1462977078,5,8
1462984272,8,8
1462990873,6,10
1462998671,10,16
1463004674,6,6
1463012470,10,0
1463019070,8,5
1463026876,6,18
1463034673,2,0
1463041272,11,10
1463048477,11,6
1463055670,8,12
1463063476,6,12
1463070673,12,0
1463077269,6,10
1463084471,3,8
1463091079,3,11
1463098878,11,8
1463106678,4,13
1463113875,8,0
1463121674,8,21
1463128268,11,0
1463134868,4,9
1463142070,3,7
1463149269,6,7
1463157072,6,3
1463163068,3,12
1463170269,7,0
1463177471,8,8
1463185871,12,23
1463191870,10,0
1463199069,9,6
1463206873,10,4
1463214075,9,9
1463221876,3,8
1463228476,6,9
1463235673,4,0
1463242873,7,16
1463250077,6,0
1463257881,7,16
1463264478,10,0
1463271677,5,0
1463278871,3,16
1463286076,5,0
1463293272,9,15
1463301072,9,8
1463308274,7,0
1463314872,7,6
1463322675,7,11
1463329875,2,7
1463337074,6,2
1463343672,10,0
1463350879,5,17
1463358079,14,15
1463365275,8,0
1463373673,11,23
1463382079,5,6
1463389279,8,0
1463396480,10,3
1463404285,6,15
1463411474,7,7
1463418672,12,1
1463427673,10,10
1463433672,8,0
1463440270,1,13
1463447472,3,0
1463452872,6,10
1463460669,6,0
1463467868,5,8
1463475066,8,7
1463481674,11,6
1463489473,5,9
1463496669,6,9
1463503267,6,7
1463511063,5,5
1463517068,2,4
1463522472,8,9
1463528471,7,0
1463535671,10,6
1463544070,4,11
1463551866,7,11
1463557864,7,6
1463565070,7,6
1463572267,4,11
1463578866,7,8
1463586673,10,15
1463593268,5,0
1463600467,4,8
1463605868,5,8
1463611267,3,8
1463619072,7,10
1463626271,5,8
1463633473,8,0
1463640676,11,12
1463647881,8,10
1463655674,6,7
1463662272,6,3
1463668877,10,0
1463676670,3,13
1463683280,11,5
1463690480,5,4
1463698274,11,8
1463705475,7,9
1463712677,10,0
1463719875,3,13
1463727072,8,0
1463734871,6,22
1463741472,8,0
1463748672,6,2
1463755873,6,3
1463762469,6,0
1463769074,5,18
1463775074,7,7
1463781074,4,8
1463788273,8,0
1463795471,2,6
1463803871,8,12
1463812275,7,10
1463820069,4,8
1463828469,2,4
1463835066,8,5
1463842265,3,7
1463849469,11,7
1463856670,6,7
1463864473,9,7
1463871078,9,6
1463878272,9,5
1463885477,4,2
1463893274,7,4
1463899877,8,8
1463907077,9,0
1463914280,7,16
1463922072,8,12
1463929277,9,0
1463935273,14,14
1463943073,9,5
1463950272,3,10
1463956869,10,9
1463964672,8,13
1463971868,10,9
1463979070,9,0
1463986271,7,9
1463995272,5,14
1464002470,3,6
1464009671,4,0
1464016264,4,13
1464023466,8,0
1464031273,5,12
1464038470,7,0
1464045063,4,5
1464052868,7,12
1464061273,3,6
1464067270,6,0
1464074465,10,10
1464081071,5,8
1464088271,7,11
1464095472,3,0
1464102669,7,8
1464108670,3,10
1464115273,7,0
1464123073,9,16
1464129671,6,7
1464136870,7,6
1464144064,7,11
1464151264,7,0
1464158461,8,3
1464165062,5,17
1464171066,6,4
1464176466,3,8
1464181262,3,0
1464187262,6,6
1464195065,7,5
1464201663,8,5
1464209460,3,9
1464216667,5,0
1464225063,0,13
1464231671,1,5
1464237664,5,8
1464244868,7,0
1464252063,9,10
1464259265,7,7
1464266466,8,8
1464273664,7,8
1464280267,7,7
1464286268,12,5
1464293467,4,7
1464300068,6,8
1464305462,7,7
1464310861,8,6
1464316262,2,10
1464322260,4,0
1464329463,5,5
1464337265,9,7
1464343861,7,0
1464351067,8,11
1464355867,11,8
1464362464,7,7
1464369066,10,4
1464374471,9,6
1464379870,11,6
1464385268,8,7
1464393068,6,4
1464399664,12,9
1464406862,4,0
1464412263,10,5
1464419466,8,0
1464424264,5,7
1464430869,10,5
1464437470,4,3
1464442867,9,5
1464450067,13,7
1464457870,7,6
1464463866,8,8
1464469867,9,0
1464477667,9,9
1464484271,8,10
1464492069,5,2
1464499269,6,0
1464506468,7,16
1464513069,5,5
1464519068,5,9
1464525663,7,0
1464531068,9,6
1464538268,9,9
1464546065,7,12
1464553270,9,7
1464560472,7,8
1464567663,5,9
1464574871,3,5
