DateTime,Entries,UniqueIPs
1462698302,5277,5277
1462699502,5275,5275
1462700701,5282,5282
1462701002,5279,5279
1462702502,5288,5288
1462702802,5281,5281
1462704302,5277,5277
1462706102,5279,5279
1462707902,5279,5279
1462709702,5279,5279
1462711502,5277,5277
1462713002,5277,5277
1462714802,5278,5278
1462716602,5278,5278
1462718702,5280,5280
1462720202,5278,5278
1462722302,5278,5278
1462723802,5277,5277
1462725902,5286,5286
1462727702,5280,5280
1462729802,5276,5276
1462731602,5279,5279
1462733702,5279,5279
1462735501,5278,5278
1462737302,5279,5279
1462739102,5286,5286
1462739402,5279,5279
1462741502,5280,5280
1462743001,5280,5280
1462745102,5278,5278
1462746902,5281,5281
1462749002,5278,5278
1462751101,5277,5277
1462752302,5479,5479
1462752902,5479,5479
1462754702,5482,5482
1462756502,5489,5489
1462757101,5482,5482
1462758602,5482,5482
1462760702,5478,5478
1462762501,5480,5480
1462764301,5480,5480
1462766101,5484,5484
1462766701,5478,5478
1462768201,5481,5481
1462770302,5479,5479
1462770602,5480,5480
1462771801,5478,5478
1462773902,5481,5481
1462775702,5482,5482
1462777502,5488,5488
1462777802,5481,5481
1462779601,5487,5487
1462779902,5481,5481
1462781702,5481,5481
1462783502,5482,5482
1462786502,5481,5481
1462791602,5482,5482
1462793701,5487,5487
1462795502,5496,5496
1462795802,5484,5484
1462797602,5483,5483
1462799701,5482,5482
1462801502,5483,5483
1462803601,5482,5482
1462805401,5482,5482
1462807501,5481,5481
1462809302,5481,5481
1462811101,5480,5480
1462812902,5487,5487
1462813202,5482,5482
1462815002,5483,5483
1462817101,5482,5482
1462818902,5481,5481
1462820701,5487,5487
1462821001,5481,5481
1462823102,5484,5484
1462824902,5481,5481
1462826702,5487,5487
1462827001,5481,5481
1462829102,5483,5483
1462830602,5488,5488
1462830902,5480,5480
1462832701,5490,5490
1462834502,5497,5497
1462835102,5482,5482
1462836602,5483,5483
1462838702,5692,5692
1462840502,5693,5693
1462842301,5690,5690
1462844101,5694,5694
1462844702,5688,5688
1462846202,5689,5689
1462848302,5689,5689
1462850102,5692,5692
1462851902,5691,5691
1462853701,5699,5699
1462854301,5692,5692
1462855502,5699,5699
1462855801,5691,5691
1462857902,5690,5690
1462859402,5690,5690
1462861201,5697,5697
1462861502,5692,5692
1462863302,5689,5689
1462865702,5692,5692
1462867802,5690,5690
1462869902,5693,5693
1462871102,5694,5694
1462871702,5692,5692
1462873502,5697,5697
1462873802,5690,5690
1462875902,5693,5693
1462877402,5691,5691
1462879502,5692,5692
1462881302,5691,5691
1462883102,5697,5697
1462883402,5691,5691
1462885202,5692,5692
1462887001,5700,5700
1462887302,5693,5693
1462889102,5692,5692
1462890902,5695,5695
1462892702,5700,5700
1462893002,5690,5690
1462894502,5695,5695
1462895102,5690,5690
1462896601,5693,5693
1462898702,5688,5688
1462900502,5692,5692
1462902302,5694,5694
1462904102,5694,5694
1462905902,5691,5691
1462908301,5691,5691
1462910102,5691,5691
1462912202,5693,5693
1462913102,5691,5691
1462914302,5691,5691
1462916701,5689,5689
1462918501,5685,5685
1462920302,5690,5690
1462922701,5689,5689
1462924501,5688,5688
1462925702,5897,5897
1462926302,5898,5898
1462928702,5896,5896
1462930202,5899,5899
1462932302,5898,5898
1462934101,5904,5904
1462934702,5898,5898
1462936502,5899,5899
1462938302,5899,5899
1462940102,5901,5901
1462941902,5910,5910
1462942202,5901,5901
1462944301,5900,5900
1462946102,5898,5898
1462947902,5899,5899
1462950302,5901,5901
1462951802,5900,5900
1462953901,5898,5898
1462955702,5899,5899
1462957502,5905,5905
1462957802,5898,5898
1462960502,5898,5898
1462961702,5900,5900
1462962902,5899,5899
1462963502,5901,5901
1462965002,5900,5900
1462965901,5896,5896
1462967702,5896,5896
1462969802,5899,5899
1462971901,5899,5899
1462973702,5899,5899
1462976102,5900,5900
1462977902,5900,5900
1462980302,5897,5897
1462982101,5898,5898
1462983902,5902,5902
1462984202,5896,5896
1462986302,5897,5897
1462988102,5898,5898
1462990202,5900,5900
1462992002,5900,5900
1462994102,5899,5899
1462995901,5902,5902
1462996202,5895,5895
1462998302,5898,5898
1463000101,5900,5900
1463001902,5899,5899
1463004002,5900,5900
1463005802,5898,5898
1463007902,5899,5899
1463009702,5898,5898
1463011502,6091,6091
1463012102,6086,6086
1463013602,6084,6084
1463015702,6082,6082
1463017502,6086,6086
1463019902,6084,6084
1463021402,6086,6086
1463023502,6084,6084
1463025302,6085,6085
1463027102,6090,6090
1463027402,6084,6084
1463029502,6085,6085
1463031301,6087,6087
1463033402,6084,6084
