DateTime,AddedIPs,RemovedIPs
1458820202,1,0
1458824702,0,1
1458861601,1,0
1458865502,0,1
1458885002,1,0
1458888602,0,1
1458914702,1,0
1458984900,1,0
1458986702,0,1
1459002001,0,1
1459255802,1,0
1459260601,1,1
1459433401,1,0
1459434002,0,1
1459437601,0,1
1459555201,2,0
1459583701,1,0
1459587901,1,1
1459728002,3,0
1459755002,0,1
1459814401,2,0
1459848901,1,0
1459860901,1,1
1459900801,1,0
1459934101,0,1
1459987202,3,0
1460073602,4,0
1460160002,2,0
1460189702,1,0
1460194501,1,1
1460208001,0,1
1460209202,1,0
1460267102,0,1
1460268602,1,0
1460281501,0,1
1460281801,1,0
1460366402,0,1
1460534102,1,0
1460538302,1,1
1460543101,0,1
1460629501,1,0
1460634302,1,1
1460639401,0,1
1460640302,1,0
1460643901,1,1
1460649001,0,1
1460678401,1,0
1460764802,10,0
1461052201,1,0
1461056402,1,1
1461060902,1,1
1461065701,0,1
1461456002,1,0
1461630301,1,0
1461888001,2,0
1462060802,1,0
1462091701,1,0
1462096802,1,1
1462100702,0,1
1462492802,1,0
1462775702,1,0
1462779902,0,1
1462838702,2,0
1463184002,2,0
1463270402,3,0
1463557201,1,0
1463561102,1,1
1463564401,1,0
1463565302,0,1
1463569201,1,1
1463573102,0,1
1463702702,2,0
1463898902,1,0
1463904002,1,1
1463995501,0,1
1464187201,1,0
1464192301,1,1
1464250202,0,1
1464432902,1,0
1464550202,0,1
1464739502,2,0
1464768301,1,0
1464772801,0,1
1465035302,1,0
1465039802,1,1
1465047902,0,1
1465369801,1,0
1465370702,1,0
1465374301,0,1
1465378201,1,0
1465380302,0,1
1465394701,0,1
1465461302,1,0
1465466102,1,1
1465470301,0,1
