DateTime,Entries,UniqueIPs
1444109466,2605,2605
1444148435,2573,2573
1444182544,2558,2558
1444230874,2534,2534
1444269366,2535,2535
1444325672,2535,2535
1444355665,2525,2525
1444410537,2529,2529
1444443006,2531,2531
1444488075,2571,2571
1444529870,2579,2579
1444573450,2600,2600
1444614513,2618,2618
1444670219,2646,2646
1444710108,2666,2666
1444746478,2676,2676
1444788472,2703,2703
1444833074,2706,2706
1444875699,2707,2707
1444920041,2704,2704
1444960598,2725,2725
1445007385,2726,2726
1445047984,2732,2732
1445094432,2750,2750
1445137316,2759,2759
1445189602,2766,2766
1445220809,2810,2810
1445266581,2820,2820
1445307984,2841,2841
1445361889,2849,2849
1445391155,2863,2863
1445450174,2841,2841
1445480082,2844,2844
1445525539,2806,2806
1445565325,2820,2820
1445623863,2791,2791
1445660031,2826,2826
1445696549,2829,2829
1445738300,2846,2846
1445787305,2821,2821
1445823444,2861,2861
1445871173,2866,2866
1445909641,2880,2880
1445954955,2874,2874
1445995778,2880,2880
1446042168,2877,2877
1446083332,2891,2891
1446129265,2914,2914
1446170345,2928,2928
1446215866,2928,2928
1446255157,2898,2898
1446301554,2927,2927
1446340801,2952,2952
1446388161,2943,2943
1446432586,2938,2938
1446478578,2963,2963
1446518092,2977,2977
1446575824,2943,2943
1446608504,2951,2951
1446655265,2981,2981
1446693358,2995,2995
1446739639,2987,2987
1446776526,2995,2995
1446826460,2985,2985
1446866113,2997,2997
1446912625,3022,3022
1446952177,3011,3011
1446994928,3036,3036
1447038369,3012,3012
1447086007,3019,3019
1447125614,3015,3015
1447172766,2996,2996
1447212682,2971,2971
1447258040,2994,2994
1447296574,2978,2978
1447344103,2931,2931
1447381931,2928,2928
1447427988,2925,2925
1447467296,2913,2913
1447517048,2920,2920
1447563361,2917,2917
1447601470,2937,2937
1447641195,2941,2941
1447685468,2975,2975
1447725757,2962,2962
1447775224,2937,2937
1447812822,2873,2873
1447858214,2850,2850
1447898898,2868,2868
1447965658,2808,2808
1447984706,2793,2793
1448029162,2812,2812
1448071064,2786,2786
1448116919,2815,2815
1448157516,2816,2816
1448208323,2804,2804
1448241577,2798,2798
1448288930,2761,2761
1448328766,2766,2766
1448374488,2786,2786
1448412223,2771,2771
1448462305,2742,2742
1448504004,2748,2748
1448548457,2756,2756
1448590507,2773,2773
1448634115,2830,2830
1448675078,2848,2848
1448720335,2811,2811
1448760978,2860,2860
1448807228,2853,2853
1448847898,2842,2842
1448895569,2847,2847
1448933351,2858,2858
1448981062,2896,2896
1449020513,2899,2899
1449067187,2896,2896
1449102419,2887,2887
1449153969,2885,2885
1449204104,2862,2862
1449241887,2893,2893
1449279970,2889,2889
1449328947,2863,2863
1449365558,2896,2896
1449415105,2918,2918
1449452981,2927,2927
1449500317,2930,2930
1449554672,2916,2916
1449592521,2904,2904
1449623153,2934,2934
1449675080,2941,2941
1449723057,2928,2928
1449759711,2959,2959
1449799167,2961,2961
1449845918,2972,2972
1449886746,2982,2982
1449931856,3005,3005
1449978449,3000,3000
1450018425,3040,3040
1450060326,3025,3025
1450104022,3045,3045
1450143849,3026,3026
1450190137,3026,3026
1450242905,2999,2999
1450277470,2992,2992
1450326520,3001,3001
1450363816,3040,3040
1450403244,3045,3045
1450452099,3038,3038
1450489993,3034,3034
1450546670,3071,3071
1450576477,3065,3065
1450623523,3061,3061
1450663001,3097,3097
1450709668,3088,3088
1450748320,3079,3079
1450794175,3106,3106
1450834541,3083,3083
1450887968,3093,3093
1450919667,3126,3126
1450969243,3114,3114
1451008399,3136,3136
1451056296,3110,3110
1451095093,3142,3142
1451144122,3133,3133
1451182805,3070,3070
1451229611,3037,3037
1451268589,3020,3020
1451314318,2991,2991
1451354153,2974,2974
1451409373,2975,2975
1451440831,3000,3000
1451490565,2957,2957
1451529066,2948,2948
1451574601,2947,2947
1451614813,2957,2957
1451665983,2978,2978
1451701502,2986,2986
1451745248,2974,2974
1451788312,3025,3025
1451839601,3001,3001
1451878974,2996,2996
1451920560,3018,3018
1451961628,2981,2981
1452007107,3009,3009
1452045576,2972,2972
1452102206,2960,2960
1452133772,2978,2978
1452178545,2958,2958
1452220891,2932,2932
1452267603,2914,2914
1452306446,2941,2941
1452351919,2941,2941
1452402373,2926,2926
1452441682,2909,2909
1452484908,2898,2898
1452527998,2885,2885
1452575186,2858,2858
1452612450,2834,2834
1452656639,2845,2845
1452706521,2826,2826
1452740944,2831,2831
1452786428,2821,2821
1452825135,2843,2843
1452872299,2785,2785
1452913042,2816,2816
1452957441,2766,2766
1453001633,2766,2766
1453055015,2741,2741
1453088922,2692,2719
1453132874,2708,2735
1453171702,2659,2685
1453213195,2679,2706
1453254508,2666,2692
1453311980,2622,2647
1453343795,2653,2678
1453400566,2606,2628
1453431198,2602,2624
1453489569,2586,2608
1453521252,2591,2613
1453563611,2612,2635
1453604782,2586,2609
1453665869,2571,2594
1453691404,2572,2596
1453739126,2557,2581
1453788314,2547,2570
1453824992,2527,2551
1453873410,2531,2556
1453907351,2555,2580
1453945816,2519,2546
1454002067,2546,2573
1454042765,2489,2516
1454080473,2511,2538
1454170616,2452,2478
1454220648,2448,2474
1454254176,2489,2515
1454310962,2444,2473
1454342840,2428,2455
1454412768,2415,2441
1454434882,2395,2421
1454486558,2408,2433
1454517250,2402,2426
1454556724,2390,2414
1454602683,2389,2412
1454646382,2391,2414
1454688023,2416,2441
1454728751,2393,2417
1454771831,2391,2417
1454811389,2411,2439
1454858155,2437,2466
1454895628,2430,2460
1454944525,2420,2450
1454983994,2417,2446
1455045442,2379,2409
1455077546,2383,2414
1455132431,2378,2409
1455160011,2417,2448
1455215234,2384,2415
1455246420,2409,2440
1455288430,2402,2431
1455327781,2412,2440
1455380569,2402,2431
1455416348,2401,2430
1455470551,2372,2401
1455500778,2391,2421
1455554442,2368,2399
1455588812,2402,2433
1455641670,2395,2426
1455676306,2398,2429
1455729009,2358,2389
1455760720,2381,2412
1455814641,2343,2374
1455855847,2339,2370
1455901577,2356,2387
1455936923,2327,2357
1455987725,2348,2378
1456025868,2321,2350
1456069562,2340,2370
