DateTime,AddedIPs,RemovedIPs
1454830653,53,188
1454858150,125,0
1454869398,71,93
1454895625,94,82
1454916754,57,91
1454944521,99,100
1454955955,64,75
1454983990,115,153
1455003378,64,94
1455045438,68,177
1455077540,120,93
1455089797,73,0
1455129060,50,69
1455132424,32,108
1455160002,127,0
1455176456,82,147
1455215496,68,30
1455246415,125,193
1455261931,72,0
1455288424,106,85
1455300835,70,0
1455327741,95,106
1455348950,47,76
1455380564,110,167
1455388021,54,0
1455416343,91,139
1455435999,40,83
1455470542,114,82
1455474435,57,64
1455500773,94,0
1455522511,40,71
1455554435,116,88
1455561072,69,155
1455588805,103,71
1455607525,66,0
1455641665,117,81
1455646477,51,203
1455676299,125,0
1455694791,80,147
1455729004,122,95
1455733437,73,103
1455760714,114,96
1455781582,56,92
1455814636,119,95
1455820546,62,0
1455855842,112,175
1455866946,99,0
1455901571,115,96
1455907315,71,197
1455936916,97,0
1455954438,56,176
1455987721,125,106
1455993451,69,0
1456025863,123,163
1456041673,78,81
1456069557,125,0
1456079618,68,110
1456115620,124,202
1456126045,91,0
1456161546,114,196
1456166450,70,105
1456194133,106,0
1456213449,56,183
1456243741,121,0
1456251855,64,105
1456285028,124,162
1456299975,91,0
1456325883,109,78
1456338816,53,104
1456365645,118,100
1456385162,59,182
1456421891,127,102
1456424558,64,0
1456459700,131,188
1456471196,89,0
1456499077,123,76
1456511673,62,221
1456548020,131,98
1456557407,88,98
1456583300,114,0
1456598512,55,92
1456627960,126,107
1456644751,94,174
1456675666,116,102
1456684595,84,109
1456722494,123,109
1456731728,78,103
1456761657,117,0
1456770096,75,93
1456798430,114,99
1456817863,53,198
1456846077,118,0
1456857338,42,95
1456886302,119,170
1456904581,74,0
1456935694,128,162
1456943893,71,86
1456988927,124,106
1457015814,132,93
1457029523,80,125
1457058315,124,124
1457076997,59,99
1457116078,41,112
1457126429,85,59
1457144260,127,0
1457163295,87,107
1457190857,126,48
1457202881,60,77
1457233743,119,220
1457250314,56,93
1457281852,117,92
1457288701,51,0
1457317123,110,82
1457334742,52,90
1457361315,108,76
1457374976,39,173
1457402483,116,0
1457421858,47,153
1457448634,115,81
1457460943,52,73
1457486895,120,0
1457508580,57,88
1457534152,118,158
1457547946,54,0
1457573234,103,179
1457594452,56,0
1457633720,57,252
1457642586,101,0
1457658564,125,85
1457680369,85,0
1457705540,119,63
1457720175,62,0
1457745955,118,198
1457766321,51,184
1457789686,113,0
1457806632,51,170
1457831338,112,106
1457853512,65,0
1457879288,114,158
1457889311,57,0
1457915521,117,69
1457935754,53,105
1457960925,119,66
1457975447,56,109
1458001769,112,62
1458022605,73,175
1458050768,116,111
1458062091,72,0
1458087606,118,180
1458109252,53,0
1458141113,109,183
1458148040,99,69
1458174956,115,0
1458195948,63,213
1458222525,123,0
1458234898,59,184
1458259717,106,99
1458282386,47,0
1458308162,113,176
1458321630,55,0
1458355765,130,158
1458368574,80,66
1458394331,110,109
1458407571,44,0
1458431035,91,96
1458455204,50,182
1458482100,121,83
1458494745,36,56
1458521740,122,88
1458541477,43,62
1458565685,100,0
1458580823,47,99
1458607465,129,68
1458627786,44,86
1458657199,123,143
1458667678,47,89
1458693966,122,95
1458714108,46,0
1458740519,119,84
1458754089,67,161
1458783428,117,86
1458800539,55,0
1458824746,114,79
1458840166,40,182
1458873124,124,100
1458887465,75,0
1458919880,124,157
1458926996,67,0
1458963328,135,194
1458972086,95,0
1458997045,122,82
1459013184,60,224
1459043596,126,0
1459059203,79,195
1459086551,112,105
1459098725,66,0
1459127083,117,100
1459145902,82,93
1459184138,64,185
1459192738,74,102
1459214988,121,92
1459231154,85,90
1459260714,113,0
1459271481,70,69
1459297697,113,103
1459318090,72,186
1459349447,118,89
1459358946,90,104
1459404244,58,90
1459444367,78,205
1459468934,132,68
1459491529,58,0
1459517265,104,81
1459531180,29,87
1459555516,112,0
1459578275,37,76
1459602864,109,68
1459617832,39,73
1459642978,108,142
1459664731,29,75
1459688803,92,76
1459704067,39,67
1459734840,109,79
1459750626,40,65
1459774035,94,0
1459789939,34,65
1459813971,118,73
1459836678,44,71
1459859815,116,60
1459876617,39,62
1459902837,116,79
1459923648,44,156
1459948199,91,78
1459962892,33,0
1459989563,105,94
1460009763,34,129
1460032954,108,0
1460049825,45,132
1460076414,107,66
1460096744,41,86
1460127485,105,76
1460136290,35,0
1460161486,89,146
1460182553,39,0
1460206878,108,59
1460223269,34,132
1460246483,96,70
1460269571,45,72
1460294807,117,0
1460309006,44,67
1460332545,92,60
1460355915,27,84
1460382325,119,160
1460395714,43,62
1460423570,120,69
1460442681,61,0
1460468152,120,89
1460482018,41,70
1460506523,105,91
1460528478,47,174
1460553011,97,0
1460568610,53,79
1460592879,77,75
1460615381,50,73
1460639619,92,152
1460654227,33,49
1460678078,98,0
1460702046,36,123
1460726142,85,74
1460741064,28,0
1460767058,109,145
1460787757,51,0
1460812040,85,51
1460827602,33,61
1460852368,88,74
1460874863,46,80
1460898758,73,117
1460913787,41,70
1460939879,100,0
1460960470,57,112
1460985745,88,0
1461000140,39,72
1461024481,93,69
1461047082,39,79
1461070726,88,128
1461086712,26,62
1461111027,82,0
1461133539,38,72
1461158673,93,120
1461173007,36,0
1461197751,77,122
1461220141,32,55
1461246498,96,0
1461260182,22,71
1461286014,91,109
1461307053,27,55
1461331648,86,67
1461346141,41,49
1461370606,73,0
1461392903,28,74
1461416621,85,46
1461432349,33,111
1461456733,90,0
1461479274,31,62
1461504679,88,121
1461519193,42,0
1461542121,82,54
1461565263,30,117
1461591169,93,0
1461604957,24,76
1461630271,73,117
1461652136,31,0
1461677042,90,110
1461691328,31,0
1461716330,95,114
1461738181,32,0
1461762512,79,57
1461777879,41,119
1461805029,101,68
1461824996,42,55
1461850099,84,68
1461864421,37,0
1461865753,14,0
1461910355,29,142
1461934617,79,49
1461950911,29,80
1461975995,88,39
1461998320,32,38
1462021417,79,68
1462037580,38,41
1462061634,89,80
1462084120,35,0
1462108169,82,45
1462123585,33,74
1462148540,98,47
1462170242,43,122
1462195123,82,0
1462210017,44,138
1462233307,80,0
1462256655,36,127
1462281955,96,63
1462296672,38,57
1462321875,91,67
1462343896,40,0
1462369389,92,126
1462382866,40,56
1462408771,85,0
1462430038,25,136
1462454452,89,0
1462469700,47,76
1462494550,90,113
1462515594,39,0
1462541606,90,57
1462555644,44,134
1462579873,91,0
1462602961,44,70
1462628482,87,134
1462642937,39,59
1462666877,86,80
1462689461,36,55
1462713649,92,0
1462729003,42,119
1462753143,71,72
1462775522,36,0
1462800605,80,56
1462815118,31,72
1462840313,77,34
1462861896,38,112
1462886323,79,0
1462901113,53,67
1462926653,84,38
1462947747,25,68
1462972577,71,74
1462987472,35,115
1463012299,94,73
1463035230,43,44
1463059916,84,68
1463073814,32,59
1463097436,76,0
