DateTime,Entries,UniqueIPs
1454858150,2145,2189
1454869398,2191,2235
1454895625,2254,2302
1454916754,2226,2279
1454944521,2229,2282
1454955955,2185,2237
1454983990,2212,2264
1455003378,2205,2257
1455045438,2131,2183
1455077540,2152,2203
1455089797,2181,2233
1455129060,2017,2064
1455132424,2040,2087
1455160002,2114,2165
1455176456,2012,2061
1455215496,1990,2038
1455246415,2002,2051
1455261931,1897,1944
1455288424,1961,2009
1455300835,1936,1985
1455327741,1924,1976
1455348950,1888,1940
1455380564,1849,1899
1455388021,1882,1932
1455416343,1802,1850
1455435999,1826,1874
1455470542,1794,1843
1455474435,1783,1830
1455500773,1796,1841
1455522511,1759,1801
1455554435,1799,1843
1455561072,1783,1828
1455588805,1798,1841
1455607525,1829,1872
1455641665,1873,1917
1455646477,1911,1955
1455676299,1917,1963
1455694791,1895,1942
1455729004,1937,1984
1455733437,1960,2010
1455760714,1979,2027
1455781582,1974,2022
1455814636,1983,2034
1455820546,2021,2074
1455855842,1977,2026
1455866946,2047,2098
1455901571,2013,2066
1455907315,2016,2069
1455936916,2034,2086
1455954438,2013,2064
1455987721,2032,2085
1455993451,2037,2088
1456025863,2075,2124
1456041673,2067,2114
1456069557,2143,2193
1456079618,2104,2154
1456115620,2145,2193
1456126045,2206,2254
1456161546,2142,2188
1456166450,2128,2173
1456194133,2162,2207
1456213449,2141,2186
1456243741,2211,2257
1456251855,2133,2176
1456285028,2157,2201
1456299975,2218,2264
1456325883,2244,2289
1456338816,2218,2262
1456365645,2235,2279
1456385162,2155,2198
1456421891,2184,2221
1456424558,2223,2261
1456459700,2253,2294
1456471196,2276,2315
1456499077,2293,2336
1456511673,2233,2274
1456548020,2272,2315
1456557407,2331,2374
1456583300,2354,2398
1456598512,2303,2344
1456627960,2328,2371
1456644751,2321,2363
1456675666,2274,2315
1456684595,2265,2309
1456722494,2263,2307
1456731728,2243,2285
1456761657,2320,2363
1456770096,2306,2350
1456798430,2318,2363
1456817863,2289,2331
1456846077,2236,2278
1456857338,2260,2302
1456886302,2271,2311
1456904581,2197,2236
1456935694,2217,2258
1456943893,2201,2242
1456988927,2223,2264
1457015814,2264,2306
1457029523,2197,2235
1457058315,2270,2309
1457076997,2181,2219
1457116078,2136,2173
1457126429,2130,2167
1457144260,2215,2253
1457163295,2203,2240
1457190857,2181,2214
1457202881,2212,2248
1457233743,2155,2190
1457250314,2113,2149
1457281852,2129,2163
1457288701,2159,2193
1457317123,2168,2200
1457334742,2132,2164
1457361315,2154,2185
1457374976,2119,2148
1457402483,2152,2182
1457421858,2123,2152
1457448634,2162,2192
1457460943,2079,2110
1457486895,2153,2186
1457508580,2110,2144
1457534152,2123,2159
1457547946,2075,2112
1457573234,2076,2115
1457594452,2029,2067
