DateTime,AddedIPs,RemovedIPs
1455003378,113,113
1455045438,84,84
1455077540,136,137
1455089797,101,104
1455129060,65,64
1455132424,35,36
1455160002,138,133
1455176456,104,106
1455215496,89,90
1455246415,137,135
1455261931,92,94
1455288424,118,118
1455300835,87,86
1455327741,118,117
1455348950,91,92
1455380564,135,134
1455388021,102,105
1455416343,124,124
1455435999,94,95
1455470542,136,132
1455474435,96,96
1455500773,123,126
1455522511,91,90
1455554435,136,136
1455561072,116,117
1455588805,127,125
1455607525,85,87
1455641665,137,134
1455646477,106,107
1455676299,143,141
1455694791,112,114
1455729004,141,140
1455733437,114,115
1455760714,137,135
1455781582,96,101
1455814636,140,137
1455820546,104,107
1455855842,135,133
1455866946,113,113
1455901571,138,135
1455907315,118,120
1455936916,127,127
1455954438,100,101
1455987721,142,139
1455993451,128,130
1456025863,136,135
1456041673,107,109
1456069557,140,137
1456079618,115,119
1456115620,137,134
1456126045,107,107
1456161546,140,140
1456166450,123,125
1456194133,127,125
1456213449,98,99
1456243741,140,139
1456251855,123,124
1456285028,139,137
1456299975,123,127
1456325883,138,135
1456338816,112,115
1456365645,136,135
1456385162,113,115
1456421891,140,138
1456424558,119,121
1456459700,144,139
1456471196,103,107
1456499077,141,139
1456511673,111,113
1456548020,141,137
1456557407,108,110
1456583300,134,136
1456598512,121,121
1456627960,142,138
1456644751,111,116
1456675666,141,137
1456684595,110,113
1456722494,135,131
1456731728,115,119
1456761657,135,132
1456770096,114,116
1456798430,138,136
1456817863,113,115
1456846077,132,129
1456857338,108,111
1456886302,139,136
1456904581,119,120
1456935694,141,140
1456943893,128,131
1456988927,135,134
1457015814,139,138
1457029523,122,124
1457058315,136,133
1457076997,128,130
1457116078,60,59
1457126429,90,89
1457144260,143,144
1457163295,122,124
1457190857,139,136
1457202881,102,104
1457233743,139,139
1457250314,108,109
1457281852,133,131
1457288701,104,106
1457317123,135,134
1457334742,100,101
1457361315,125,122
1457374976,90,93
1457402483,131,129
1457421858,103,103
1457448634,130,131
1457460943,102,104
1457486895,138,135
1457508580,121,122
1457534152,140,139
1457547946,113,115
1457573234,126,124
1457594452,107,111
1457633720,75,73
1457642586,107,106
1457658564,143,141
1457680369,116,119
1457705540,137,135
1457720175,117,119
1457745955,137,134
1457766321,118,122
1457789686,131,129
1457806632,115,117
1457831338,135,131
1457853512,122,126
1457879288,135,133
1457889311,122,123
1457915521,134,134
1457935754,126,127
1457960925,137,133
1457975447,126,129
1458001769,131,131
1458022605,122,125
1458050768,135,132
1458062091,124,122
1458087606,137,136
1458109252,123,126
1458141113,132,130
1458148040,117,121
1458174956,135,133
1458195948,119,119
1458222525,138,138
1458234898,127,124
1458259717,132,137
1458282386,121,117
1458308162,133,135
1458321630,122,121
1458355765,140,138
1458368574,121,124
1458394331,126,126
1458407571,100,99
1458431035,111,111
1458455204,99,99
1458482100,128,128
1458494745,106,108
1458521740,135,132
1458541477,103,105
1458565685,120,118
1458580823,96,100
1458607465,142,137
1458627786,102,105
1458657199,138,137
1458667678,99,100
1458693966,136,134
1458714108,99,103
1458740519,137,133
1458754089,122,123
1458783428,134,133
1458800539,110,110
1458824746,128,130
1458840166,105,104
1458873124,137,136
1458887465,102,100
1458919880,139,143
1458926996,133,129
1458963328,141,143
1458972086,119,122
1458997045,136,133
1459013184,123,125
1459043596,137,137
1459059203,107,105
1459086551,131,134
1459098725,123,123
1459127083,138,135
1459145902,116,116
1459184138,95,98
1459192738,80,79
1459214988,132,133
1459231154,107,107
1459260714,131,131
1459271481,102,102
1459297697,135,134
1459318090,105,107
1459349447,135,135
1459358946,110,105
1459404244,76,76
1459444367,86,86
1459468934,135,136
1459491529,99,100
1459517265,120,122
1459531180,90,88
1459555516,126,128
1459578275,96,92
1459602864,131,133
1459617832,93,93
1459642978,130,135
1459664731,94,89
1459688803,107,110
1459704067,84,80
1459734840,122,123
1459750626,91,90
1459774035,109,111
1459789939,84,83
1459813971,134,132
1459836678,94,96
1459859815,137,138
1459876617,94,92
1459902837,133,136
1459923648,98,97
1459948199,107,108
1459962892,90,90
1459989563,128,124
1460009763,89,90
1460032954,126,130
1460049825,95,93
1460076414,123,123
1460096744,86,84
1460127485,119,122
1460136290,92,88
1460161486,121,125
1460182553,94,91
1460206878,122,123
1460223269,89,89
1460246483,119,118
1460269571,103,103
1460294807,134,136
1460309006,92,91
1460332545,116,115
1460355915,84,85
1460382325,137,136
1460395714,87,89
1460423570,137,136
1460442681,105,104
1460468152,139,139
1460482018,96,98
1460506523,124,122
1460528478,93,94
1460553011,115,114
1460568610,93,92
1460592879,100,101
1460615381,97,96
1460639619,109,110
1460654227,91,91
1460678078,124,127
1460702046,101,97
1460726142,102,103
1460741064,81,80
1460767058,122,123
1460787757,99,98
1460812040,99,100
1460827602,86,86
1460852368,109,110
1460874863,88,89
1460898758,93,91
1460913787,85,88
1460939879,114,111
1460960470,96,99
1460985745,112,110
1461000140,86,88
1461024481,112,108
1461047082,86,91
1461070726,109,109
1461086712,82,81
1461111027,99,96
1461133539,88,90
1461158673,109,108
1461173007,88,89
1461197751,101,99
1461220141,87,90
1461246498,113,111
1461260182,83,86
1461286014,112,108
1461307053,82,87
1461331648,99,96
1461346141,85,88
1461370606,96,91
1461392903,76,80
1461416621,100,96
1461432349,83,84
1461456733,105,104
1461479274,83,84
1461504679,99,97
1461519193,82,85
1461542121,109,106
1461565263,81,84
1461591169,107,105
1461604957,86,87
1461630271,89,90
1461652136,89,90
1461677042,107,104
1461691328,82,85
1461716330,107,106
1461738181,81,80
1461762512,98,99
1461777879,83,85
1461805029,118,116
