DateTime,Entries,UniqueIPs
1454869398,142,142
1454895625,144,144
1454916754,144,144
1454944521,142,142
1454955955,144,144
1454983990,144,144
1455003378,144,144
1455045438,144,144
1455077540,143,143
1455089797,140,140
1455129060,141,141
1455132424,140,140
1455160002,145,145
1455176456,143,143
1455215496,142,142
1455246415,144,144
1455261931,142,142
1455288424,142,142
1455300835,143,143
1455327741,144,144
1455348950,143,143
1455380564,144,144
1455388021,141,141
1455416343,141,141
1455435999,140,140
1455470542,144,144
1455474435,144,144
1455500773,141,141
1455522511,142,142
1455554435,142,142
1455561072,141,141
1455588805,143,143
1455607525,141,141
1455641665,144,144
1455646477,143,143
1455676299,145,145
1455694791,143,143
1455729004,144,144
1455733437,143,143
1455760714,145,145
1455781582,140,140
1455814636,143,143
1455820546,140,140
1455855842,142,142
1455866946,142,142
1455901571,145,145
1455907315,143,143
1455936916,143,143
1455954438,142,142
1455987721,145,145
1455993451,143,143
1456025863,144,144
1456041673,142,142
1456069557,145,145
1456079618,141,141
1456115620,144,144
1456126045,144,144
1456161546,144,144
1456166450,142,142
1456194133,144,144
1456213449,143,143
1456243741,144,144
1456251855,143,143
1456285028,145,145
1456299975,141,141
1456325883,144,144
1456338816,141,141
1456365645,142,142
1456385162,140,140
1456421891,142,142
1456424558,140,140
1456459700,145,145
1456471196,141,141
1456499077,143,143
1456511673,141,141
1456548020,145,145
1456557407,143,143
1456583300,141,141
1456598512,141,141
1456627960,145,145
1456644751,140,140
1456675666,144,144
1456684595,141,141
1456722494,145,145
1456731728,141,141
1456761657,144,144
1456770096,142,142
1456798430,144,144
1456817863,142,142
1456846077,145,145
1456857338,142,142
1456886302,145,145
1456904581,144,144
1456935694,145,145
1456943893,142,142
1456988927,143,143
1457015814,144,144
1457029523,142,142
1457058315,145,145
1457076997,143,143
1457116078,144,144
1457126429,145,145
1457144260,144,144
1457163295,142,142
1457190857,145,145
1457202881,143,143
1457233743,143,143
1457250314,142,142
1457281852,144,144
1457288701,142,142
1457317123,143,143
1457334742,142,142
1457361315,145,145
1457374976,142,142
1457402483,144,144
1457421858,144,144
1457448634,143,143
1457460943,141,141
1457486895,144,144
1457508580,143,143
1457534152,144,144
1457547946,142,142
1457573234,144,144
1457594452,140,140
1457633720,142,142
1457642586,143,143
1457658564,145,145
1457680369,142,142
1457705540,144,144
1457720175,142,142
1457745955,145,145
1457766321,141,141
1457789686,143,143
1457806632,141,141
1457831338,145,145
1457853512,141,141
1457879288,143,143
1457889311,142,142
1457915521,142,142
1457935754,141,141
1457960925,145,145
1457975447,142,142
1458001769,142,142
1458022605,139,139
1458050768,142,142
1458062091,144,144
1458087606,145,145
1458109252,142,142
1458141113,144,144
1458148040,140,140
1458174956,142,142
1458195948,142,142
1458222525,142,142
1458234898,145,145
1458259717,140,140
1458282386,144,144
1458308162,142,142
1458321630,143,143
1458355765,145,145
1458368574,142,142
1458394331,142,142
1458407571,143,143
1458431035,143,143
1458455204,143,143
1458482100,143,143
1458494745,141,141
1458521740,144,144
1458541477,142,142
1458565685,144,144
1458580823,140,140
1458607465,145,145
1458627786,142,142
1458657199,143,143
1458667678,142,142
1458693966,144,144
1458714108,140,140
1458740519,144,144
1458754089,143,143
1458783428,144,144
1458800539,144,144
1458824746,142,142
1458840166,143,143
1458873124,144,144
1458887465,146,146
1458919880,142,142
1458926996,146,146
1458963328,144,144
1458972086,141,141
1458997045,144,144
1459013184,142,142
1459043596,142,142
1459059203,144,144
1459086551,141,141
1459098725,141,141
1459127083,144,144
1459145902,144,144
1459184138,141,141
1459192738,142,142
1459214988,141,141
1459231154,141,141
1459260714,141,141
1459271481,141,141
1459297697,142,142
1459318090,140,140
1459349447,140,140
1459358946,145,145
1459404244,145,145
1459444367,145,145
1459468934,144,144
1459491529,143,143
1459517265,141,141
1459531180,143,143
1459555516,141,141
1459578275,145,145
1459602864,143,143
1459617832,143,143
1459642978,138,138
1459664731,143,143
1459688803,140,140
1459704067,144,144
1459734840,143,143
1459750626,144,144
1459774035,142,142
1459789939,143,143
1459813971,145,145
1459836678,143,143
1459859815,142,142
1459876617,144,144
1459902837,141,141
1459923648,142,142
1459948199,141,141
1459962892,141,141
1459989563,145,145
1460009763,144,144
1460032954,140,140
1460049825,142,142
1460076414,142,142
1460096744,144,144
1460127485,141,141
1460136290,145,145
1460161486,141,141
1460182553,144,144
1460206878,143,143
1460223269,143,143
1460246483,144,144
1460269571,144,144
1460294807,142,142
1460309006,143,143
1460332545,144,144
1460355915,143,143
1460382325,144,144
1460395714,142,142
1460423570,143,143
1460442681,144,144
1460468152,144,144
1460482018,142,142
1460506523,144,144
1460528478,143,143
1460553011,144,144
1460568610,145,145
1460592879,144,144
1460615381,145,145
1460639619,144,144
1460654227,144,144
1460678078,141,141
1460702046,145,145
1460726142,144,144
1460741064,145,145
1460767058,144,144
1460787757,145,145
1460812040,144,144
1460827602,144,144
1460852368,143,143
1460874863,142,142
1460898758,144,144
1460913787,141,141
1460939879,144,144
1460960470,141,141
1460985745,143,143
1461000140,141,141
1461024481,145,145
1461047082,140,140
1461070726,140,140
1461086712,141,141
1461111027,144,144
1461133539,142,142
1461158673,143,143
1461173007,142,142
1461197751,144,144
1461220141,141,141
1461246498,143,143
1461260182,140,140
1461286014,144,144
1461307053,139,139
1461331648,142,142
1461346141,139,139
1461370606,144,144
1461392903,140,140
1461416621,144,144
1461432349,143,143
1461456733,144,144
1461479274,143,143
1461504679,145,145
1461519193,142,142
1461542121,145,145
1461565263,142,142
1461591169,144,144
1461604957,143,143
1461630271,142,142
1461652136,141,141
1461677042,144,144
1461691328,141,141
1461716330,142,142
1461738181,143,143
1461762512,142,142
1461777879,140,140
1461805029,142,142
1461824996,140,140
1461850099,144,144
1461864421,143,143
1461865753,143,143
1461910355,142,142
1461934617,144,144
1461950911,141,141
1461975995,145,145
1461998320,143,143
1462021417,144,144
1462037580,142,142
1462061634,144,144
1462084120,141,141
1462108169,142,142
1462123585,140,140
1462148540,144,144
1462170242,142,142
1462195123,143,143
1462210017,140,140
1462233307,143,143
1462256655,142,142
1462281955,145,145
1462296672,141,141
1462321875,142,142
1462343896,142,142
1462369389,144,144
1462382866,139,139
1462408771,142,142
1462430038,140,140
1462454452,143,143
1462469700,142,142
1462494550,143,143
1462515594,143,143
1462541606,144,144
1462555644,142,142
1462579873,145,145
1462602961,142,142
1462628482,145,145
1462642937,143,143
1462666877,145,145
1462689461,143,143
1462713649,145,145
1462729003,144,144
1462753143,148,148
1462775522,144,144
1462800605,145,145
1462815118,148,148
1462840313,145,145
1462861896,143,143
1462886323,138,138
1462901113,139,139
1462926653,144,144
1462947747,139,139
1462972577,137,137
1462987472,139,139
1463012299,143,143
1463035230,140,140
1463059916,139,139
1463073814,140,140
1463097436,141,141
1463121349,140,140
1463145357,142,142
1463160338,140,140
1463184738,142,142
1463207571,141,141
1463232651,141,141
1463246664,140,140
1463271627,141,141
1463294281,139,139
1463319497,142,142
1463333304,139,139
1463358282,141,141
1463380872,139,139
1463405766,142,142
1463419951,139,139
1463445300,141,141
1463466485,140,140
1463490238,141,141
1463506358,137,137
1463532305,143,143
1463552559,139,139
1463575927,144,144
1463592231,137,137
1463618214,144,144
1463639557,141,141
1463664368,141,141
1463678834,142,142
1463703882,143,143
1463725321,140,140
1463749026,142,142
1463766153,140,140
1463791644,144,144
1463812000,141,141
1463834355,143,143
1463852029,142,142
1463876876,143,143
1463898538,142,142
1463922474,145,145
1463938693,142,142
1463964036,143,143
1463985701,141,141
1464009285,142,142
1464024491,141,141
1464048177,144,144
1464071844,141,141
1464096886,145,145
1464111387,143,143
1464134962,145,145
1464157745,144,144
1464180791,144,144
1464197585,144,144
1464222526,142,142
1464243908,142,142
1464265923,142,142
1464283408,141,141
1464305066,144,144
1464330716,140,140
1464353047,145,145
1464369833,141,141
1464392412,145,145
1464417221,141,141
1464441895,142,142
1464456913,142,142
1464480961,143,143
1464503864,144,144
1464528311,141,141
1464543384,143,143
