DateTime,Entries,UniqueIPs
1443700800,11808,11808
1443744000,12115,12115
1443787200,11762,11762
1443830400,11323,11323
1443873600,10863,10863
1443917700,9920,9920
1443960900,9261,9261
1444004100,7958,7958
1444047300,7739,7739
1444090500,7926,7926
1444133700,8100,8100
1444176900,8724,8724
1444220100,9090,9090
1444263300,9170,9170
1444306500,8893,8893
1444349700,8522,8522
1444392900,8195,8195
1444436100,7764,7764
1444479300,7502,7502
1444522500,7338,7338
1444565700,7253,7253
1444608900,7146,7146
1444652100,7373,7373
1444695300,7898,7898
1444738500,8249,8249
1444781700,8384,8384
1444824900,8422,8422
1444868100,8213,8213
1444911300,8020,8020
1444954500,7875,7875
1444997700,7757,7757
1445040900,7692,7692
1445084100,7661,7661
1445127300,7895,7895
1445170500,8096,8096
1445213700,8336,8336
1445256900,8517,8517
1445300100,8695,8695
1445343300,8937,8937
1445386500,9510,9510
1445429700,9508,9508
1445472900,9512,9512
1445537700,9669,9669
1445580900,9729,9729
1445624100,9155,9155
1445969700,8620,8620
1446012900,8623,8623
1446057000,8513,8513
1446100200,8529,8529
1446143400,8503,8503
1446187500,8252,8252
1446230700,8185,8185
1446274800,8061,8061
1446318000,7690,7690
1446361200,7225,7225
1446404400,7162,7162
1446448500,7223,7223
1446491700,7302,7302
1446534900,7424,7424
1446578100,7341,7341
1446621300,7396,7396
1446687000,7385,7385
1446730200,7444,7444
1446773400,8233,8233
1446816600,8474,8474
1446859800,9038,9038
1446903000,9283,9283
1446947100,9430,9430
1446990300,9390,9390
1447033500,9110,9110
1447076700,8990,8990
1447119900,8675,8675
1447163100,8474,8474
1447206300,8758,8758
1447249500,11125,11125
1447292700,12492,12492
1447335900,13973,13973
1447379100,15320,15320
1447422300,16797,16797
1447465500,18668,18668
1447508700,11706,11706
1447551900,12606,12606
1447595100,12703,12703
1447638300,12121,12121
1447681500,12554,12554
1447724700,14013,14013
1447767900,24941,24941
1447811100,25744,25744
1447854300,27063,27063
1447897500,28428,28428
1447940700,25868,25868
1447983900,27641,27641
1448027100,27802,27802
1448070300,30744,30744
1448114400,31727,31727
1448157600,34442,34442
1448200800,33775,33775
1448244000,35781,35781
1448287200,38787,38787
1448330400,38394,38394
1448373600,36147,36147
1448417700,34437,34437
1448460900,32614,32614
1448504100,31835,31835
1448555400,33205,33205
1448599500,33746,33746
1448642700,34741,34741
1448685900,34585,34585
1448732700,33265,33265
1448775900,32385,32385
1448820000,30329,30329
1448863200,28663,28663
1448906400,27565,27565
1448949600,28300,28300
1448992800,30308,30308
1449036000,31879,31879
1449085500,33905,33905
1449128700,34498,34498
1449171900,34440,34440
1449215100,34477,34477
1449263700,35030,35030
1449306900,36140,36140
1449352800,38339,38339
1449396000,40304,40304
1449439200,41859,41859
1449482400,42802,42802
1449525600,43722,43722
1449568800,42710,42710
1449613800,41555,41555
1449657900,41125,41125
1449701100,41358,41358
1449744300,40906,40906
1449787500,41471,41471
1449830700,42137,42137
1449873900,43100,43100
1449917100,42162,42162
1449960300,40911,40911
1450003500,39909,39909
1450046700,38550,38550
1450089900,38259,38259
1450133100,39535,39535
1450176300,41395,41395
1450219500,43142,43142
1450262700,43688,43688
1450305900,43982,43982
1450349100,43680,43680
1450392300,43325,43325
1450435500,42391,42391
1450478700,41837,41837
1450521900,41095,41095
1450565100,40999,40999
1450608300,41213,41213
1450651500,40616,40616
1450694700,40282,40282
1450741500,39503,39503
1450785600,39414,39414
1450828800,38608,38608
1450872000,37122,37122
1450915200,36340,36340
1450958400,35456,35456
1451001600,34017,34017
1451044800,33237,33237
1451088000,32757,32757
1451133900,32216,32216
1451177100,31389,31389
1451220300,30411,30411
1451263500,29616,29616
1451306700,28761,28761
1451349900,28775,28775
1451393100,29763,29763
1451436300,30783,30783
1451479500,30837,30837
1451523600,31191,31191
1451566800,31471,31471
1451610000,32354,32354
1451653200,33228,33228
1451696400,34011,34011
1451739600,34782,34782
1451782800,35105,35105
1451826000,35375,35375
1451869200,35772,35772
1451912400,36817,36817
1451955600,23603,23603
1451998800,24185,24185
1452042000,25279,25279
1452085200,25894,25894
1452128400,26827,26827
1452171600,27208,27208
1452214800,26646,26646
1452258000,26833,26833
1452302100,26180,26180
1452345300,26573,26573
1452388500,25894,25894
1452431700,26077,26077
1452474900,25793,25793
1452519000,24777,24777
1452563100,24752,24752
1452606300,23878,23878
1452649500,23174,23174
1452692700,22490,22490
1452735900,22529,22529
1452779100,21906,21906
1452822300,21282,21282
1452872700,22130,22130
1452915900,22746,22746
1452964500,24481,24481
1453007700,24506,24506
1453050900,24287,24287
1453094100,23188,23188
1453137300,20992,20992
1453180500,19995,19995
1453223700,19544,19544
1453266900,19407,19407
1453310100,19515,19515
1453353300,19832,19832
1453396500,19638,19638
1453439700,18570,18570
1453482900,17104,17104
1453526100,16549,16549
1453569300,15220,15220
1453612500,13734,13734
1453655700,12462,12462
1453698900,11812,11812
1453742100,13212,13212
1453785300,14556,14556
1453828500,15875,15875
1453871700,17840,17840
1453915800,20195,20195
1453959000,22367,22367
1454002200,24195,24195
1454045400,24466,24466
1454088600,25591,25591
1454131800,26137,26137
1454175000,26522,26522
1454218200,26544,26544
1454261400,26644,26644
1454304600,25757,25757
1454347800,24542,24542
1454391000,24610,24610
1454434200,25422,25422
1454477400,25135,25135
1454520600,24944,24944
1454563800,24932,24932
1454607000,24515,24515
1454650200,24611,24611
1454694300,23997,23997
1454737500,24180,24180
1454780700,23852,23852
1454823900,23403,23403
1454867100,21969,21969
1454910300,20720,20720
1454953500,19897,19897
1454996700,19336,19336
1455039900,19898,19898
1455083100,20401,20401
1455126300,21165,21165
1455169500,21827,21827
1455212700,22055,22055
1455255900,21882,21882
1455299100,20701,20701
1455342300,19646,19646
1455385500,20985,20985
1455428700,21739,21739
1455471900,22726,22726
1455515100,23729,23729
1455558300,25401,25401
1455601500,27155,27155
1455644700,31913,31913
1455687900,33362,33362
1455731100,27178,27178
1455774300,27067,27067
1455817500,27389,27389
1455860700,27639,27639
1455903900,27377,27377
1455947100,27421,27421
1455990300,27042,27042
1456033500,27685,27685
1456076700,29217,29217
1456119900,29491,29491
1456163100,30697,30697
1456206300,30510,30510
1456249500,29466,29466
1456292700,28861,28861
1456358400,28892,28892
1456401600,29346,29346
1456444800,29310,29310
1456488000,29501,29501
1456531200,29634,29634
1456574400,29779,29779
1456617600,29727,29727
1456660800,29405,29405
1456704000,28655,28655
1456747200,28395,28395
1456790400,29524,29524
1456833600,30479,30479
1456876800,32285,32285
1456920000,33420,33420
1456963200,34302,34302
1457006400,34017,34017
1457049600,32828,32828
1457092800,31794,31794
1457136000,30685,30685
1457179200,30324,30324
1457222400,30531,30531
1457265600,29799,29799
1457308800,28905,28905
1457352000,28217,28217
1457395200,28795,28795
1457438400,28373,28373
1457481600,29149,29149
1457524800,29088,29088
1457568000,30145,30145
1457611200,30565,30565
1457654400,31406,31406
1457697600,31267,31267
1457740800,31561,31561
1457784000,31203,31203
1457827200,31364,31364
1457870400,30995,30995
1457913600,29609,29609
1457956800,29256,29256
1458000000,31876,31876
1458043200,33369,33369
1458086400,34846,34846
1458129600,36575,36575
1458172800,37670,37670
1458216000,37119,37119
1458259200,37435,37435
1458302400,36503,36503
1458345600,36459,36459
1458388800,36546,36546
1458432000,37269,37269
1458475200,37198,37198
1458518400,36429,36429
1458561600,36227,36227
1458604800,36526,36526
1458648000,36302,36302
1458691200,41096,41096
1458734400,43824,43824
1458777600,46198,46198
1458820800,46490,46490
1458864000,45347,45347
1458907200,43146,43146
1458950400,41259,41259
1458993600,39904,39904
1459036800,38714,38714
1459080000,38033,38033
1459123200,37378,37378
1459166400,37124,37124
1459209600,38938,38938
1459252800,40282,40282
1459296000,41352,41352
1459339200,41271,41271
1459382400,42707,42707
1459425600,42341,42341
1459468800,40739,40739
1459512000,39993,39993
1459555200,40024,40024
1459598400,39997,39997
1459641600,40504,40504
1459684800,41270,41270
1459728000,41893,41893
1459771200,42137,42137
1459814400,42703,42703
1459857600,42152,42152
1459900800,41823,41823
1459944000,40289,40289
1459987200,39242,39242
1460030400,38874,38874
1460074500,39005,39005
1460117700,39040,39040
1460160900,39113,39113
1460204100,39875,39875
1460247300,41121,41121
1460290500,41205,41205
1460333700,40510,40510
1460376900,40227,40227
1460420100,38297,38297
1460463300,36578,36578
1460506500,36289,36289
1460549700,36507,36507
1460592900,37370,37370
1460636100,37752,37752
1460679300,38049,38049
1460722500,38643,38643
1460765700,37965,37965
1460808900,37981,37981
1460852100,38245,38245
1460895300,38119,38119
1460938500,37994,37994
1460981700,37899,37899
1461024900,37296,37296
1461068100,37285,37285
1461111300,37615,37615
1461161700,37704,37704
1461204900,38004,38004
1461248100,38063,38063
1461291300,38829,38829
1461335400,37794,37794
1461378600,37069,37069
1461421800,36789,36789
1461465000,35740,35740
1461508200,35381,35381
1461551400,34111,34111
1461594600,34011,34011
1461637800,35292,35292
1461681000,36703,36703
1461724200,36822,36822
1461767400,37343,37343
1461810600,38746,38746
1461853800,41714,41714
1461897000,42007,42007
1461940200,41403,41403
1461983400,36837,36837
1462026600,36545,36545
1462069800,36925,36925
1462113000,36946,36946
1462156200,36557,36557
1462199400,34817,34817
1462242600,32584,32584
1462285800,33511,33511
1462329000,34813,34813
1462372200,36333,36333
1462415400,38249,38249
1462458600,39724,39724
1462501800,38849,38849
1462545000,40534,40534
1462588200,40572,40572
1462631400,39268,39268
1462674600,40328,40328
1462717800,40546,40546
1462761000,41151,41151
1462804200,42485,42485
1462847400,43783,43783
1462890600,44090,44090
1462933800,45930,45930
1462977000,46929,46929
1463020200,45853,45853
1463063400,45236,45236
1463106600,45208,45208
1463149800,45267,45267
1463193000,44594,44594
1463236200,43438,43438
1463279400,43014,43014
1463322600,41958,41958
1463365800,41620,41620
1463409000,42577,42577
1463452200,44361,44361
1463495400,48723,48723
1463538600,51378,51378
1463581800,51326,51326
1463625000,50494,50494
1463668200,51117,51117
1463711400,52340,52340
1463754600,54006,54006
1463797800,55673,55673
1463841000,54879,54879
1463884200,54284,54284
1463927400,54953,54953
1463970600,54740,54740
1464013800,54230,54230
1464057000,54921,54921
1464100200,55430,55430
1464143400,57403,57403
1464186600,58825,58825
1464229800,60109,60109
1464273000,61921,61921
1464316200,65369,65369
1464359400,68263,68263
1464402600,72053,72053
1464445800,73208,73208
1464489000,71998,71998
1464532200,69761,69761
1464575400,67162,67162
1464618600,66892,66892
1464661800,67437,67437
1464705000,69629,69629
1464748200,71747,71747
1464791400,71590,71590
1464834600,71492,71492
1464877800,71214,71214
1464921000,71966,71966
1464964200,73507,73507
1465007400,77783,77783
1465050600,81875,81875
1465093800,83311,83311
1465137000,82288,82288
1465180200,79586,79586
1465223400,79208,79208
1465266600,79723,79723
1465309800,81887,81887
1465353000,82482,82482
1465396200,82532,82532
1465439400,83017,83017
1465482600,83353,83353
1465525800,83442,83442
1465569000,89337,89337
1465612200,93853,93853
1465655400,98764,98764
1465698600,101511,101511
