DateTime,AddedIPs,RemovedIPs
1450127216,0,209
1450137985,0,5
1450199187,0,50192
1450206385,0,1034
1450278398,2,714
1450300075,0,4101
1450307191,0,6
1450314371,16123,0
1450361199,0,2033
1450368377,11,169
1450393565,0,1178
1450397176,49408,0
1450443976,0,65526
1450447580,0,10
1450465586,0,518
1450476439,3,261
1450505228,3840,0
1450555614,0,32
1450573601,1019,0
1450656409,65270,0
1450695981,0,4096
1450717578,9,1570
1450735601,9,19180
1450822071,0,31
1450836384,3968,0
1450875977,0,1261
1450879583,0,512
1450883177,2,1075
1450901174,0,5
1450915585,17152,0
1450983987,0,8
1450987582,0,5
1451088392,786,0
1451311581,0,531
1451315182,0,16650
1451322448,0,246
1451333238,0,12
1451401581,1,253
1451412388,0,256
1451430382,0,5
1451484378,4,280
1451487971,0,5
1451513174,3,0
1451574378,2,6001
1451577962,0,256
1451898399,0,2743
1451937984,3,65552
1452017278,0,256
1452031564,0,251
1452092794,0,33063
1452099972,0,20
1452128777,65280,0
1452179207,0,555
1452207982,0,1143
1452261975,0,18176
1452280046,0,495
1452298018,32241,0
1452384466,691,0
1452488782,16896,0
1452531973,0,227
1452546488,0,4600
1452611185,3,4111
1452629185,0,5
1452636380,0,5
1452672377,0,5
1452697582,0,1713
1452719186,0,4354
1452791188,1,4406
1452798410,3,0
1452805591,0,2053
1452816373,3840,0
1452863203,0,35824
1452870403,0,6
1452873982,0,4418
1452902785,0,3355
1453007176,1024,0
1453079190,19636,0
1453111589,0,5
1453125995,0,1037
1453143994,3,0
1453216010,0,1045
1453226805,0,10
1453237615,3,1279
1453241207,0,7
1453305990,0,1494
1453316771,1,28
1453327613,3,8709
1453392398,1,9241
1453421199,235,0
1453428401,0,5
1453457195,0,5
1453482401,0,8218
1453507600,763,0
1453597611,4352,0
1453683999,256,0
1453730794,0,2236
1453745191,3,624
1453748775,0,10
1453763189,0,264
1453820800,8,2094
1453831612,0,58
1453838802,0,5
1453900007,0,5306
1453903593,0,45156
1453921600,0,1051
1453990014,5,552
1454000810,9,2227
1454004415,0,5
1454008000,0,217
1454011618,0,10
1454018823,0,2048
1454065594,1024,0
1454076387,12,4312
1454079986,65536,5
1454112395,40423,0
1454198783,1792,0
1454285187,4096,0
1454303195,4096,0
1454342800,3,3425
1454346382,0,8467
1454360810,3,280
1454364404,0,464
1454403983,0,5
1454421991,0,30
1454429198,0,245
1454439998,0,266
1454508391,9,565
1454519189,0,641
1454526390,0,266
1454537202,0,10
1454566005,8684,0
1454619993,3,886
1454677601,0,15
1454688402,3,4369
1454691992,3,563
1454695610,0,266
1454699187,0,15
1454720796,256,0
1454807203,256,0
1454897195,768,0
1454908007,0,5
1454943987,1,2794
1454947598,0,15
1455105990,3,10511
1455120400,0,7656
1455123992,9,2049
1455127604,0,256
1455141998,0,9985
1455152796,2043,0
1455170778,0,7
1455206803,0,980
1455235592,4096,0
1455278804,0,54
1455303992,0,4870
1455311195,0,6
1455318399,0,5
1455322009,11259,0
1455498382,256,0
1455548794,9,13889
1455563186,0,11
1455584786,104432,26639
1455635196,0,10
1455725178,0,558
1455735988,3,1989
1455750400,0,10
1455757582,38368,0
1455800801,0,660
1455804397,0,811
1455811601,7,1875
1455822395,0,212
1455829594,0,2048
1455887192,0,267
1455912382,3,356
1455934186,512,0
1456016788,768,0
1456099592,235,0
1456135591,5,0
1456149995,256,5781
1456153592,0,23
1456160796,3,697
1456164396,0,10
1456178804,0,4096
1456232790,13568,11455
1456239998,5,6
1456243603,0,5
1456250794,0,5
1456254387,0,5
1456257998,0,273
1456272395,256,0
1456319198,0,129802
1456326385,3,21
1456329973,0,10
1456337184,0,5
1456347994,0,11
1456362406,14658,0
1456405595,0,5949
1456416398,0,5
1456434394,0,1271
1456445184,957,0
1456495598,0,4618
1456524386,0,15
1456535196,129266,0
1456625193,23,0
1456736793,0,1
1456758401,9,13
1456772792,0,1029
1456783596,0,18
1456844797,0,790
1456877212,0,6182
1456931210,0,5
1456938400,0,2486
1456942003,0,1
1456952804,0,1
1456956377,0,2
1457013986,3,2331
1457017607,0,5
1457024790,0,2078
1457028403,3,0
1457053588,1280,0
1457111188,3,1040
1457125597,2,19
1457132790,0,5
1457143595,768,0
1457229991,2560,0
1457337986,0,5
1457370415,1,855
1457373987,0,5
1457384801,0,311
1457391990,3,0
1457445987,0,4106
1457460432,0,8451
1457467586,1,2065
1457471200,0,945
1457532390,0,167
1457546800,6,1510
1457561179,0,60
1457625992,0,5125
1457647597,6,423
1457661993,9723,1024
1457705191,0,11
1457708786,0,1
1457712403,0,2560
