DateTime,Entries,UniqueIPs
1452611185,534887,373643507
1452629185,534890,373643502
1452636380,534891,373643497
1452672377,534898,373643492
1452697582,534953,373641779
1452719186,534940,373637425
1452791188,534967,373633020
1452798410,534969,373633023
1452805591,534970,373630970
1452816373,534974,373634810
1452863203,534947,373598986
1452870403,534950,373598980
1452873982,535007,373594562
1452902785,534967,373591207
1453007176,534969,373592231
1453060287,534969,373592231
1453061053,534969,373592231
1453079190,535157,373611867
1453082794,535157,373611867
1453086409,535157,373611867
1453104394,535157,373611867
1453111589,535163,373611862
1453118786,535163,373611862
1453125995,535187,373610825
1453143994,535189,373610828
1453154809,535189,373610828
1453165597,535189,373610828
1453187202,535189,373610828
1453190801,535189,373610828
1453198005,535189,373610828
1453201579,535189,373610828
1453205191,535189,373610828
1453212409,535189,373610828
1453216010,535208,373609783
1453226805,535222,373609773
1453237615,535219,373608497
1453241207,535230,373608490
1453259200,535230,373608490
1453262803,535230,373608490
1453270001,535230,373608490
1453273607,535230,373608490
1453280803,535230,373608490
1453284375,535230,373608490
1453305990,535200,373606996
1453316771,535239,373606969
1453327613,535221,373598263
1453338394,535221,373598263
1453341986,535221,373598263
1453349194,535221,373598263
1453352795,535221,373598263
1453363600,535221,373598263
1453370789,535221,373598263
1453392398,535237,373589023
1453396002,535237,373589023
1453399582,535237,373589023
1453417580,535237,373589023
1453421199,535248,373589258
1453424796,535248,373589258
1453428401,535257,373589253
1453442788,535257,373589253
1453449993,535257,373589253
1453453597,535257,373589253
1453457195,535258,373589248
1453468003,535258,373589248
1453482401,535278,373581030
1453486001,535278,373581030
1453493196,535278,373581030
1453496801,535278,373581030
1453500401,535278,373581030
1453507600,535287,373581793
1453511201,535287,373581793
1453525615,535287,373581793
1453529203,535287,373581793
1453536407,535287,373581793
1453554407,535287,373581793
1453558005,535287,373581793
1453572396,535287,373581793
1453575988,535287,373581793
1453583206,535287,373581793
1453586794,535287,373581793
1453597611,535289,373586145
1453608395,535289,373586145
1453612013,535289,373586145
1453619212,535289,373586145
1453630010,535289,373586145
1453633596,535289,373586145
1453637215,535289,373586145
1453644392,535289,373586145
1453662399,535289,373586145
1453676815,535289,373586145
1453683999,535290,373586401
1453687594,535290,373586401
1453694821,535290,373586401
1453719997,535290,373586401
1453723591,535290,373586401
1453730794,535333,373584165
1453745191,535387,373583544
1453748775,535400,373583534
1453763189,535415,373583270
1453820800,535461,373581184
