DateTime,Entries,UniqueIPs
1461895596,208288,210655
1461902795,208123,210502
1461917224,209376,211776
1461920803,209639,212044
1461924399,209346,211737
1461931624,190135,192289
1461946032,184920,187086
1461956823,193070,195435
1461964005,196466,198923
1461974810,158501,160251
1461981998,155546,157260
1462003643,154886,156516
1462010803,153661,155300
1462021606,143140,144673
1462028797,145401,146972
1462039607,148153,149775
1462053996,152265,153994
1462061212,82971,83822
1462064795,83538,84387
1462071990,84049,84893
1462079187,83170,84021
1462089993,82781,83635
1462097190,80201,81056
1462108000,71782,72581
1462118792,75468,76328
1462122403,75988,76855
1462125986,76518,77415
1462151192,54974,55613
1462169198,54587,55261
1462176403,53568,54225
1462197983,47691,48246
1462212416,70740,71690
1462223200,74730,75772
1462226794,75633,76709
1462244798,67041,67935
1462248407,67578,68485
1462251985,67897,68808
1462259185,67807,68725
1462269996,69709,70629
1462273609,71355,72291
1462284414,93381,94549
1462291620,110235,111653
1462298815,124640,126221
1462302390,127053,128667
1462306011,132187,133880
1462313216,149306,151241
1462316793,152414,154410
1462320409,146727,148509
1462323993,149542,151360
1462327603,151257,153081
1462334816,153301,155121
1462342007,154538,156363
1462349202,153940,155774
1462352798,154085,155940
1462360012,154300,156140
1462363608,155962,157821
1462374422,163675,165721
1462385221,187888,190332
1462388813,192710,195256
1462399618,200439,203170
1462414008,194849,197203
1462421209,195002,197349
1462428408,195723,198078
1462439199,196487,198874
1462442797,196190,198569
1462446412,197090,199485
1462453605,195910,198310
1462460832,224292,227270
1462464407,231769,234945
1462468007,235069,238321
1462478818,249970,253521
1462496808,184149,186302
1462500395,184945,187088
1462511203,183487,185623
1462514808,182788,184926
1462525629,183836,185992
1462529198,185191,187335
1462532803,187230,189412
1462536429,191291,193553
1462540020,193865,196168
1462558014,204583,207306
1462583217,162784,165012
1462586817,157006,159153
1462590405,152145,154233
1462594004,151378,153619
1462604800,148916,151198
1462608397,147994,150347
1462612010,146700,149025
1462619203,144486,146738
1462622805,141904,144115
1462626410,141046,143248
1462637213,143547,145828
1462640811,144103,146403
1462648004,145236,147557
1462658790,146131,148497
1462662403,146621,149003
1462666001,77039,78562
1462669596,76125,77649
1462673200,73613,75130
1462683998,66715,68158
1462687609,65900,67342
1462691193,65180,66602
1462694795,64665,66084
1462705601,58376,59718
1462712809,50085,51360
1462727208,52140,53473
1462730797,52582,53926
1462734396,53034,54394
1462741617,54221,55619
1462745206,54786,56199
1462759603,31210,31978
1462766795,30724,31342
1462770406,30686,31227
1462773994,30043,30699
1462781211,30448,31167
1462784798,29800,30514
1462788390,29537,30246
1462799207,31821,32922
1462802809,32631,33839
1462810012,34394,35720
1462817195,36169,37567
1462824408,38142,39592
1462835194,43623,45144
1462838808,38793,40147
1462842390,39996,41354
1462845994,41546,42912
1462856791,44746,46163
1462860390,45684,47112
1462867593,47161,48594
1462871206,57150,58649
1462878423,70653,72250
1462881996,72013,73653
1462889203,75215,76933
1462896419,82945,84796
1462903609,101098,103149
1462910825,120575,122856
1462914403,123787,126132
1462921601,125568,127971
1462925185,120850,122892
1462928795,121268,123313
1462935994,122179,124241
1462939596,122686,124773
1462943199,123028,124988
1462946791,123408,125240
1462964822,149019,150809
1462972051,163491,165523
1462975646,169546,171690
1462979209,173491,175729
1462982821,177476,179782
1462993631,190784,193367
1462997214,194020,196686
1463004408,197102,199851
1463011607,187171,189472
1463022423,189865,192174
1463026003,189847,192117
1463029597,190091,192360
1463033197,190043,192298
1463040439,190034,192282
1463051232,195174,197476
1463054859,200288,202681
1463065623,209358,211930
1463080022,213917,216634
1463083604,215035,217799
1463090807,216989,219843
1463094413,217778,220660
1463098001,164892,166831
1463108816,165886,167856
1463119610,166324,168228
