DateTime,AddedIPs,RemovedIPs
1461690408,44,0
1461694006,14,2
1461704802,7,1
1461708413,6,0
1461712000,39,6
1461719205,56,2
1461722812,34,0
1461737212,167,42
1461740803,45,0
1461751610,583,53
1461766059,2956,52
1461769622,212,13
1461776810,320,20
1461791218,109,1
1461794808,41,2
1461802001,200,0
1461805609,229,12
1461809199,146,0
1461812801,125,3
1461816407,106,0
1461823606,182,9
1461830798,71,5
1461841612,604,29
1461859648,6142,46
1461863212,88,2
1461870407,561,2
1461874017,65,1
1461877600,97,0
1461892002,195,3
1461895601,25,0
1461902799,91,0
1461917230,83,2
1461920807,25,0
1461924403,6,2
1461931629,98,1
1461946037,304,46
1461956828,258,6
1461964009,211,4
1461974814,186,3
1461982003,43,0
1462003648,238,6
1462010807,55,3
1462021610,105,0
1462028801,57,3
1462039611,79,3
1462054000,99,0
1462061217,42,1
1462064800,31,0
1462071994,56,0
1462079191,62,0
1462089997,145,3
1462097194,77,0
1462108004,84,0
1462118796,73,0
1462122407,17,3
1462125991,19,0
1462151196,234,0
1462169202,277,12
1462176408,46,1
1462212420,2577,35
1462223205,113,10
1462226799,22,0
1462244802,211,3
1462248411,76,3
1462251989,84,3
1462259189,118,3
1462270000,177,5
1462273613,99,0
1462284419,3248,91
1462291624,949,27
1462298820,67,1
1462302394,77,1
1462306016,22,2
1462313220,38,1
1462316797,1104,7
1462320413,589,0
1462323998,774,15
1462327607,769,3
1462334820,1174,15
1462342011,636,9
1462349206,217,4
1462352802,108,2
1462360016,292,4
1462363612,478,6
1462374427,233,9
1462385226,150,1
1462388817,23,0
1462399623,135,1
1462414012,141,2
1462421213,64,0
1462428412,109,3
1462439203,33,1
1462442801,8,1
1462446416,8,2
1462453609,13,5
1462460837,140,2
1462464412,62,6
1462468011,86,2
1462478823,131,3
1462496812,136,11
1462500399,62,5
1462511208,140,3
1462514812,60,0
1462525633,28,2
1462529202,44,0
1462532807,46,0
1462536434,55,1
1462540024,38,11
1462558018,136,38
1462583221,38,8
1462586822,5,0
1462590410,4,0
1462594008,3,0
1462604804,14,0
1462608401,1,0
1462612014,8,0
1462619208,6,0
1462622810,1,0
1462626415,11,0
1462637218,6,0
1462640816,2,0
1462648008,9,0
1462658794,9,1
1462662408,8,1
1462666005,3,0
1462669600,4,1
1462673205,3,0
1462684003,12,0
1462687614,3,0
1462691198,3,0
1462694800,2,0
1462705606,10,0
1462712814,3,0
1462727213,13,1
1462730802,4,0
1462734400,3,0
1462741622,8,0
1462759607,9,10
1462766799,4,23
1462770411,2,0
1462773998,1,0
1462781216,3,2
1462799212,22,8
1462802813,2,1
1462810016,4,4
1462817199,6,4
1462824413,6,2
1462835198,7,1
1462838813,2,0
1462845999,2,1
1462856796,6,0
1462860395,22,0
1462867597,93,5
1462871211,644,9
1462878428,1004,16
1462882001,191,6
1462889207,163,5
1462896423,440,2
1462903613,1587,20
1462910829,1846,6
1462914407,117,0
1462921605,81,0
1462925189,52,0
1462928800,57,0
1462935999,130,4
1462939600,100,3
1462943204,76,7
1462946796,57,0
1462964826,3599,39
1462972056,2010,33
1462975651,54,4
1462979213,58,0
1462982826,55,1
1462993636,116,6
1462997218,59,1
1463004412,54,0
1463011612,491,1
1463022429,900,8
1463026007,100,0
1463029601,80,1
1463033201,65,0
1463040446,114,0
1463051236,3181,35
1463054864,553,3
1463065628,59,6
1463080027,12,0
1463090812,4,1
1463094418,45,0
1463098005,27,0
1463108821,132,3
1463119614,121,3
1463126845,98,2
1463130404,91,5
1463144814,285,20
1463159213,293,10
1463162806,51,4
1463170014,81,6
1463177201,235,1
1463184403,329,3
1463188014,27,0
1463202409,146,1
1463209602,109,0
1463213204,70,0
1463216807,48,0
1463220402,46,7
1463231213,197,0
1463238414,115,3
1463242011,42,3
1463245605,74,0
1463252806,131,0
1463260010,78,1
1463267205,46,0
1463270814,6,0
1463310404,1226,18
1463317628,75,0
1463321212,47,0
1463328415,131,1
1463339213,153,3
1463353623,93,0
1463360813,45,0
1463368015,114,3
1463371615,65,3
1463375217,64,3
1463382414,53,0
1463404001,3036,32
1463407653,786,12
1463411209,76,0
1463414820,966,13
1463418413,29,0
1463422007,27,1
1463429209,47,2
1463432809,22,0
1463436415,8,0
1463443609,649,3
1463450829,519,0
1463465222,1636,19
1463468820,230,6
1463472403,60,0
1463476005,57,3
1463479618,48,1
1463490434,3499,32
1463494031,668,10
1463501223,178,1
1463508433,107,1
1463515622,160,0
1463526421,694,6
1463530028,87,3
1463533620,300,0
1463548036,1165,9
1463555221,45,1
1463558823,18,0
1463562431,25,0
1463566029,32,1
1463573226,137,6
1463587648,977,16
1463591236,132,8
1463594826,213,10
1463605633,1931,16
1463609228,468,9
1463620032,1346,6
1463623625,419,0
1463634428,851,9
1463641628,226,9
1463645224,23,1
1463648834,35,0
1463652417,875,19
1463656034,1364,12
1463659650,1052,10
1463666841,1298,21
1463670419,168,11
1463674025,314,1
1463692035,4093,44
1463699219,258,2
1463717225,945,6
1463720838,630,6
1463724422,137,0
1463731628,82,6
1463735218,24,1
1463753246,4810,50
1463756838,288,4
1463760420,1261,18
1463774844,2402,31
1463785624,105,3
1463789221,7,1
1463792826,10,0
1463803629,32,4
1463821630,47,2
1463828832,16,1
1463843227,47,3
1463850430,23,3
1463857624,20,0
1463879230,63,0
1463882827,11,0
1463886416,8,0
1463890014,9,0
1463897229,22,0
1463900810,17,0
1463904412,7,1
1463911618,21,0
1463915219,18,0
1463929617,69,1
1463933229,16,3
1463936822,22,0
1463940420,12,0
1463947615,34,3
1463954819,24,0
1463962013,12,1
1463976419,37,0
1463983619,37,1
