DateTime,Entries,UniqueIPs
1457816577,10802,136184517
1457903597,10803,136185670
1457990676,574,9158
1458077795,10799,136182383
1458164912,10801,136183431
1458252051,10801,136183247
1458426263,10802,136185734
1458513382,10804,136182792
1458600511,10800,136183934
1458687624,10801,136186510
1458774811,10803,136187741
1458861907,10801,136182293
1458992654,10801,136181711
1459079747,10803,136184518
1459166940,4464,32129491
1459254048,10801,136185598
1459428526,10802,136183079
1459515889,10802,136181656
1459602999,10801,136181975
1459690122,10802,136183008
1459777221,10801,136186189
1459864367,10804,136182759
1459951465,10801,136187325
1460038623,10802,136182704
1460125732,10800,136181904
1460212854,10800,136181454
1460299959,10800,136185231
1460387121,10800,136185023
1460474212,10803,136183128
1460561322,10798,136184943
1460648437,10806,136186982
1460822925,10801,136182527
1460910040,10803,136182736
1460997940,10804,136187808
1461084983,10801,136181982
1461217229,10803,136186310
1461304338,10799,136182189
1461391467,10804,136187743
1461522253,10802,136185536
1461609399,10798,136185453
1461696541,10802,136182176
1461783667,10801,136183223
1461870749,10802,136186309
1462044985,10803,136186182
1462132125,10802,136187142
1462220942,10805,136186975
1462351705,10802,136183463
1462438824,10800,136186349
1462525951,10798,136184949
1462613069,10799,136183037
1462743857,10801,136185405
1462831017,10801,136187263
1462918115,10800,136181950
1463005213,10805,136188200
1463092381,10803,136182791
1463179478,10803,136182695
1463266575,10800,136182949
1463353714,10801,136184453
1463440831,10803,136187440
1463527949,10800,136181942
1463615061,10802,136185407
1463702192,10802,136187191
1463789300,10802,136187158
1463876450,10801,136188173
1463963694,10801,136183013
1464050698,10801,136185718
1464137792,10800,136183152
1464224910,10804,136184400
1464312010,10800,136186509
1464399149,10800,136185463
1464486263,10802,136186750
1464573382,10802,136183072
1464660539,749,18234404
1465706938,10801,136185247
