DateTime,AddedIPs,RemovedIPs
1448487022,1,0
1448519423,1,0
1448521222,1,0
1448524821,3,0
1448537422,1,0
1448539221,2,0
1448554524,3,0
1448613022,1,0
1448622021,1,0
1448634623,4,0
1448636423,1,0
1448703922,2,0
1448718324,1,0
1448732723,1,0
1448750725,1,0
1448752525,1,0
1448780423,2,0
1448799321,1,0
1448801123,1,0
1448874925,2,0
1448897423,1,0
1448902823,1,0
1448906446,1,0
1448916324,2,0
1448928924,1,0
1448940620,1,0
1448972123,1,0
1448983821,1,0
1448987421,1,0
1449005422,1,0
1449040523,1,0
1449058524,1,0
1449069324,2,0
1449085524,2,0
1449090022,1,0
1449100821,1,0
1449131423,1,0
1449135040,2,0
1449138623,1,0
1449142218,1,0
1449176421,1,0
1449212422,1,0
1449221430,1,0
1449232223,1,0
1449243925,2,0
1449255622,1,0
1449310534,1,0
1449389736,1,0
1449391552,1,0
1449416734,1,0
1449429335,1,0
1449470736,1,0
1449472536,1,0
1449492332,1,0
1449535532,1,0
1449560732,2,0
1449565232,1,0
1449574224,1,0
1449603024,2,0
1449663322,2,0
1449689423,1,0
1449700225,1,0
1449729924,1,0
1449744321,1,0
1449763226,1,0
1449766822,1,0
1449862224,4,0
1449867623,1,0
1449901826,1,0
1449903623,1,0
1450007124,1,0
1450026922,1,0
1450077323,1,0
1450079121,3,0
1450080922,1,0
1450087222,1,0
1450089031,1,0
1450092624,3,0
1450094425,1,0
1450098024,2,0
1450117822,1,0
1450119623,2,0
1450126824,1,0
1450159226,1,0
1450161025,3,0
1450173622,1,0
1450179024,1,0
1450199724,1,0
1450208723,1,0
1450223124,2,0
1450244723,1,0
1450246523,2,0
1450277122,1,0
1450284322,1,0
1450300524,1,0
1450307724,1,0
1450341926,1,0
1450350924,1,0
1450379723,1,0
1450381523,1,0
1450403123,1,0
1450420227,2,0
1450456222,1,0
1450458025,3,0
1450465222,1,0
1450467023,1,0
1450516523,1,0
1450520122,1,0
1450541723,1,0
1450602927,1,0
1450613728,1,0
1450658723,1,0
1450678527,4,0
1450682132,1,0
1450691122,1,0
1450692925,2,0
1450696527,1,0
1450705542,1,0
1450709122,1,0
1450714525,1,0
1450721723,1,0
1450723522,1,0
1450764026,1,0
1450787423,3,0
1450856725,2,0
1450858526,3,0
1450860322,2,0
1450885527,1,0
1450927822,1,0
1450957543,1,0
1451085326,1,0
1451133022,1,0
1451145623,1,0
1451174423,1,0
1451205041,1,0
1451208622,1,0
1451382325,1,0
1451393122,1,0
1451409323,1,0
1451414727,1,0
1451558723,1,0
1451648724,1,0
1451650527,2,0
1451675724,1,0
1451727022,1,0
1451744125,1,0
1451842224,1,0
1452086126,2,0
1452118524,1,0
1452158122,1,0
1452177922,1,0
1452239142,2,0
1452257128,2,0
1452258934,1,0
1452262536,2,0
1452278734,1,0
1452284130,1,0
1452289529,1,0
1452296734,1,0
1452311128,1,0
1452314733,2,0
1452334536,1,0
1452343532,1,0
1452345337,1,0
1452350729,3,0
1452352534,2,0
1452359729,1,0
1452364234,1,0
1452369635,1,0
1452380434,1,0
1452410139,1,0
1452424542,2,0
1452492040,1,0
1452510943,1,0
1452549645,1,0
1452680141,1,0
1452681939,1,0
1452694540,2,0
1452698143,1,0
1452699938,1,0
1452766543,2,0
1452779147,1,0
1452780947,1,0
1452789041,1,0
1452840340,1,0
1452842142,1,0
1452935741,1,0
1452939345,2,0
1452950144,1,0
1453013141,1,0
1453018541,1,0
1453022141,1,0
1453036544,1,0
1453118441,2,0
1453123845,1,0
1453128342,2,0
1453184142,1,0
1453205747,1,0
1453250738,1,0
1453274144,2,0
1453288544,1,0
1453290341,1,0
1453293046,2,0
1453302041,1,0
1453303840,1,0
1453372242,1,0
1453375841,1,0
1453444242,1,0
1453449639,1,0
1453451443,1,0
1453460440,3,0
1453473042,2,0
1453537841,1,0
1453550433,1,0
1453624238,1,0
1453627832,1,0
1453705239,1,0
1453710639,1,0
1453735841,1,0
1453774547,1,0
1453776343,1,0
1453788945,2,0
1453797928,1,0
1453812340,1,0
1453878942,1,0
1453915838,2,0
1453961741,3,0
1453976139,3,0
1453979740,1,0
1453995943,1,0
1454003142,1,0
1454004943,1,0
1454019345,1,0
1454053542,3,0
1454058943,1,0
1454066149,2,0
1454073342,1,0
1454080539,2,0
1454084145,1,0
1454125536,1,0
1454141740,2,0
1454260543,1,0
1454397346,5,0
1454400951,1,0
1454422549,1,0
1454480144,2,0
1454483742,1,0
1454492746,1,0
1454494546,1,0
1454517937,2,0
1454525141,3,0
1454534143,1,0
1454548546,1,0
1454573743,2,0
1454577345,2,0
1454667346,1,0
1454670946,2,0
1454672743,1,0
1454674534,2,0
1454681746,1,0
1454717744,1,0
1454771747,1,0
1454805045,1,0
1454833841,1,0
1454911244,2,0
1454925643,1,0
1454957141,2,0
1455002146,2,0
1455016546,1,0
1455018340,1,0
1455020140,1,0
1455029145,1,0
1455041744,2,0
1455086743,2,0
1455099346,1,0
1455101143,2,0
1455119144,1,0
1455120947,3,0
1455151543,1,0
1455173143,4,0
