DateTime,AddedIPs,RemovedIPs
1465287721,0,2
1465288921,0,7
1465290121,9,14
1465290721,2,0
1465291321,1,1
1465292522,0,5
1465293122,1,0
1465293722,5,0
1465294321,3,0
1465294921,1,0
1465295522,0,1
1465296722,0,2
1465297321,0,13
1465297922,1,2
1465298522,2,0
1465299122,16,0
1465299721,2,6
1465300321,3,0
1465300922,1,0
1465301521,0,3
1465302122,0,14
1465303322,0,3
1465303922,1,7
1465304521,5,0
1465305121,0,1
1465305722,11,1
1465306922,4,9
1465307521,0,17
1465308122,0,43
1465309322,29,0
1465309921,5,15
1465310522,2,15
1465311122,2,0
1465311722,1,0
1465312321,1,8
1465312921,0,9
1465314121,0,1
1465315323,5,0
1465315922,16,0
1465316521,2,1
1465317122,3,8
1465318321,0,15
1465318921,2,3
1465319521,0,7
1465320722,1,1
1465321323,5,8
1465322522,16,0
1465323722,3,19
1465324322,2,3
1465325522,0,2
1465326121,0,3
1465326721,1,1
1465327923,8,1
1465328522,1,2
1465329721,0,3
1465330921,6,19
1465331521,3,0
1465333921,0,1
1465335122,13,5
1465335722,5,9
1465337522,6,2
1465338122,0,2
1465338722,0,1
1465341722,5,8
1465342322,4,4
1465343521,0,1
1465344122,0,1
1465345322,0,1
1465346523,0,11
1465347122,18,0
1465347721,1,0
1465348322,1,4
1465348922,0,1
1465350123,25,1
1465350721,6,7
1465351322,2,0
1465353122,1,0
1465353721,3,22
1465354322,3,0
1465354922,0,1
1465356122,0,1
1465357322,3,0
1465357922,0,6
1465358521,1,0
1465359721,1,1
1465360323,4,6
1465360922,5,11
1465361522,4,2
1465362127,5,0
1465363322,2,3
1465363923,21,0
1465365722,5,2
1465366922,1,0
1465368122,8,6
1465368722,2,3
1465369322,5,0
1465369921,0,5
1465370522,0,4
1465371122,1,1
1465372322,9,4
1465372921,3,1
1465373522,0,2
1465374721,0,1
1465375321,1,7
1465375923,1,0
1465376521,8,0
1465377722,0,5
1465379522,0,5
1465381322,26,1
1465382523,31,2
1465383721,5,0
1465384922,0,14
1465385523,18,2
1465386122,6,0
1465387322,4,0
1465389721,3,4
1465390921,17,5
1465391522,4,0
1465392121,0,8
1465395122,0,18
1465395723,3,12
1465396322,3,0
1465396922,1,1
1465398122,3,4
1465398722,0,1
1465399321,1,2
1465401121,5,15
1465401722,5,15
1465402321,0,2
1465403522,0,2
1465404122,0,1
1465406521,11,1
1465407123,1,0
1465407722,0,21
1465408921,5,4
1465409522,3,0
1465410121,1,0
1465411322,1,0
1465411921,0,2
1465412525,3,0
1465413722,15,7
1465416121,0,4
1465416721,1,0
1465417321,1,0
1465418521,0,5
1465419123,0,1
1465419722,7,0
1465420922,14,14
1465421522,0,4
1465423322,1,5
1465425722,1,1
1465426921,10,0
1465427522,6,0
1465428122,2,7
1465428721,1,0
1465429322,3,0
1465429922,2,0
1465430522,0,3
1465431121,0,1
1465431721,0,4
1465432921,2,0
1465433524,7,10
1465434122,8,0
1465434721,46,3
1465435321,17,0
1465435922,2,13
1465436521,1,4
1465437123,12,1
1465437721,16,0
1465438922,43,3
1465440122,3,7
1465440722,3,1
1465441321,12,0
1465441921,23,0
1465442522,8,0
1465443121,2,2
1465444322,1,11
1465444923,3,2
1465445522,32,0
1465446121,3,3
1465446722,1,5
1465447321,1,2
1465448522,0,3
1465449121,13,1
1465449722,1,0
1465450322,3,15
1465450922,1,1
1465451521,1,5
1465452121,1,1
1465453922,9,5
1465454521,29,0
1465455122,2,16
1465455721,3,0
1465456922,0,2
1465457522,1,0
1465458122,0,8
1465459323,4,4
1465459921,29,2
1465461121,0,1
1465461722,4,0
1465462322,0,6
1465462921,1,0
1465463521,0,1
1465465321,2,0
1465466522,12,17
1465468921,2,14
1465469522,3,10
1465470122,0,2
1465471321,17,1
1465472521,2,33
1465473722,2,0
1465474321,0,4
1465475521,0,6
1465476122,1,0
1465477322,20,10
1465477921,8,0
1465479721,2,7
1465480922,0,1
1465482122,1,0
1465482721,0,1
1465483323,26,0
1465483922,25,12
1465484521,6,1
1465485722,11,1
1465486321,2,2
1465486921,1,0
1465487522,0,6
1465488121,0,3
1465488721,0,2
1465489322,9,0
1465490522,4,0
1465491122,26,0
1465491721,7,0
1465492321,4,0
1465492921,0,12
1465494721,0,5
1465495321,0,5
1465495922,0,1
1465496522,1,1
1465497122,7,0
1465497721,4,2
1465498322,3,0
1465498921,1,11
1465499522,2,0
1465500722,2,0
1465501922,0,3
1465502521,0,1
1465503122,0,2
1465503722,2,1
1465504922,24,0
1465505521,0,6
1465506121,0,9
1465506722,3,0
1465507321,7,0
1465508521,0,5
1465509721,0,3
1465510921,0,2
1465511523,1,2
1465512121,23,0
1465512722,5,7
1465513321,1,2
1465513922,0,1
1465515721,1,10
1465516321,2,0
1465517521,0,6
1465519323,0,9
1465520522,32,11
1465521121,0,7
1465521721,0,21
1465522923,2,4
1465524121,50,35
1465524721,1,24
1465525921,0,24
1465527123,38,21
1465527721,25,0
1465528322,2,14
1465528921,15,2
1465530121,1,3
1465530722,1,12
1465531322,15,26
1465531922,5,0
1465532522,2,2
1465533121,1,1
1465533721,1,2
1465534321,1,1
1465534922,0,12
1465535522,0,2
1465536721,6,11
1465537321,5,0
1465537921,0,6
1465538521,0,2
1465539122,0,3
1465540322,0,28
1465540921,21,0
1465541521,7,0
1465542122,0,2
1465542722,6,3
1465543322,1,0
1465543922,0,4
1465544521,0,5
1465545122,0,5
1465545722,1,21
1465546322,6,1
1465546921,5,0
1465548122,3,3
1465549322,1,2
1465551123,5,2
1465551721,16,3
1465552321,2,0
1465554122,1,3
1465554721,0,7
1465555321,1,0
1465555921,0,9
1465556523,0,3
1465557121,6,9
1465557721,0,1
1465559522,0,5
1465560121,1,0
1465561321,0,1
1465561921,0,2
1465562522,3,16
1465563121,19,0
1465563722,2,0
1465564321,1,6
1465564922,0,1
1465566122,0,4
1465566721,0,4
1465568523,22,0
1465569122,12,0
1465569721,2,32
1465570921,0,2
1465571522,0,7
1465572122,0,3
1465573322,1,10
1465574523,31,8
1465575122,9,1
1465575722,2,7
1465576922,1,33
1465578122,0,17
1465580523,8,0
1465581121,18,0
1465581721,0,11
1465582321,1,0
1465582921,0,7
1465584121,3,11
1465585321,1,3
1465586523,4,0
1465587122,52,1
1465587721,18,0
1465588921,6,0
1465589521,3,1
1465590121,2,20
1465591321,1,0
1465591926,1,0
1465592523,3,2
1465593121,25,5
1465594321,1,5
1465598523,2,27
1465599721,30,2
1465600322,4,0
1465600922,1,3
1465602122,0,1
1465603322,0,3
1465604522,0,1
1465605124,2,3
1465605721,19,26
1465606322,8,0
1465608121,1,0
1465609321,29,37
1465609922,3,0
1465610522,1,6
1465611722,1,0
1465612322,28,2
1465612921,1,35
1465613522,67,0
1465614121,7,10
1465615321,7,29
1465616521,69,5
1465617727,14,26
1465618931,1,0
1465619521,0,2
1465620126,0,6
1465620722,10,1
1465621326,14,0
1465621922,0,4
1465622521,1,1
1465623121,0,7
1465624923,10,0
1465625521,15,1
1465626122,0,1
1465626721,3,13
1465627921,0,4
1465628521,0,6
1465629723,24,0
1465630321,3,0
1465630922,0,4
1465631522,4,3
1465632721,1,3
1465633322,0,8
1465633922,0,9
1465634522,6,0
1465636322,1,0
1465636922,0,2
1465638121,0,17
1465639321,10,0
1465639921,1,1
1465641121,6,0
1465641721,0,1
1465642322,0,1
1465642922,0,3
1465644121,14,0
1465645321,1,2
1465646522,0,5
1465647721,0,1
1465648921,9,7
1465650122,3,13
1465653722,3,0
1465654321,9,16
1465654921,1,13
1465656122,2,6
1465656721,1,0
1465657922,0,1
1465659123,22,7
1465659721,9,0
1465660322,4,28
1465660922,2,3
1465661522,1,0
1465662121,0,2
1465663321,0,1
1465664523,9,2
1465665122,6,1
1465665722,5,0
1465666921,5,13
1465667521,1,15
1465668122,1,3
1465668722,0,4
1465670521,10,4
1465671722,12,0
1465672922,7,8
1465673521,0,29
1465674122,0,42
1465675923,2,6
1465676521,19,5
1465677121,5,2
1465678321,0,1
1465678922,0,22
1465680122,1,2
1465680721,1,0
1465681321,1,3
1465682521,11,1
1465683722,18,0
1465684922,8,29
1465686122,2,0
1465689121,7,0
1465689722,10,0
1465690321,2,3
1465691522,0,27
1465692122,2,7
1465693923,2,0
1465694521,4,0
1465695121,12,21
1465695721,2,0
1465696321,0,13
1465696922,1,0
1465697523,0,3
1465698121,10,0
1465698721,3,21
1465699321,2,1
1465699921,0,39
1465700522,1,10
1465701723,14,65
1465702321,1,0
1465702923,66,0
1465703522,21,38
1465704122,1,0
1465704722,0,6
1465705322,6,0
1465705922,15,3
1465707122,6,11
1465707722,1,14
1465708322,0,2
1465709522,0,1
1465710122,19,0
1465710722,2,10
1465711322,2,10
1465712522,0,1
1465713122,0,3
1465714321,8,1
1465714922,3,0
1465715521,3,2
1465716122,0,21
1465716721,2,8
1465717321,1,0
1465717921,0,5
1465719121,1,0
1465719721,5,0
1465720321,2,2
1465720921,0,1
1465722721,0,3
1465723923,12,0
