DateTime,AddedIPs,RemovedIPs
1463947202,140,132
1463950801,132,124
1463954402,132,101
1463958001,118,115
1463961602,150,161
1463965202,161,152
1463968801,115,128
1463972402,135,122
1463976002,103,108
1463979602,124,129
1463983202,193,117
1463986802,191,103
1463990402,173,120
1463994002,148,123
1463997602,171,144
1464001202,166,134
1464004801,161,137
1464008401,151,108
1464012001,133,117
1464015602,162,141
1464019202,188,160
1464022802,148,146
1464026402,123,141
1464030002,140,118
1464033601,133,132
1464037202,119,141
1464040802,127,144
1464044402,116,120
1464048002,133,183
1464051601,143,144
1464055202,146,131
1464058802,123,133
1464062402,123,105
1464066002,122,119
1464069601,140,159
1464073201,141,238
1464076801,194,166
1464080402,119,127
1464084002,155,153
1464087601,143,165
1464091202,158,152
1464094801,171,151
1464098401,181,141
1464102002,214,160
1464105602,196,183
1464109201,113,159
1464112802,133,143
1464116402,113,141
1464120001,97,136
1464123601,148,133
1464127201,131,116
1464130801,109,117
1464134402,126,156
1464138002,117,124
1464141601,112,153
1464145202,168,139
1464148802,143,142
1464152401,150,134
1464156002,161,125
1464159602,192,143
1464163201,183,169
1464166801,166,164
1464170401,160,140
1464174001,160,138
1464177601,158,147
1464181202,182,161
1464184801,194,197
1464188401,228,217
1464192001,234,202
1464195601,165,119
1464199202,144,160
1464202801,147,114
1464206402,141,96
1464210001,122,132
1464213601,123,135
1464217202,119,117
1464220802,101,151
1464224401,128,84
1464228002,111,101
1464231602,127,141
1464235202,120,138
1464238802,117,150
1464242402,139,148
1464246001,126,133
1464249602,171,173
1464253202,155,137
1464256802,159,136
1464260402,155,141
1464264001,209,144
1464267602,141,159
1464271202,130,187
1464274802,122,213
1464278401,124,254
1464282001,130,177
1464285602,133,150
1464289202,121,154
1464292802,208,131
1464296402,168,121
1464300002,100,130
1464303602,97,107
1464307202,122,136
1464310802,114,110
1464314402,117,120
1464318001,106,137
1464321602,107,123
1464325202,126,115
1464328802,184,118
1464332402,118,113
1464336002,143,179
1464339601,128,150
1464343201,160,157
1464346802,168,165
1464350401,169,186
1464354002,153,194
1464357601,161,135
1464361202,168,130
1464364802,190,139
1464368402,201,130
1464372002,154,140
1464375602,185,104
1464379201,142,220
1464382802,151,188
1464386401,150,98
1464390002,143,95
1464393602,139,142
1464397202,144,96
1464400801,181,112
1464404402,193,85
1464408002,118,112
1464411602,166,125
1464415202,139,177
1464418801,155,123
1464422402,172,132
1464426001,118,136
1464429601,158,146
1464433201,137,175
1464436802,164,172
1464440402,133,163
1464444001,209,145
1464447601,188,188
