DateTime,Entries,UniqueIPs
1463922002,4222,4222
1463925602,4150,4150
1463929202,4126,4126
1463932802,4117,4117
1463936402,4100,4100
1463940001,4081,4081
1463943602,4071,4071
1463947202,4079,4079
1463950801,4087,4087
1463954402,4118,4118
1463958001,4121,4121
1463961602,4110,4110
1463965202,4119,4119
1463968801,4106,4106
1463972402,4119,4119
1463976002,4114,4114
1463979602,4109,4109
1463983202,4185,4185
1463986802,4273,4273
1463990402,4326,4326
1463994002,4351,4351
1463997602,4378,4378
1464001202,4410,4410
1464004801,4434,4434
1464008401,4477,4477
1464012001,4493,4493
1464015602,4514,4514
1464019202,4542,4542
1464022802,4544,4544
1464026402,4526,4526
1464030002,4548,4548
1464033601,4549,4549
1464037202,4527,4527
1464040802,4510,4510
1464044402,4506,4506
1464048002,4456,4456
1464051601,4455,4455
1464055202,4470,4470
1464058802,4460,4460
1464062402,4478,4478
1464066002,4481,4481
1464069601,4462,4462
1464073201,4365,4365
1464076801,4393,4393
1464080402,4385,4385
1464084002,4387,4387
1464087601,4365,4365
1464091202,4371,4371
1464094801,4391,4391
1464098401,4431,4431
1464102002,4485,4485
1464105602,4498,4498
1464109201,4452,4452
1464112802,4442,4442
1464116402,4414,4414
1464120001,4375,4375
1464123601,4390,4390
1464127201,4405,4405
1464130801,4397,4397
1464134402,4367,4367
1464138002,4360,4360
1464141601,4319,4319
1464145202,4348,4348
1464148802,4349,4349
1464152401,4365,4365
1464156002,4401,4401
1464159602,4450,4450
1464163201,4464,4464
1464166801,4466,4466
1464170401,4486,4486
1464174001,4508,4508
1464177601,4519,4519
1464181202,4540,4540
1464184801,4537,4537
1464188401,4548,4548
1464192001,4580,4580
1464195601,4626,4626
1464199202,4610,4610
1464202801,4643,4643
1464206402,4688,4688
1464210001,4678,4678
1464213601,4666,4666
1464217202,4668,4668
1464220802,4618,4618
1464224401,4662,4662
1464228002,4672,4672
1464231602,4658,4658
1464235202,4640,4640
1464238802,4607,4607
1464242402,4598,4598
1464246001,4591,4591
1464249602,4589,4589
1464253202,4607,4607
1464256802,4630,4630
1464260402,4644,4644
1464264001,4709,4709
1464267602,4691,4691
1464271202,4634,4634
1464274802,4543,4543
1464278401,4413,4413
1464282001,4366,4366
1464285602,4349,4349
1464289202,4316,4316
1464292802,4393,4393
1464296402,4440,4440
1464300002,4410,4410
1464303602,4400,4400
1464307202,4386,4386
1464310802,4390,4390
1464314402,4387,4387
1464318001,4356,4356
1464321602,4340,4340
1464325202,4351,4351
1464328802,4417,4417
1464332402,4422,4422
1464336002,4386,4386
1464339601,4364,4364
1464343201,4367,4367
1464346802,4370,4370
1464350401,4353,4353
1464354002,4312,4312
