DateTime,AddedIPs,RemovedIPs
1454197248,125,110
1454284379,136,133
1454371546,141,153
1454502265,195,197
1454589399,119,132
1454676526,109,164
1454763643,102,170
1454850755,92,131
1454937867,114,98
1455025023,63,132
1455112056,48,115
1455199237,69,132
1455286367,71,143
1455373468,83,103
1455460593,76,121
1455547659,65,150
1455634832,104,145
1455721955,124,136
1455809071,183,158
1455896192,299,128
1455983332,188,147
1456070428,227,129
1456157553,138,117
1456244674,174,176
1456331789,160,134
1456418913,178,152
1456506052,180,126
1456593159,314,149
1456680283,266,105
1456767396,285,106
1456854514,216,131
1456941674,183,147
1457028793,204,140
1457115869,104,130
1457203026,196,114
1457290119,174,115
1457377276,140,104
1457464358,141,91
1457551480,186,108
1457638598,190,62
1457725698,180,50
1457812843,223,75
1457899966,253,62
1457987109,432,90
1458074195,416,68
1458161325,452,71
1458248457,409,99
1458335818,414,109
1458422949,463,183
1458510071,418,239
1458597176,287,122
1458684290,300,167
1458771427,338,131
1458858536,225,142
1458945673,306,165
1459032829,228,112
1459120149,322,201
1459207257,241,229
1459294395,236,260
1459381495,202,244
1459468613,265,212
1459555761,250,197
1459642868,351,131
1459729980,304,115
1459817095,313,176
1459904227,322,153
1459991333,256,133
1460078471,257,136
1460165605,185,185
1460252687,285,155
1460339809,231,192
1460426935,155,204
1460514279,243,266
1460601418,213,461
1460688532,178,425
1460775715,261,431
1460862791,266,362
1460949910,258,446
1461037008,209,433
1461124140,157,358
1461211264,216,296
1461298389,187,311
1461385488,222,317
1461472634,251,232
1461559996,301,316
1461647082,282,258
1461734214,233,302
1461821348,170,257
1461952145,293,377
1462039256,275,238
1462126392,302,232
1462220903,248,376
1462308050,206,327
1462395165,254,330
1462482328,213,353
1462569403,226,297
1462656536,240,283
1462743645,328,166
1462830770,189,318
1462917877,226,257
1463005012,214,176
1463092183,213,236
1463179262,219,228
1463266385,312,188
1463353483,303,248
1463440600,197,265
1463527735,215,305
1463614857,177,226
1463702013,159,161
1463789083,202,229
1463876215,225,204
1463963331,251,207
1464050439,235,244
1464137576,245,337
1464224683,192,302
1464311821,215,243
1464398940,212,163
1464486045,285,196
1464573193,267,225
1464660284,205,275
1464747429,186,288
1464834524,230,199
1464921647,221,227
1465008782,233,238
1465095879,259,204
1465183017,235,223
1465270152,196,310
1465357247,170,267
1465444379,214,192
1465531482,254,217
1465618605,249,213
1465705761,233,203
