DateTime,Entries,UniqueIPs
1465028100,79898,79898
1465029000,79899,79899
1465029900,79693,79693
1465030800,80229,80229
1465033500,80034,80034
1465034400,80447,80447
1465036200,80449,80449
1465037100,80362,80362
1465038000,80831,80831
1465040700,80532,80532
1465041600,81296,81296
1465042500,81297,81297
1465043400,81298,81298
1465044300,81045,81045
1465045200,81512,81512
1465047900,81287,81287
1465048800,81870,81870
1465050600,81875,81875
1465051500,81660,81660
1465052400,82104,82104
1465055100,81790,81790
1465056000,82414,82414
1465057800,82414,82414
1465058700,82180,82180
1465059600,82651,82651
1465060500,82650,82650
1465062300,82408,82408
1465063200,82897,82897
1465065000,82903,82903
1465065900,82550,82550
1465066800,83257,83257
1465069500,83102,83102
1465070400,83451,83451
1465072200,83456,83456
1465073100,83311,83311
1465074000,83707,83707
1465076700,83471,83471
1465077600,83654,83654
1465079400,83655,83655
1465080300,83383,83383
1465081200,83561,83561
1465083900,83263,83263
1465084800,83475,83475
1465086600,83480,83480
1465087500,83214,83214
1465088400,83392,83392
1465089300,83391,83391
1465091100,83117,83117
1465092000,83307,83307
1465092900,83309,83309
1465093800,83311,83311
1465094700,83006,83006
1465095600,83257,83257
1465098300,82960,82960
1465099200,83369,83369
1465101000,83369,83369
1465101900,82999,82999
1465102800,83316,83316
1465105500,82889,82889
1465106400,83134,83134
1465108200,83132,83132
1465109100,82881,82881
1465110000,83375,83375
1465112700,83182,83182
1465113600,83402,83402
1465115400,83402,83402
1465116300,83155,83155
1465117200,83340,83340
1465119900,83057,83057
1465120800,83338,83338
1465122600,83342,83342
1465123500,82738,82738
1465124400,82872,82872
1465127100,82388,82388
1465128000,82546,82546
1465129800,82547,82547
1465130700,82068,82068
1465131600,82481,82481
1465132500,82480,82480
1465133400,82477,82477
1465134300,82056,82056
1465135200,82285,82285
1465136100,82287,82287
1465137000,82288,82288
1465137900,81941,81941
1465138800,82301,82301
1465141500,81940,81940
1465142400,82135,82135
1465144200,82137,82137
1465145100,81849,81849
1465146000,82057,82057
1465148700,81742,81742
1465149600,81910,81910
1465151400,81918,81918
1465152300,81602,81602
1465153200,81729,81729
1465155900,81399,81399
1465156800,81545,81545
1465158600,81544,81544
1465159500,81016,81016
1465160400,81364,81364
1465161300,81363,81363
1465163100,80820,80820
1465164000,80923,80923
1465165800,80920,80920
1465166700,80460,80460
1465167600,80599,80599
1465170300,80131,80131
1465171200,80293,80293
1465173000,80297,80297
1465173900,79798,79798
1465174800,79904,79904
1465177500,79443,79443
1465178400,79594,79594
1465179300,79593,79593
1465180200,79586,79586
1465181100,79117,79117
1465182000,79363,79363
1465182900,79362,79362
1465184700,78813,78813
1465185600,79053,79053
1465187400,79051,79051
1465188300,78553,78553
1465189200,78921,78921
1465191900,78368,78368
1465192800,79116,79116
1465194600,79115,79115
1465195500,78705,78705
1465196400,79106,79106
1465199100,78784,78784
1465200000,79373,79373
1465201800,79370,79370
1465202700,79029,79029
1465203600,79419,79419
1465205400,79418,79418
1465206300,79098,79098
1465207200,79557,79557
1465209000,79548,79548
1465209900,79166,79166
1465210800,79476,79476
1465213500,78769,78769
1465214400,79298,79298
1465216200,79295,79295
1465217100,78782,78782
1465218000,79216,79216
1465220700,78668,78668
1465221600,79216,79216
1465223400,79208,79208
1465224300,78694,78694
1465225200,79083,79083
1465226100,79081,79081
1465227900,78524,78524
1465228800,78923,78923
1465229700,78924,78924
1465230600,78917,78917
1465231500,78557,78557
1465232400,78918,78918
1465235100,78551,78551
1465236000,79171,79171
1465237800,79170,79170
1465238700,78745,78745
1465239600,79058,79058
1465242300,78765,78765
1465243200,79140,79140
1465245000,79140,79140
1465245900,78885,78885
1465246800,79126,79126
1465249500,78931,78931
1465250400,79215,79215
1465252200,79214,79214
1465253103,79064,79064
1465254000,79268,79268
1465256700,79068,79068
1465257600,79308,79308
1465259400,79310,79310
1465260300,79142,79142
1465261200,79546,79546
1465263900,79386,79386
1465264800,79729,79729
1465266600,79723,79723
1465267500,79543,79543
1465268400,79883,79883
1465271100,79691,79691
1465272000,80127,80127
1465273800,80126,80126
1465274700,79929,79929
1465275600,80241,80241
1465278300,80056,80056
1465279200,80466,80466
1465281000,80465,80465
1465281900,80225,80225
1465282800,80545,80545
1465285500,80377,80377
1465286400,80843,80843
1465288200,80841,80841
1465289100,80714,80714
1465290000,81272,81272
1465291800,81271,81271
1465292700,81127,81127
1465293600,81641,81641
1465295400,81641,81641
1465296300,81512,81512
1465297200,81697,81697
1465299900,81534,81534
1465300800,81771,81771
1465302600,81772,81772
1465303500,81585,81585
1465304400,81816,81816
1465307100,81653,81653
1465308000,81890,81890
1465309800,81887,81887
1465310700,81686,81686
1465311600,81965,81965
1465314300,81811,81811
1465315200,81998,81998
1465317000,81994,81994
1465317900,81889,81889
1465318800,82101,82101
1465321500,81967,81967
1465322400,82115,82115
1465323300,82114,82114
1465324200,82114,82114
1465325100,82012,82012
1465326000,82266,82266
1465328700,82109,82109
1465329600,82313,82313
1465331400,82311,82311
1465332301,82187,82187
1465333200,82309,82309
1465334100,82310,82310
1465335900,82194,82194
1465336800,82391,82391
1465338600,82398,82398
1465339500,82280,82280
1465340400,82401,82401
1465343100,82268,82268
1465344000,82406,82406
1465345800,82409,82409
1465346700,82309,82309
1465347600,82445,82445
1465350300,82326,82326
1465351200,82482,82482
1465353000,82482,82482
1465353900,82262,82262
1465354800,82684,82684
1465357502,82445,82445
1465358400,82758,82758
1465360200,82764,82764
1465361100,82372,82372
1465362000,82715,82715
1465364700,82388,82388
1465365600,82618,82618
1465367400,82618,82618
1465368300,82285,82285
1465369200,82577,82577
1465371000,82576,82576
1465371900,82243,82243
1465372800,82486,82486
1465374600,82487,82487
1465375500,82187,82187
1465376400,82456,82456
1465378200,82455,82455
1465379100,82149,82149
1465380000,82558,82558
1465381800,82556,82556
1465382700,82250,82250
1465383600,82579,82579
1465386300,82274,82274
1465387200,82618,82618
1465389000,82621,82621
1465389900,82283,82283
1465390800,82539,82539
1465391700,82542,82542
1465393500,82247,82247
1465394400,82535,82535
1465396200,82532,82532
1465397100,82308,82308
1465398000,82611,82611
1465400700,82353,82353
1465401600,83019,83019
1465403400,83016,83016
1465404300,82750,82750
1465405200,83156,83156
1465407900,82865,82865
1465408800,83157,83157
1465410600,83154,83154
1465411500,82924,82924
1465412400,83192,83192
1465415100,82922,82922
1465416000,83145,83145
1465417800,83142,83142
1465418700,82924,82924
1465419600,83215,83215
1465420500,83214,83214
1465422300,83016,83016
1465423200,83408,83408
1465425000,83402,83402
1465425900,83207,83207
1465426800,83490,83490
1465429500,83127,83127
1465430400,83410,83410
1465432200,83412,83412
1465433100,83066,83066
1465434000,83228,83228
1465436700,82987,82987
1465437600,83020,83020
1465439400,83017,83017
1465440300,82784,82784
1465441200,82976,82976
1465443900,82704,82704
1465444800,82897,82897
1465445700,82896,82896
1465446600,82901,82901
1465447500,82582,82582
1465448400,82854,82854
1465451100,82670,82670
1465452000,83138,83138
1465453800,83137,83137
