DateTime,AddedIPs,RemovedIPs
1464077000,2,3
1464080598,0,1
1464083283,3,0
1464084136,0,6
1464087735,2,0
1464091394,4,6
1464094080,2,0
1464098593,6,3
1464102192,2,6
1464104877,3,0
1464109391,2,2
1464112990,6,3
1464115735,5,6
1464116595,0,1
1464120186,3,0
1464123788,2,4
1464126531,3,2
1464127385,0,4
1464130990,3,0
1464134583,0,2
1464137328,1,0
1464138182,0,1
1464141780,5,1
1464145380,6,9
1464148126,1,0
1464152578,1,2
1464156177,4,5
1464158922,4,3
1464163382,2,5
1464169720,3,2
1464174179,2,5
1464177771,3,0
1464180517,4,2
1464181431,0,6
1464184969,1,0
1464188570,4,2
1464192229,5,6
1464195766,3,3
1464199366,6,0
1464202967,0,8
1464206566,1,0
1464210163,3,0
1464213761,7,3
1464217421,5,2
1464220959,3,2
1464224558,3,7
1464228218,3,0
1464231817,4,14
1464235355,2,2
1464238954,2,0
1464242614,4,9
1464246152,7,2
1464249751,3,1
1464253412,3,3
1464256950,2,1
1464260610,3,1
1464264149,3,20
1464267806,2,3
1464271346,5,0
1464275006,2,7
1464278604,5,0
1464282203,2,3
1464285009,1,7
1464289408,2,4
1464293001,5,12
1464296111,3,0
1464300199,2,16
1464303797,5,3
1464306664,2,0
1464310995,5,10
1464314594,2,6
1464317950,5,0
1464321793,4,2
1464325392,4,7
1464328197,2,0
1464328991,0,6
1464332590,4,0
1464336188,3,5
1464339788,1,0
1464343386,2,4
1464346986,2,1
1464350408,4,0
1464354183,4,4
1464357783,3,1
1464360649,4,0
1464364980,1,4
1464368579,5,2
1464371385,1,1
1464372181,0,3
1464375777,2,0
1464379376,3,4
1464382183,3,3
1464382975,0,3
1464386575,5,0
1464390173,4,5
1464392979,2,0
1464397371,4,3
1464400970,3,0
1464403838,9,4
1464408168,4,9
1464411828,3,0
1464414574,3,1
1464418967,1,5
1464422564,4,4
1464425370,3,0
1464429763,4,4
1464433368,2,2
1464436229,0,3
1464437023,0,2
1464440602,1,0
1464444220,3,4
1464447757,5,4
1464451417,0,3
1464454956,3,2
1464458615,2,2
1464462215,4,4
1464465082,3,0
1464465752,0,4
1464469473,4,0
1464473011,5,8
1464474781,4,0
1464476610,0,3
1464480211,2,0
1464483748,1,6
1464487346,4,9
1464491006,5,0
1464494546,1,4
1464498204,5,4
1464501804,1,8
1464505402,5,6
1464508940,2,0
1464512600,7,7
1464515528,2,0
1464519798,5,5
1464523336,3,2
1464526996,4,2
1464530596,1,0
1464534195,1,3
1464537796,2,2
1464541393,3,3
1464544991,1,0
1464547798,6,4
1464552191,6,1
1464555789,5,3
1464558594,5,5
1464562987,3,3
1464566586,0,2
1464570185,2,0
1464573783,2,4
1464577384,4,9
1464580983,3,5
1464584620,1,3
1464588181,4,5
1464591779,1,3
1464595377,0,4
1464598977,1,0
1464602575,3,2
1464606175,1,10
1464609773,0,3
1464613434,3,2
1464616972,1,2
1464620632,1,1
1464624232,3,3
1464627769,1,0
1464630697,3,1
1464631368,0,2
1464634966,3,0
1464638571,5,7
