DateTime,Entries,UniqueIPs
1464077000,1482,1524
1464080598,1478,1520
1464083283,1481,1523
1464084136,1479,1521
1464087735,1478,1520
1464091394,1475,1517
1464094080,1477,1519
1464098593,1477,1519
1464102192,1472,1514
1464104877,1474,1516
1464109391,1472,1514
1464112990,1477,1519
1464115735,1481,1523
1464120186,1478,1520
1464123788,1476,1518
1464126531,1476,1518
1464130990,1476,1518
1464134583,1468,1510
1464137328,1469,1511
1464141780,1472,1514
1464145380,1467,1509
1464148126,1468,1510
1464152578,1461,1503
1464156177,1465,1507
1464158922,1466,1508
1464163382,1462,1504
1464166975,1455,1497
1464169720,1457,1499
1464174179,1457,1499
1464177771,1456,1498
1464180517,1460,1502
1464184969,1461,1503
1464188570,1463,1505
1464192229,1461,1503
1464195766,1462,1504
1464199366,1463,1505
1464202967,1457,1499
1464210163,1453,1495
1464213761,1460,1502
1464217421,1460,1502
1464220959,1460,1502
1464224558,1463,1505
1464228218,1462,1504
1464231817,1461,1503
1464235355,1461,1503
1464238954,1463,1505
1464242614,1462,1504
1464246152,1466,1507
1464249751,1464,1505
1464253412,1461,1502
1464256950,1463,1504
1464260610,1462,1503
1464264149,1455,1496
1464267806,1456,1497
1464271346,1459,1500
1464275006,1454,1495
1464278604,1454,1495
1464282203,1456,1497
1464285009,1457,1498
1464289408,1458,1499
1464293001,1461,1502
1464296111,1462,1503
1464300199,1463,1504
1464303797,1460,1501
1464306664,1462,1503
1464310995,1461,1502
1464314594,1462,1503
1464317950,1462,1503
1464321793,1461,1502
1464325392,1458,1499
1464328197,1460,1501
1464328991,1458,1499
1464332590,1457,1498
1464336188,1456,1497
1464339788,1457,1498
1464343386,1459,1500
1464346986,1458,1499
1464350408,1462,1503
1464350584,1461,1502
1464354183,1465,1506
1464357783,1463,1504
1464360649,1466,1507
1464364980,1467,1508
1464368579,1469,1510
1464371385,1470,1511
1464372181,1467,1508
1464375777,1469,1510
1464379376,1465,1506
1464382183,1468,1509
1464382975,1467,1508
1464386575,1472,1513
1464390173,1471,1512
1464392979,1471,1512
1464393773,1469,1510
1464397371,1473,1514
1464400970,1474,1515
1464403838,1479,1520
1464408168,1477,1518
1464411828,1480,1521
1464414574,1480,1521
1464418967,1477,1518
1464422564,1477,1518
1464425370,1480,1521
1464429763,1477,1519
1464433368,1472,1514
1464437023,1468,1510
1464440602,1469,1511
1464444220,1464,1506
1464447757,1469,1511
1464451417,1463,1504
1464454956,1466,1507
1464458615,1462,1503
1464462215,1464,1505
1464465082,1466,1507
1464469473,1461,1502
1464473011,1462,1503
1464474781,1466,1507
1464480211,1466,1507
1464483748,1464,1505
1464487346,1460,1501
1464491006,1465,1506
1464494546,1460,1501
1464498204,1464,1505
1464501804,1462,1503
1464505402,1466,1507
1464508940,1465,1506
1464512600,1467,1508
1464515528,1468,1509
1464519798,1468,1509
1464523336,1471,1512
1464526996,1473,1514
1464530596,1472,1513
1464534195,1469,1510
1464537796,1468,1509
1464541393,1468,1509
1464544991,1466,1507
1464547798,1471,1512
1464552191,1474,1515
1464555789,1474,1515
1464558594,1478,1519
1464562987,1473,1514
1464570185,1473,1514
1464573783,1474,1515
1464577384,1473,1514
1464580983,1470,1511
1464584620,1469,1510
1464588181,1471,1512
1464591779,1470,1511
1464595377,1467,1508
1464598977,1467,1508
1464602575,1468,1509
1464606175,1468,1509
1464609103,1467,1508
1464613434,1461,1502
1464620632,1457,1498
1464624232,1458,1499
1464627769,1459,1500
1464630697,1460,1501
1464631368,1454,1495
1464634966,1456,1497
1464638571,1460,1501
1464641432,1460,1501
1464645763,1458,1499
1464649362,1462,1503
1464652229,1463,1504
1464653021,1461,1502
1464656560,1462,1503
1464660219,1464,1505
1464663026,1465,1506
1464667356,1462,1503
1464671016,1462,1503
1464673823,1465,1506
1464674554,1462,1503
1464678215,1464,1505
1464681752,1461,1502
1464684681,1465,1506
1464688951,1464,1505
1464692611,1463,1504
1464695478,1463,1504
1464699749,1461,1502
1464703408,1461,1502
1464706275,1463,1504
1464710606,1467,1508
1464714205,1461,1502
1464717804,1464,1505
1464721403,1457,1498
1464724331,1460,1501
1464728540,1467,1508
1464732200,1467,1508
1464735067,1471,1512
1464739397,1473,1514
1464742936,1471,1512
1464746595,1462,1503
1464750133,1466,1507
1464753794,1467,1508
1464757393,1466,1507
1464760992,1467,1508
1464764591,1470,1511
1464768189,1469,1510
1464770307,1472,1513
1464771772,1484,1526
1464775439,1487,1529
1464778298,1487,1529
1464778969,1485,1527
1464782568,1486,1528
1464786228,1468,1510
1464789034,1473,1515
1464789767,1469,1511
1464793365,1470,1512
1464796964,1471,1513
1464799282,1470,1512
1464804161,1464,1506
1464807822,1467,1509
1464811361,1460,1502
1464814959,1462,1504
1464817216,1463,1505
1464822217,1459,1501
1464825755,1461,1503
1464828013,1457,1499
1464832955,1450,1492
1464836554,1455,1497
1464840152,1456,1498
1464843751,1452,1494
1464846862,1454,1496
1464847410,1448,1490
