DateTime,AddedIPs,RemovedIPs
1464058945,3,3
1464061750,6,6
1464066202,2,2
1464069803,4,7
1464072547,4,3
1464077000,2,6
1464083283,4,2
1464087735,2,4
1464091394,4,2
1464094080,3,4
1464098593,7,6
1464102192,3,3
1464104877,4,0
1464109391,2,6
1464112990,6,3
1464115735,5,4
1464120186,4,4
1464123788,2,0
1464126531,4,3
1464130990,3,2
1464134583,0,3
1464137328,1,1
1464141780,5,6
1464145380,6,14
1464148126,1,1
1464152578,1,2
1464156177,4,5
1464158922,4,4
1464163382,2,2
1464166975,0,2
1464169720,3,4
1464170634,0,2
1464174179,3,1
1464177771,4,2
1464180517,5,18
1464181431,0,3
1464184969,1,0
1464188570,4,5
1464192229,5,4
1464195766,5,3
1464199366,7,7
1464202967,0,5
1464206566,3,5
1464210163,3,8
1464213761,8,6
1464217421,5,10
1464220959,3,3
1464224558,3,6
1464228218,3,5
1464231817,4,6
1464235355,2,2
1464238954,2,2
1464242614,4,5
1464246152,7,6
1464249751,3,3
1464253412,3,4
1464256950,2,2
1464260610,3,3
1464264149,4,1
1464267806,3,4
1464271346,6,2
1464275006,2,1
1464278604,7,4
1464282203,2,2
1464285009,1,1
1464289408,3,4
1464293001,5,4
1464296111,4,3
1464300199,2,3
1464303797,5,5
1464306664,2,1
1464310995,5,2
1464314594,2,1
1464317950,6,4
1464321793,4,5
1464325392,4,4
1464328197,2,1
1464332590,4,5
1464336188,4,3
1464339788,1,2
1464343386,2,4
1464346986,2,2
1464350408,4,4
1464350584,0,1
1464354183,4,2
1464357783,3,5
1464360649,4,2
1464364980,2,2
1464368579,5,4
1464371385,1,2
1464375777,3,2
1464379376,3,4
1464382183,3,4
1464386575,5,5
1464390173,5,3
1464392979,2,4
1464397371,4,6
1464400970,3,2
1464403838,10,7
1464408168,4,4
1464411828,3,8
1464414574,5,4
1464418967,1,5
1464422564,4,6
1464425370,3,2
1464429763,5,5
1464433368,2,5
1464436229,2,1
1464437023,0,2
1464440602,1,1
1464444220,5,1
1464447757,5,3
1464451417,0,4
1464454956,4,3
1464458615,2,0
1464462215,4,5
1464465082,3,1
1464469473,4,3
1464473011,5,6
1464474781,4,2
1464480211,2,1
1464483748,1,2
1464487346,4,4
1464491006,5,8
1464494546,1,1
1464498204,5,6
1464501804,1,3
1464505402,6,7
1464508940,2,3
1464512600,7,4
1464515528,3,2
1464519798,6,6
1464523336,3,4
1464526996,6,3
1464530596,1,4
1464534195,2,2
1464537796,3,1
1464541393,3,3
1464544991,2,1
1464547798,7,2
1464552191,6,7
1464555789,5,2
1464558594,5,4
1464562987,3,5
1464566586,0,2
1464570185,2,1
1464573783,2,2
1464577384,4,2
1464580983,3,4
1464584620,1,1
1464588181,4,5
1464591779,1,2
1464595377,0,1
