DateTime,Entries,UniqueIPs
1464091394,1017,1017
1464094080,1016,1016
1464098593,1017,1017
1464102192,1017,1017
1464104877,1021,1021
1464109391,1017,1017
1464112990,1020,1020
1464115735,1021,1021
1464120186,1021,1021
1464123788,1023,1023
1464126531,1024,1024
1464130990,1025,1025
1464134583,1022,1022
1464137328,1022,1022
1464141780,1021,1021
1464145380,1013,1013
1464148126,1013,1013
1464152578,1012,1012
1464156177,1011,1011
1464158922,1011,1011
1464163382,1011,1011
1464166975,1009,1009
1464169720,1008,1008
1464170634,1006,1006
1464174179,1008,1008
1464177771,1010,1010
1464180517,997,997
1464181431,994,994
1464184969,995,995
1464188570,994,994
1464192229,995,995
1464195766,997,997
1464199366,997,997
1464202967,992,992
1464206566,990,990
1464210163,985,985
1464213761,987,987
1464217421,982,982
1464220959,982,982
1464224558,979,979
1464228218,977,977
1464231817,975,975
1464235355,975,975
1464238954,975,975
1464242614,974,974
1464246152,975,975
1464249751,975,975
1464253412,974,974
1464256950,974,974
1464260610,974,974
1464264149,977,977
1464267806,976,976
1464271346,980,980
1464275006,981,981
1464278604,984,984
1464282203,984,984
1464285009,984,984
1464289408,983,983
1464293001,984,984
1464296111,985,985
1464300199,984,984
1464303797,984,984
1464306664,985,985
1464310995,988,988
1464314594,989,989
1464317950,991,991
1464321793,990,990
1464325392,990,990
1464328197,991,991
1464332590,990,990
1464336188,991,991
1464339788,990,990
1464343386,988,988
1464346986,988,988
1464350408,988,988
1464350584,987,987
1464354183,989,989
1464357783,987,987
1464360649,989,989
1464364980,989,989
1464368579,990,990
1464371385,989,989
1464375777,990,990
1464379376,989,989
1464382183,988,988
1464386575,988,988
1464390173,990,990
1464392979,988,988
1464397371,986,986
1464400970,987,987
1464403838,990,990
1464408168,990,990
1464411828,985,985
1464414574,986,986
1464418967,982,982
1464422564,980,980
1464425370,981,981
1464429763,981,981
1464433368,978,978
1464436229,979,979
1464437023,977,977
1464440602,977,977
1464444220,981,981
1464447757,983,983
1464451417,979,979
1464454956,980,980
1464458615,982,982
1464462215,981,981
1464465082,983,983
1464469473,984,984
1464473011,983,983
1464474781,985,985
1464480211,986,986
1464483748,985,985
1464487346,985,985
1464491006,982,982
1464494546,982,982
1464498204,981,981
1464501804,979,979
1464505402,978,978
1464508940,977,977
1464512600,980,980
1464515528,981,981
1464519798,981,981
1464523336,980,980
1464526996,983,983
1464530596,980,980
1464534195,980,980
1464537796,982,982
1464541393,982,982
1464544991,983,983
1464547798,988,988
1464552191,987,987
1464555789,990,990
1464558594,991,991
1464562987,989,989
1464566586,987,987
1464570185,988,988
1464573783,988,988
1464577384,990,990
1464580983,989,989
1464584620,989,989
1464588181,988,988
1464591779,987,987
1464595377,986,986
1464598977,985,985
1464602575,979,979
1464606175,980,980
1464613434,982,982
1464616972,983,983
1464620632,979,979
1464624232,978,978
1464627769,980,980
1464630697,980,980
1464634966,979,979
1464638571,981,981
1464641432,984,984
1464645763,983,983
1464649362,985,985
1464652229,986,986
1464653021,984,984
1464656560,984,984
1464660219,984,984
1464663026,983,983
1464663819,982,982
1464667356,982,982
1464671016,982,982
1464673823,983,983
1464678215,982,982
1464681752,984,984
1464684681,984,984
1464688951,983,983
1464692611,984,984
1464695478,986,986
1464696210,984,984
1464699749,988,988
1464703408,989,989
1464706275,992,992
1464710606,996,996
1464714205,997,997
1464717804,997,997
1464721403,1001,1001
1464724331,1000,1000
1464728540,1004,1004
1464732200,1007,1007
1464735067,1007,1007
1464739397,1008,1008
1464742936,1010,1010
1464746595,1010,1010
1464750133,1011,1011
1464753794,1007,1007
1464757393,1006,1006
1464760992,1005,1005
1464764591,1006,1006
1464768189,1000,1000
1464770307,1002,1002
1464771772,1016,1016
1464775439,1019,1019
1464778298,1019,1019
1464782568,1020,1020
1464786228,1022,1022
1464789034,1024,1024
1464793365,1024,1024
1464796964,1025,1025
1464799282,1025,1025
1464804161,1025,1025
1464807822,1026,1026
1464811361,1025,1025
1464814959,1024,1024
1464817216,1028,1028
1464822217,1025,1025
1464825755,1028,1028
1464828013,1027,1027
1464832955,1023,1023
1464836554,1023,1023
1464840152,1021,1021
1464843751,1022,1022
1464846862,1021,1021
1464847410,1020,1020
1464851009,1022,1022
1464854615,1021,1021
1464858208,1017,1017
1464861746,1018,1018
1464865406,1016,1016
1464868944,1017,1017
1464872604,1021,1021
1464876142,1021,1021
1464879131,1022,1022
1464883401,1022,1022
1464887046,1021,1021
1464889317,1021,1021
1464890607,1020,1020
1464894197,1024,1024
1464897735,1023,1023
1464900053,1021,1021
1464901398,1019,1019
1464904996,1020,1020
1464908595,1020,1020
1464910912,1019,1019
1464912194,1018,1018
1464915793,1019,1019
1464919696,1018,1018
1464922990,1018,1018
1464926528,1018,1018
1464928968,1017,1017
1464930188,1016,1016
1464933789,1016,1016
1464937393,1015,1015
1464940252,1012,1012
1464944584,1012,1012
1464948194,1010,1010
1464950439,1010,1010
1464955381,1012,1012
1464958980,1014,1014
1464961297,1017,1017
1464962585,1015,1015
1464966178,1016,1016
1464969783,1016,1016
1464973376,1019,1019
1464976989,1020,1020
1464980150,1020,1020
1464980584,1026,1026
1464984178,1031,1031
1464987837,1030,1030
1464988203,1031,1031
1464991441,1032,1032
1464994973,1035,1035
1464998573,1037,1037
1464998939,1035,1035
1465002257,1037,1037
1465005770,1041,1041
1465009369,1040,1040
1465009736,1037,1037
1465012981,1040,1040
1465016574,1040,1040
1465020166,1038,1038
1465020533,1035,1035
1465023766,1038,1038
1465027366,1035,1035
1465031026,1033,1033
1465031391,1031,1031
1465034562,1033,1033
1465038161,1032,1032
1465041760,1034,1034
1465042127,1031,1031
1465045741,1032,1032
1465049021,1035,1035
1465052559,1031,1031
1465052924,1025,1025
1465054943,1027,1027
1465056218,1026,1026
1465059757,1025,1025
1465063416,1025,1025
1465063721,1024,1024
1465067022,1024,1024
1465070615,1027,1027
1465074152,1028,1028
1465074518,1030,1030
1465077813,1030,1030
1465081411,1033,1033
1465084949,1032,1032
1465085315,1032,1032
1465088549,1034,1034
1465092148,1034,1034
1465095747,1034,1034
1465096234,1033,1033
1465099407,1032,1032
1465102944,1028,1028
1465107031,1027,1027
1465110223,1028,1028
1465113741,1030,1030
1465115577,1027,1027
1465117407,1031,1031
1465121007,1030,1030
1465124545,1028,1028
1465128143,1029,1029
1465131743,1025,1025
1465134426,1029,1029
1465135425,1028,1028
1465139011,1029,1029
1465142600,1027,1027
1465144735,1030,1030
1465146199,1029,1029
1465149737,1030,1030
1465153398,1035,1035
1465155898,1035,1035
1465160535,1034,1034
1465164134,1034,1034
1465166695,1034,1034
1465171398,1033,1033
1465174992,1035,1035
1465177492,1037,1037
1465182190,1041,1041
1465185788,1041,1041
1465188289,1043,1043
1465189388,1042,1042
1465192986,1041,1041
1465196592,1039,1039
1465199086,1042,1042
1465203783,1043,1043
1465207393,1046,1046
1465209273,1044,1044
1465214642,1043,1043
1465218179,1042,1042
1465221778,1046,1046
1465225377,1043,1043
1465228976,1040,1040
1465232576,1040,1040
1465236236,1037,1037
1465239774,1039,1039
1465243372,1036,1036
1465247032,1036,1036
1465248985,1037,1037
1465250630,1035,1035
1465254169,1035,1035
1465257769,1033,1033
1465259781,1031,1031
1465261368,1032,1032
1465264967,1033,1033
1465268565,1030,1030
1465270578,1030,1030
1465279362,1029,1029
1465281375,1031,1031
1465286561,1028,1028
1465290220,1027,1027
1465292112,1026,1026
1465293819,1026,1026
1465297357,1028,1028
1465300957,1031,1031
1465302909,1030,1030
1465304617,1029,1029
1465308186,1031,1031
1465311754,1032,1032
1465313706,1032,1032
1465319013,1029,1029
1465322611,1030,1030
1465324503,1027,1027
1465329749,1029,1029
1465333347,1032,1032
1465335300,1035,1035
1465340606,1032,1032
1465344205,1032,1032
1465346158,1031,1031
1465351403,1032,1032
1465355002,1030,1030
1465356954,1032,1032
1465362140,1033,1033
1465365739,1033,1033
1465367751,1030,1030
1465372936,1028,1028
1465376603,1032,1032
1465378549,1031,1031
1465380197,1032,1032
1465383795,1025,1025
1465387394,1025,1025
1465389346,1025,1025
1465390993,1026,1026
1465394593,1019,1019
1465398191,1016,1016
1465400144,1016,1016
1465405389,1015,1015
1465408988,1017,1017
1465412587,1018,1018
1465416125,1019,1019
1465419785,1010,1010
1465423324,1008,1008
1465426983,1008,1008
1465430399,1008,1008
1465434181,1009,1009
1465437779,1011,1011
1465441379,1013,1013
1465444977,1014,1014
1465448576,1012,1012
1465451687,1012,1012
1465455843,1014,1014
1465459381,1012,1012
1465462424,1011,1011
1465466572,1010,1010
1465470171,1010,1010
1465472855,1009,1009
1465476543,1014,1014
1465477336,1023,1023
1465480935,1029,1029
1465484534,1032,1032
1465488194,1032,1032
1465491732,1033,1033
1465494721,1033,1033
1465498991,1033,1033
1465502529,1033,1033
1465505518,1033,1033
1465509728,1036,1036
1465513326,1036,1036
1465516315,1036,1036
1465516986,1035,1035
1465520586,1035,1035
1465524185,1034,1034
1465527295,1032,1032
1465531383,1032,1032
1465534981,1032,1032
1465538580,1032,1032
1465542179,1033,1033
1465545778,1034,1034
1465549377,1035,1035
1465552976,1039,1039
1465556575,1040,1040
1465559503,1038,1038
1465563774,1038,1038
1465567372,1037,1037
1465570971,1040,1040
1465574571,1040,1040
1465578169,1038,1038
1465580318,1040,1040
1465581782,1038,1038
1465585320,1038,1038
1465588980,1038,1038
1465592580,1043,1043
1465596184,1043,1043
1465599106,1042,1042
1465603376,1044,1044
1465607037,1044,1044
1465610575,1045,1045
1465614174,1044,1044
1465617772,1044,1044
1465621386,1042,1042
1465624971,1042,1042
1465628571,1040,1040
1465632232,1037,1037
1465635769,1036,1036
1465639366,1032,1032
1465642966,1033,1033
1465646570,1032,1032
1465650168,1034,1034
1465653832,1035,1035
1465657363,1034,1034
1465660989,1034,1034
1465664560,1035,1035
1465668158,1034,1034
1465671818,1032,1032
1465675357,1033,1033
1465679015,1033,1033
1465682554,1035,1035
1465686153,1036,1036
1465689813,1035,1035
1465693413,1034,1034
1465697012,1034,1034
1465700549,1037,1037
1465704149,1038,1038
1465707809,1037,1037
1465711407,1037,1037
1465714945,1038,1038
1465717934,1041,1041
1465722205,1039,1039
1465725803,1038,1038
1465728731,1038,1038
1465729402,1037,1037
1465733002,1041,1041
1465736540,1044,1044
1465739529,1042,1042
1465743799,1037,1037
1465747398,1040,1040
