DateTime,AddedIPs,RemovedIPs
1463559423,2,0
1463566623,1,1
1463570223,1,227
1463573822,2,152
1463577422,3,17
1463581022,1,2
1463584622,0,2
1463588222,6,9
1463591822,49,5
1463595423,70,0
1463599022,35,1
1463602623,31,2
1463606223,9,1
1463609822,12,1
1463613423,4,1
1463617023,12,0
1463620623,17,2
1463624525,17,2
1463628126,32,1
1463631726,53,1
1463635327,63,0
1463638928,70,0
1463642527,2,1
1463646425,3,2
1463650025,1,0
1463653627,66,1
1463657527,84,2
1463661129,3,3
1463665028,77,3
1463668629,112,0
1463672229,51,0
1463675828,8,27
1463679428,16,60
1463683330,0,50
1463686929,7,36
1463690529,18,21
1463694130,22,14
1463697729,30,3
1463701329,20,7
1463704929,15,12
1463708530,33,19
1463712130,35,21
1463715730,50,35
1463719328,50,58
1463722928,1,72
1463726528,2,45
1463730128,1,1
1463733728,0,1
1463737329,1,1
1463740927,1,74
1463744526,1,75
1463748129,77,11
1463751727,12,74
1463755327,3,110
1463758927,21,50
1463762526,11,10
1463766126,0,14
1463769726,1,0
1463773326,0,7
1463776925,0,18
1463780526,0,22
1463784125,2,30
1463787725,3,20
1463791326,2,17
1463794925,0,32
1463798524,1,33
1463802125,0,52
1463805724,3,50
1463809324,0,1
1463812924,1,0
1463816524,0,2
1463820422,1,1
1463824023,1,1
1463827622,1,2
1463831222,3,1
1463834822,0,81
1463838422,0,6
1463842022,0,4
1463845622,1,21
1463849222,0,10
1463853124,0,1
1463856723,0,2
1463860324,1,0
1463863923,0,1
1463867524,2,0
1463871124,1,2
1463874724,1,3
1463878324,0,2
1463881924,0,1
1463892723,1,2
1463899923,0,1
1463907123,0,1
1463910724,1,1
1463914324,0,1
1463917923,0,2
1463932622,0,1
1463947022,0,2
1463950622,1,1
1463954222,2,1
1463957822,0,1
1463961422,0,1
1463965022,1,0
1463972222,2,0
1463975822,1,0
1463979422,0,1
1463983021,1,0
1463997422,0,1
1464001022,3,0
1464004622,6,0
1464008223,35,0
1464011823,100,0
1464015424,94,0
1464019024,61,0
1464022624,25,0
1464026224,5,0
1464029824,8,0
1464033424,21,0
1464037024,18,1
1464040625,0,2
1464047824,1,0
1464051424,0,1
1464058624,1,3
1464062224,1,1
1464069424,0,1
1464073024,2,0
1464076624,2,0
1464083827,1,1
1464087424,0,3
1464091024,0,6
1464094624,0,34
1464098223,0,97
1464101822,2,96
1464105422,0,61
1464109021,1,25
1464112622,2,5
1464116222,1,9
1464119822,1,16
1464123422,2,21
1464127022,1,0
1464130622,1,0
1464134222,2,1
1464137822,4,0
1464141422,5,0
1464145021,8,1
1464148622,6,1
1464152222,4,0
1464155822,2,0
1464159422,7,2
1464163022,4,1
1464166622,2,0
1464170222,3,1
1464173821,3,0
1464177422,1,0
1464181022,52,0
1464184622,56,0
1464188222,46,2
1464191823,26,0
1464195423,81,1
1464199024,44,2
1464202624,36,1
1464206526,6,1
1464210126,7,2
1464213725,2,1
1464217326,4,1
1464220926,7,1
1464224526,9,5
1464228126,10,6
1464231725,2,9
1464235623,0,5
1464239224,3,3
1464242824,0,2
1464246424,1,6
1464250026,1,6
1464253625,3,3
1464257224,2,3
1464260824,0,3
1464264424,14,5
1464268026,4,55
1464271624,3,58
1464275224,1,43
1464278824,3,30
1464282423,1,94
1464286023,0,27
1464289622,0,34
1464293223,1,2
1464296823,1,8
1464300423,5,2
1464304023,1,5
1464307623,1,9
1464311222,6,6
1464314822,5,9
1464318422,2,2
1464322023,2,1
1464325924,10,3
1464329525,7,0
1464336725,0,1
1464340324,0,3
1464343925,1,1
1464351125,14,16
1464354725,14,4
1464358325,5,2
1464361925,3,1
1464365525,46,3
1464369126,49,1
1464372725,16,1
1464376325,15,0
1464379926,13,1
1464383526,7,1
1464387126,5,4
1464390726,4,1
1464394326,5,1
1464397926,4,6
1464401526,4,5
1464405126,9,1
1464408727,8,3
1464412326,11,9
1464415926,17,7
1464419526,11,0
1464423126,5,0
1464430326,0,1
1464433926,0,1
1464437526,0,13
1464441127,0,12
1464445024,0,6
1464448624,0,7
1464452224,1,44
1464455823,0,50
1464459423,0,13
1464463024,0,17
1464466623,0,11
1464470223,0,7
1464473823,1,4
1464477422,0,3
1464481022,1,5
1464484623,0,5
1464488223,0,3
1464491822,0,10
1464495422,0,9
1464499022,0,12
1464502622,0,17
1464506222,0,10
1464509822,0,5
1464513422,0,1
1464517021,1,0
1464520621,0,1
1464527822,0,1
1464538621,0,1
1464545822,1,0
1464549422,1,0
1464560222,0,1
1464567421,0,1
1464574622,1,0
1464578222,1,0
1464599821,2,0
1464607022,6,1
1464610622,1,0
1464614222,2,0
1464617822,1,0
1464621422,2,0
1464632222,0,1
1464635822,1,0
1464639422,1,0
1464646622,2,0
1464650221,1,0
1464657422,1,0
1464661022,0,1
1464664621,0,1
1464671822,1,0
1464675422,4,0
1464679022,1,0
1464682622,2,1
1464686221,1,1
1464689822,5,1
1464693422,0,6
1464697022,5,0
1464700623,8,3
1464704223,9,1
1464707823,34,2
1464711423,41,0
1464715024,198,0
1464718624,105,0
1464722225,32,1
1464725824,26,1
1464729424,13,0
1464733024,1,2
1464736624,0,1
1464751025,1,0
1464754624,1,0
1464761824,0,3
1464765425,2,1
1464769024,0,2
1464772624,0,2
1464776225,1,5
1464779824,1,1
1464783424,3,6
1464787024,11,7
1464790624,2,9
1464794223,1,34
1464797823,2,41
1464801422,1,198
1464805022,1,105
1464808622,0,32
1464812222,0,26
1464815822,1,13
1464826622,1,0
1464830222,1,0
1464837422,3,1
1464841021,0,1
1464844622,0,1
1464851822,0,1
1464855422,2,0
1464859022,3,0
1464862622,1,2
1464866222,2,1
1464869822,1,3
1464873422,1,10
1464877022,1,4
1464880622,0,1
1464884222,1,2
1464887822,0,2
1464891421,0,1
1464895022,2,0
1464898621,2,0
1464902222,0,1
1464913022,0,1
1464916622,0,1
1464920522,2,0
1464924124,2,3
1464927723,1,0
1464931322,1,0
1464934923,1,0
1464942122,0,2
1464945722,0,1
1464949323,0,1
1464952923,1,2
1464956523,2,2
1464960123,1,1
1464963723,1,1
1464967323,2,0
1464970922,3,1
1464982021,1,2
1464985622,2,2
1464989221,1,0
1465007222,0,1
1465010822,0,2
1465014421,0,1
1465018022,2,1
1465021622,1,1
1465025222,1,0
1465028822,1,0
1465036323,3,0
1465039923,0,1
1465043523,0,2
1465047123,1,2
1465050723,1,1
1465054323,0,1
1465057923,0,3
1465068723,0,1
1465072323,0,2
1465075923,1,0
1465079522,1,0
1465083124,1,0
1465086723,1,0
1465104723,1,2
1465108323,0,1
1465111923,0,2
1465122723,0,3
1465133821,0,1
1465137422,0,1
1465141022,1,1
1465144622,2,0
1465151822,2,1
1465155422,1,0
1465159022,3,0
1465162621,3,1
1465166221,1,1
1465169821,1,1
1465173421,2,1
1465177022,3,0
1465180622,1,0
1465187822,2,1
1465191422,4,0
1465195022,1,0
1465198622,2,0
1465202222,1,0
1465205822,4,0
1465209422,1,0
1465216621,1,0
1465223822,2,0
1465227422,2,1
1465231022,0,2
1465234622,2,0
1465238221,1,2
1465241821,1,1
1465245422,1,2
1465249022,0,3
1465252621,1,1
1465256222,1,0
1465259821,2,2
1465263422,1,3
1465267021,0,1
1465274221,1,2
1465277822,0,1
1465281422,2,2
1465285022,2,1
1465288622,1,2
1465292221,2,2
1465295821,1,3
1465303022,1,1
1465306621,1,0
1465310222,3,1
1465313822,1,3
1465317422,1,1
1465321022,0,2
1465324622,1,1
1465328222,0,1
1465335422,1,0
1465339323,1,1
1465342922,0,1
1465350123,0,2
1465357323,1,1
1465364523,0,2
1465368123,2,3
1465371723,1,2
1465375322,2,0
1465378924,1,2
1465382524,1,1
1465386123,1,0
1465389723,0,1
1465393323,2,1
1465396923,1,2
1465400523,1,0
1465404123,1,0
1465407723,0,1
1465411323,1,2
1465414923,0,2
1465418523,1,1
1465422123,3,1
1465432923,2,0
1465440123,1,0
1465443722,1,1
1465450923,1,0
1465454522,0,1
1465458123,1,1
1465461723,1,2
1465465323,2,2
1465468923,1,1
1465472523,4,1
1465476123,1,0
1465479723,1,2
1465483323,0,2
1465486922,0,1
1465494123,0,1
1465497723,1,0
1465501323,2,0
1465504923,0,2
1465508523,2,2
1465519323,0,1
1465522923,0,1
1465526522,0,2
1465530123,0,1
1465533722,1,0
1465537322,2,1
1465544523,0,1
1465548123,1,1
1465551723,0,2
1465555323,1,1
1465558923,2,2
1465562523,1,1
1465566122,0,1
