DateTime,AddedIPs,RemovedIPs
1461702781,1,0
1461709981,1,0
1461713581,0,3
1461717181,2,1
1461724381,2,1
1461731581,2,0
1461742381,0,1
1461745981,2,0
1461749582,0,2
1461753181,0,1
1461760381,2,0
1461767581,0,4
1461774782,0,2
1461778381,2,0
1461781981,0,2
1461789181,0,1
1461796382,0,1
1461810781,0,2
1461821581,1,0
1461825181,0,1
1461835981,0,3
1461843181,0,2
1461850381,2,2
1461857581,1,0
1461864782,4,4
1461871981,0,2
1461879181,0,1
1461882781,0,2
1461886381,1,0
1461893581,2,0
1461900781,0,4
1461907982,0,1
1461911581,0,4
1461918782,1,0
1461925981,0,1
1461940381,1,0
1461943981,0,1
1461947581,10,0
1461951181,0,2
1461958381,0,1
1461965581,0,2
1461987181,0,3
1461990782,3,0
1461994381,0,2
1461997981,1,0
1462001581,0,2
1462008781,0,1
1462015981,0,1
1462023181,0,1
1462026781,1,0
1462033981,5,0
1462037581,0,1
1462041181,0,4
1462051982,0,1
1462055581,0,3
1462066381,0,1
1462084381,0,1
1462095181,0,2
1462116781,0,3
1462120382,6,0
1462123981,0,1
1462131181,0,1
1462138381,0,1
1462159981,0,3
1462163581,1,0
1462170781,3,0
1462174381,0,2
1462192381,1,0
1462199581,0,1
1462206781,6,0
1462217581,1,0
1462221181,1,0
1462228381,0,1
1462235581,1,0
1462242781,2,0
1462249981,2,0
1462257181,0,2
1462264381,1,0
1462278781,0,1
1462282381,4,0
1462285981,0,2
1462293181,1,0
1462296782,0,1
1462300381,5,1
1462307581,0,2
1462325581,0,1
1462329181,1,0
1462350782,3,2
1462357982,1,1
1462365181,0,1
1462372381,2,2
1462379581,0,2
1462383181,4,0
1462386781,1,2
1462393981,1,2
1462397581,0,1
1462401181,2,0
1462408381,2,1
1462411981,0,1
1462419182,0,1
1462422781,1,1
1462429982,1,0
1462433581,0,2
1462444382,1,0
1462447981,0,1
1462458781,0,2
1462462381,1,0
1462476781,2,0
1462483981,1,0
1462491181,1,0
1462494781,0,1
1462498381,2,0
1462505581,1,0
1462512781,2,0
1462519982,1,0
1462523581,0,5
1462530781,0,1
1462541581,1,0
1462545181,0,1
1462548781,1,0
1462552381,0,1
1462555982,2,0
