DateTime,AddedIPs,RemovedIPs
1462206781,12,17
1462217581,4,3
1462221181,10,10
1462228381,3,2
1462235581,12,10
1462242781,11,13
1462249981,16,13
1462257181,8,7
1462264381,12,11
1462271581,2,3
1462282381,17,17
1462285981,8,8
1462293181,10,10
1462300381,8,8
1462307581,3,3
1462314781,8,8
1462321982,8,10
1462329181,7,5
1462336381,11,13
1462343581,11,10
1462350782,15,14
1462357982,7,7
1462365181,7,9
1462372381,13,13
1462383181,9,12
1462386781,9,9
1462393981,7,6
1462401181,17,16
1462408381,6,5
1462415581,5,4
1462422781,13,13
1462429982,4,3
1462437181,8,11
1462444382,14,10
1462451581,14,15
1462462381,7,8
1462469581,8,8
1462476781,10,8
1462483981,7,6
1462491181,4,6
1462498381,8,9
1462505581,7,6
1462512781,7,8
1462519982,4,7
1462527182,4,3
1462534382,10,8
1462541581,8,6
1462548781,15,17
1462555982,15,11
1462566782,9,13
1462573981,5,5
1462581181,7,6
1462591981,14,14
1462599181,3,4
1462606381,9,10
1462613581,11,13
1462620781,6,3
1462631581,7,7
1462635181,7,6
1462645981,10,10
1462649581,3,4
1462656781,11,12
1462663982,7,9
1462671181,12,10
1462678381,4,4
1462685582,15,13
1462696381,15,16
1462703581,6,7
1462710782,10,11
1462717981,10,8
1462725181,8,6
1462732381,3,3
1462739581,8,10
1462746781,10,8
1462753981,10,9
1462761181,4,4
1462768382,13,14
1462779181,12,12
1462786381,7,8
1462793581,5,6
1462800781,10,12
1462807981,8,8
1462815181,5,4
1462822381,18,19
1462829581,5,8
1462836781,10,8
1462843981,4,4
1462851181,7,4
1462858381,6,5
1462865581,13,14
1462872781,11,11
1462879981,7,8
1462890781,11,15
1462897981,3,3
1462905182,6,5
1462912381,7,7
1462919581,7,7
1462926781,6,5
1462933982,10,10
1462941182,14,13
1462948381,8,8
1462955581,9,8
1462962781,9,10
1462969982,10,13
1462977181,1,1
1462984382,11,12
1462991581,13,11
1462998781,10,9
1463005981,3,3
1463013181,8,8
1463020381,12,11
1463027582,6,7
1463034781,6,7
1463041981,13,13
1463049181,9,9
1463056381,8,12
1463063581,7,5
1463070781,6,9
1463077981,13,11
1463085181,6,5
1463092382,10,9
1463099581,8,9
1463106781,12,10
1463113981,5,6
1463124782,5,5
1463128381,16,12
1463135581,7,10
1463142781,3,3
1463149981,14,14
1463157182,13,13
1463164381,4,3
1463171581,2,1
1463178781,8,8
1463185982,16,17
1463193182,8,9
1463200381,9,8
1463207581,11,12
1463214781,12,11
1463221981,8,9
1463229181,3,3
1463236381,18,21
1463243582,4,5
1463250781,10,5
1463257982,10,11
1463265182,13,10
1463272381,8,11
1463279581,6,6
1463286782,6,7
1463293981,6,6
1463301181,9,7
1463308381,14,14
1463315581,5,6
1463322781,8,7
1463329981,6,6
1463337182,10,10
1463344381,13,14
1463351581,3,2
1463358781,13,15
1463365981,8,8
1463376781,10,11
1463383982,9,8
1463391181,11,10
1463398381,8,6
1463405581,7,8
1463412781,7,7
1463419981,7,9
1463430782,19,17
1463434381,8,10
1463441581,7,7
1463448781,8,6
1463455981,8,12
1463463181,7,8
1463470381,9,7
1463477581,15,10
1463484781,12,14
1463491981,9,8
1463499181,7,8
1463506381,11,10
1463513581,5,6
1463517181,2,2
1463524381,11,15
1463531581,6,4
1463538782,11,8
1463545981,9,8
1463553181,9,9
1463560381,10,12
1463567581,4,3
1463574782,5,7
1463581981,15,16
1463589181,10,12
1463596381,13,12
1463603581,4,4
1463607181,9,9
1463614381,7,7
1463621582,10,11
1463628781,5,5
1463635982,11,12
1463643181,10,9
1463650381,9,8
1463657581,11,9
1463664781,4,4
1463671981,9,10
1463679181,3,5
1463686381,12,12
1463693581,13,11
1463700781,13,11
1463707981,11,9
1463715181,6,7
1463722381,10,10
1463729581,10,9
1463736781,5,5
1463743981,14,17
1463751181,6,9
1463758381,13,13
1463765581,8,7
1463769182,4,4
1463776381,8,8
1463783581,6,7
1463790781,10,9
1463797981,13,10
1463805181,10,11
1463812381,10,9
1463823181,7,8
1463830382,7,7
1463837581,8,10
1463844781,7,7
1463851981,13,14
1463859181,12,12
1463866381,6,6
1463873581,9,8
1463880782,7,7
1463887981,10,11
1463895181,7,9
1463902381,11,9
1463909581,8,8
1463916781,4,3
1463923981,11,9
1463931181,8,9
1463938381,8,8
1463945581,10,10
1463952781,9,8
1463959981,10,12
1463967182,9,11
1463974381,8,7
1463981581,8,9
1463988781,9,6
1463995982,6,8
1464003181,17,13
1464010382,12,10
1464017581,9,10
1464024781,7,5
1464031981,10,9
1464039181,10,14
1464046381,9,9
1464053581,6,9
1464064381,15,12
1464067982,13,12
1464075181,8,10
1464082381,4,3
1464089581,13,12
1464096781,6,8
1464103981,10,11
1464111181,12,9
1464118381,11,12
1464125582,9,10
1464132782,9,9
1464139982,6,6
1464147181,14,15
1464154382,9,9
1464161581,10,9
1464165181,10,10
1464172381,13,12
1464179581,5,5
1464183182,3,4
1464190381,14,14
1464197582,15,11
1464204781,11,14
1464211981,15,15
1464219181,8,9
1464226381,13,11
1464229981,11,13
1464233581,25,22
1464240781,7,8
1464247981,9,8
1464255181,9,11
1464262381,12,12
1464269582,15,15
1464276781,9,9
1464280381,17,18
1464287581,4,3
1464294781,11,11
1464301981,7,9
1464305582,12,11
1464312781,9,8
1464316382,4,5
1464323582,15,13
1464330781,6,10
1464337981,10,8
1464345181,7,8
1464352381,9,8
1464355981,5,4
1464363181,12,14
1464370381,4,7
1464377581,10,8
1464381181,5,8
1464388381,2,2
1464395581,12,7
1464402781,9,8
1464409981,3,4
1464413581,6,4
1464420781,14,10
1464424382,13,12
1464431581,8,8
1464438782,4,5
1464445981,7,10
1464453181,7,7
1464460381,10,11
1464463982,6,6
1464471181,7,11
1464478381,8,9
1464485581,6,9
1464492781,8,6
1464499981,7,5
1464507182,6,7
1464514381,7,8
1464521581,7,6
1464528781,10,11
1464532381,11,10
1464539581,11,9
1464546781,2,2
1464553981,11,12
1464561181,9,10
1464568381,7,6
1464575581,7,8
1464582781,15,7
1464589981,9,12
1464597181,6,8
1464604381,4,8
1464611581,3,4
1464618781,4,2
1464625981,12,11
1464633181,13,8
1464640382,6,7
1464647581,9,9
1464654781,11,12
1464661981,7,5
1464669181,9,7
1464676381,10,8
1464683581,13,19
1464690781,11,13
1464697982,6,6
1464705181,2,2
1464715981,11,13
1464719581,15,12
1464726781,3,3
1464733981,13,12
1464741181,6,9
1464748381,15,13
1464755581,6,3
1464762781,5,8
1464769981,11,10
1464777182,9,11
1464784381,12,9
1464791581,8,10
1464798782,17,14
1464805982,11,11
1464813181,6,5
1464820381,8,9
1464827581,8,7
1464834781,7,7
1464841981,9,9
1464849181,7,5
1464856381,9,8
1464863581,11,12
1464870781,4,4
1464877981,9,10
1464885182,6,6
1464892381,13,14
1464899581,10,9
1464906781,8,14
1464913981,9,7
1464921181,10,9
1464928382,7,6
1464935581,7,8
1464942782,6,4
1464949981,10,10
1464957182,9,11
1464964381,11,11
1464971581,5,6
1464978781,14,12
1464985981,10,9
1464993182,7,7
1465000381,17,17
1465007581,11,11
1465014781,6,7
1465021981,9,8
1465029182,6,5
1465036381,9,9
1465043581,5,5
1465050781,8,8
1465057981,11,12
1465068781,11,11
1465075982,2,4
1465083181,8,8
1465090381,10,11
1465097581,6,4
1465104781,12,12
1465111982,14,12
1465119181,8,6
1465126381,11,12
1465133581,4,5
1465140782,8,9
1465147981,10,12
1465155181,7,7
1465162381,15,14
1465169581,7,8
1465176781,15,12
1465183981,6,6
1465191181,9,8
1465198381,8,8
1465205581,9,10
1465212781,9,9
1465219981,11,10
1465227181,7,12
1465234381,3,3
1465241582,7,7
1465248782,7,7
1465255981,9,7
1465263181,7,7
1465270381,8,12
1465277581,10,9
1465281182,10,9
1465288382,1,3
1465295581,8,9
1465302781,10,8
1465309981,7,6
1465317181,4,4
1465324381,11,8
1465331582,6,9
1465338781,7,8
1465345981,2,3
1465353181,15,13
1465360381,7,6
1465363981,2,2
1465374781,10,7
1465381981,3,3
1465389181,6,4
1465396381,3,5
1465403581,10,12
1465410781,7,7
1465417981,6,8
1465425181,4,5
1465428781,11,10
1465432381,6,3
1465443182,9,11
1465446782,5,5
1465453982,3,3
1465461181,4,5
1465468381,9,7
1465475581,10,9
1465482781,10,9
1465489981,11,14
1465493581,9,8
1465500781,16,18
1465507981,2,1
1465515181,5,6
1465522381,10,9
1465529581,10,8
1465536781,14,13
1465543981,8,7
1465554781,14,16
1465561981,10,11
1465569182,9,10
1465579981,6,6
1465587181,8,9
1465594381,12,15
1465601581,13,14
1465605181,9,8
1465608781,10,8
1465619581,10,10
1465626782,9,8
1465633981,4,6
1465641181,4,4
1465648381,12,9
1465651981,5,6
1465662781,9,9
1465669981,5,6
1465677181,6,6
1465680781,9,7
1465687981,8,10
1465695182,5,5
1465702382,13,16
1465709581,10,8
1465713181,6,6
1465720381,3,4
1465723981,3,3
1465731181,11,9
1465738381,6,7
1465741982,8,7
1465749181,5,4
